方鼓二山下（元·揭祐民）　　七言律诗　押庚韵	方壶地上日月转，屴鼓天半风涛鸣。楼船海市倏忽集，金客鲛人无数行。紫气暮浓千嶂合，黄云霜熟万畴平。何能买屋西山下，白稻银鱼了此生。
哭胡石塘（元·揭祐民）　　七言律诗　押东韵	颜乐斋修文史终，更千年后有胡公。名存宁海生祠里，神达青莲死榻中。饥赈公规著旴右，私居丧制过辽东。圣门三省工夫在，意合西铭是则同。
监绣（元·揭祐民）　　七言律诗　押侵韵	凤阁龙庭庆自今，羽鳞颜色组丝深。美人百巧天孙手，才士一生红女心。愿化神蚕抽瓮茧，用将缫藉入瑶林。读书补报浑无力，渐愧临机惜寸阴。
二月游禅林寺（元·揭祐民）　　七言律诗　押东韵	溪桃二月逗残红，唤醒寻春到倦翁。骑马度桥观日瀑，支筇转岭听松风。才通麦气兼花气，政想农功比吏功。安得细民如庶物，离离生意满西东。
送人上京（元·揭祐民）　　七言律诗　押庚韵	天上吟仙笑相觅，松间坐客饭青精。真游不知白日晚，身世相与浮云轻。冥冥落花啼鸟静，窅窅风磴寒泉鸣。丈夫邂逅志万里，沧浪水清宜濯缨。
历溪书事五首（元·揭祐民）　　五言绝句　押覃韵	剥落一弊帚，自持扫休庵。老随筋力至，此外了非堪①。
题露台夜炷图（元·揭祐民）　　七言绝句　押阳韵	赭红清夜露台香，月冷铜人正耐霜。心事意知惟密诉，帝青天语近琅琅。
题玉版兰亭（元·揭祐民）　　七言绝句　押麻韵	临池旧眼被昏遮，玉版摩挲字隔纱。忽忆昔年观定本，绝胜枕臼与梅花。
听儿读卫诗二首（元·揭祐民）　　七言绝句　押支韵	羔羊同时缝素丝，抑抑有老尊其仪。如何多善臣子国，犹有北门怀仕诗。
题四时折枝（元·揭祐民）　　七言绝句　押支韵	京洛名花观盛衰，霅钱风景各随时。灵株本拨无留活，却恨图中误折枝。
永固庙（元·揭祐民）	凿凿龙虎死，集灵壮高居。其阳播江涛，其阴蓄澄湖。井固不可改，邑亦何尝殊。但感岁月迁，流入楣间书。重来二十年，旧碧眼欲枯。神在不可亵，下山仍踟J。
淮安王吴山歌六章（元·揭祐民）	泽欲流，强用兵。仁者师，无威声。持百万，如云行。令所出，时扬鹰。不血刃，惟功成。
南山泉（元·揭祐民）	南山有泓泉，濯濯清不浑。下有到地株，上有号云猿。积石从西来，岁久根遂蟠。如何百年后，雕凿加钻刓。我恨来最迟，不见真气完。万物自有弊，至理难穷言。
河南王孙南谷平章诗三章（元·揭祐民）　　押尤韵	河之水，波浟浟。见世泽兮在中流，夹日焜耀兮为国伊周。保合元气兮春阳和柔，功有绍兮名长留。
登凤凰台（元·揭祐民）	西风扫建业，六朝倏更代。孤凤何年来，高台此留待。唐家日方中，忧昃深感慨。宗臣裂肝胆，片语到今在。痴云起大荒，事业果颠沛。遗吟所镌磨，岁月又屡改。梁园后悲秋，草草作南内。登台渺八顾，潮落石头碎。祸乱有本原，臣子出忠爱。夜深挹长庚，江月为谁对？
西风碍长养（元·揭祐民）	西风碍长养，冷气移当暑。河北饥未赒，燕中久无雨。传言山东地，亦有流冗故。细民辄疵疠，天意肯回互。犹闻客子船，买口向南去。饥馑事关天，肯使为利赂。南人多暴殄，米粟易珠土。此理焉可常，翻覆随朝暮。曩岁江浙间，眼见吁可惧。长愿四序平，秋香熟禾黍。
泰山发秋潦（元·揭祐民）	泰山发秋潦，东鲁数州没。及兹黄河交，南徐更汤割。我乘归船来，引缆行木末。高原尚为沈，低土焉得遏。夜来泊溪岸，寒螀啼冷月。鸿雁无宁宅，蛟蜃有深窟。秋成一月浸，百草俱烂物。客中视此意，忧事贯华发。茫茫下双洪，寥落寸心掇。
中原道上次欧阳齐汲韵（元·揭祐民）	中原七郡地，气厚风还淳。天分涧瀍水，路入河洛春。圣贤所经营，绳准相均平。六合昔有隔，一观恨无因。怀哉此盛区，理者皆先民。曾经龙虎啖，重为狼羊贫。大若斡元化，细物涵深仁。一士行其间，鞍马犹逡巡。解带思古道，题诗清路尘。望迷黄河北，欲度正怆神。遗黎当道隅，涕说青城滨。青城不可说，回首伤天津。
瘠马图（元·揭祐民）　　押微韵	念汝出塞下，四蹄疾如飞。半夜驰临关，气夺戎王围。被铁踏河冰，几度向武威。将军事百战，腾力不顾肥。祇今饮渭流，齿老不任鞿。坡寒暮风酸，碛瘠春草微。百感画者意，要见骏骨稀。但看古英贤，工苦常寒饥。
绣妇行（元·揭祐民）　　押阳韵	回文未动机心忙，幼时学刺双鸳鸯。渐摹小景作芦雁，稍引初智成麇獐。几回停线望长晷，年深勾拨入教坊。宫罗裁就绣御用，伴伍推让尊前行。一丝欲理三涤手，龙凤密凑云分光。臂垂枯木挂猿狖，眼注寒水明鹙鸧。瘖瘖蜩蝉壳未脱，栉栉蚕腹丝为僵。晴天日杲等馀事，清夜膏继争毫芒。鸣机裂下绷忽解，掴掴一弗声闻廊。千秋万岁奉圣王，若比倚市真谁强。
