游广教寺次李生韵（元·杨翮）　　五言律诗　押冬韵	胜日款禅宫，苍苔印屐踪。云间闻梵语，烟外听斋钟。树列千年桧，林深百尺松。明珠光错落，幽壑舞骊龙。
送唐伯庸二首（元·杨翮）　　五言绝句　押皓韵	江南一何秀，寄语北人道。翡翠戏兰苕，奈此颜色好。
题徐熙桃花鹦鹉图（元·杨翮）　　七言绝句　押真韵	海上红云日日新，碧鸾无梦识芳尘。金笼不锁閒鹦鹉，占得东风一段春。
寄于清叔二首（元·杨翮）　　七言绝句　押元韵	暖沁香篝宿火温，绛纱红烛照黄昏。自怜不废千金夜，帐底吹笙倒玉尊。
题李德瞻壁间相看不厌图（元·杨翮）　　七言绝句　押寒韵	窗前图画胜玄关，怪石长松九夏寒。寄语山灵休厌客，清风明月好相看。
送孔进道宰星子（元·杨翮）　　押纸韵	素王有贤孙，达尊在德齿。爵膺天子命，绾绶宰百里。南康控湖江，属县望星子。江右号嚣哗，斯地独醇美。帝眷礼义俗，择令烦为理。惟君当厥任，君志亦愿喜。扬帆溯洪涛，巨舰千图史。牛刀新发硎，割鸡聊用此。抚字定多暇，弦歌自今始。廉车察殿最，衡鉴在止水。会采襦裤谣，移书上风纪。
送索都事赴浙东佥宪（元·杨翮）	挟策事明主，出入承明庐。一为淮南宾，籍籍播清誉。制诏擢御史，行台在东吴。间岁升幕府，遄闻复超除。宾客出相送，饯饮西城陬。持节往何之，直指婺女墟。东瓯杭于越，会稽薄海嵎。行部列郡中，山川郁盘纡。长吏走上谒，县令为前驱。驷马何奕奕，高盖拥路衢。观者咸叹息，云是今大儒。谁言钟鼎贵，曾不由诗书。区区刀笔吏，安□遏亨涂。
上巳日燕饮（元·杨翮）　　押支韵	閒居眷芳春，况乃修禊时。群贤毕倾盖，招宴酬素期。华馆挹奇观，嘉席延多仪。兰芬扬光风，藻色涵晴漪。末座聆高谈，雅抱摅遐思。虽微丝与竹，清兴良足怡。画舸翳中沚，繁声流四涯。俗情岂无乐，斯意非所知。千载一胜赏，继此当复谁。达者解其会，浩饮宁须辞。
春游次韵（元·杨翮）　　押侵韵	白日谅难羁，流光遽侵寻。春风万馀里，触景愁我心。出门将何之？高步凌岖嵚。累累丘冢间，古木殊阴森。昔贤日已远，朱瑟尚遗音。千秋百岁后，有酒不可斟。伤哉雍门语，感之泪沾襟。荣名安足羡，行乐须在今。夙兴听鸿雁，嗷嗷尚哀吟。
金溪县孝女庙乐歌三章（元·杨翮）　　押阳韵	灵之来兮两旗张，导旌幢兮锵琳琅。缤晻暧兮相颉颃，并辎軿兮归故乡。归故乡兮民所望，昭肸蚃兮曶洋洋。庭燎辉兮夜未央，椒兰发兮郁芬芳。民报祀兮弗敢忘，心屏营兮咸肃将，灵格思兮民乐康。
酬孔秀才（元·杨翮）　　押尤韵	达人乐高蹈，寒士耽远游。远游欲何之，禦冬无重裘。栖栖道路间，四顾谁与谋。温言忽相慰，庆惬复焉求。三复《缁衣》诗，调高安能酬。薄言写心曲，终觉怀惭羞。
