湖光山色楼（元·熊梦祥）　　五言律诗　押删韵	移舟界溪上，忽见海虞山。山接空青外，湖当惨澹间。松声听欲近，帆影坐看还。何处西风起，渔歌下别湾。
客怀奉简玉山（元·熊梦祥）　　七言律诗　押阳韵	我昔离家七月强，只今十月陨清霜。可惭浊酒黄花兴，应悔青灯白发长。翠袖天寒修竹暗，绮窗日暖唾茸香。夜长枕上扬州梦，江北江南是故乡。
题王元章画梅花（元·熊梦祥）　　七言律诗　押真韵	水影晴光为写神，当时已是失天真。一从残角吹新曲，几向寒溪觅故人。缟袂归来犹有月，佩环飞去更无尘。莫言醉魄空离落，信把和羹属大臣。
题管夫人竹（元·熊梦祥）　　七言绝句　押庚韵	夫人写竹何纵横，错刀离离光怪生。安得月明招白凤，玉阑西畔听秋声。
题二色芙蓉便面（元·熊梦祥）　　七言绝句　押寒韵	曾障西风十二阑，亭亭醉醒碧波寒。月边青鸟无消息，流落人间作画看。
题李息斋竹（元·熊梦祥）　　七言绝句　押阳韵	蓟丘道人写潇洒，烟寒兔齿石苍苍。素娥剪翠云叶乱，三十六陂春水香。
题画山矾（元·熊梦祥）　　七言绝句　押庚韵	傍路依山到处生，只因樵牧惯相轻。若教尘俗如桃李，未必梅花肯作兄。
题王元章梅（元·熊梦祥）　　七言绝句　押萧韵	紫禁春醲雪未消，年年香冷只飘飖。许身入画酬清赏，不嫁东风过小桥。
题蕺山题扇图（元·熊梦祥）　　七言绝句　押支韵	蕺山老媪本无知，恰值将军乘兴时。竹扇一时光怪动，莫教低价与元规。
笞女台歌（并引）（元·熊梦祥）	荒草堆，燕人号为笞女台。金源萧后饬宫女，表正壶范出圣裁。此事庸或有，史笔独不该。繁华若流水，去者不复回。后人见遗迹，孰不兴远怀。閒花野草今犹昔，当时美人安在哉。
春晖楼分韵得仰字（元·熊梦祥）	行行别楚州，秋芜半苍莽。关河飏旌旗，令人心怏怏。礼乐百年间，于焉日悽怆。历此艰危中，别郡政劳攘。何由得清夷，复见桑麻长。故人居桃源，买舟得独往。坐我广厦间，薄言慰遐想。维此秋方中，桂月延清赏。连甍接层台，夜色亦萧爽。主人情更真，顿觉脱尘鞅。吴歈侑金尊，讴歌共抵掌。欢会亦可期，乐事非勉强。醉后下（一作登）高楼，凉月犹在仰。
丁都护（元·熊梦祥）	丁督护，郎上马，将星煌煌，干戈戚扬。貔貅百万羽林郎，旌旗所指孰敢当。丁督护，郎下马，穹庐满野，笑言哑哑。良家女儿擎玉斝，夜来叶落消长夜。丁督护，郎进兵，旗电鼓霆，泽剑流星。指麾卫军歌楚声，主将倾危血刃腥。丁督护，魂来归，少妻娇儿，涕泗涟洏。去时鞍马何人骑，肘后玉印今归谁？呜呼猗戏，国之梁栋，哲人萎萎！
题柏子庭枯木（元·熊梦祥）　　押叶韵	铁珊瑚树飞鬼蝶，王子敝舄不许蹑。乞与海神神不收，涌树雪晴光晔晔。何人泼墨澹复浓，使我一见成心猎。便令退从未画前，无孔笛中宫徵叶。
和西湖竹枝词（元·熊梦祥）　　押微韵	船头新月恰如眉，折得双头莲子归。荷花菱叶不同种，蝴蝶蜻蜓各自飞。
