閒居（元·萧国宝）　　五言律诗　押豪韵	开扉对东皋，逸兴觉偏豪。积雨苔痕合，残阳树影高。独醒无酒债，多病为诗劳。学得安贫法，悠然读楚骚。
秋思（元·萧国宝）　　五言律诗　押阳韵	閒看浮云白，临风清且凉。烟林含紫翠，霜菊閒青黄。远浦沈孤鹜，荒郊宿野航。心空随地静，木石自相忘。
饯张大使游淮（元·萧国宝）　　七言律诗　押真韵	竟夕相欢无俗宾，悲歌弹剑壮青鳞。一篷夜雨家山梦，千里春风淮海身。缆解河桥杨柳密，酒沽村店杏花新。此行早献安南策，露布争传夺虎巾。
春日（元·萧国宝）　　七言律诗　押先韵	东风竟日掩柴关，读罢离骚新火烟。一彗落红春扫地，半篙新绿水连天。梦魂枕上惊蝴蝶，乡思灯前怯杜鹃。祇为儒冠空白发，几将心事赋归鞭。
晚兴（元·萧国宝）　　七言律诗　押微韵	翻尽残书已落晖，樵歌引我出柴扉。江横露气吞渔艇，风挟秋声动羽衣。沙草荒凉黄犊卧，渚花萧瑟白鸥飞。断云数片无拘束，满目青山入翠微。
九日风雨（元·萧国宝）　　七言律诗　押寒韵	无端风雨路漫漫，合作重阳一日寒。酒带儒酸休怪吏，花含客泪欲辞官。蛩声强聒江城晚，雁影横沈塔水宽。閒就竹床成一梦，小儿偷为整颓冠。
次韵寄梵天方丈古岩（元·萧国宝）　　七言律诗	方将飞锡思匆匆，竟夕蒲团月影重。剖破菊篱花雨散，心归莲社色身空。栖禅石煖云生衲，载酒船香雪满篷。简尽残经无字悟，觉来幡动不关风。
山居咏（元·萧国宝）　　七言律诗　押元韵	残红零落鸟无言，结竹为篱梦不喧。雨渍短垣茸草色，水涵空石露蒲根。风摇碎影春将尽，烟裹深林月欲昏。冷砚久荒时一洗，墨香狼藉引鱼吞。
夜过吴江（元·萧国宝）　　七言律诗　押庚韵	西风飒飒一帆轻，路入松陵夜正清。市户残灯临水影，渔村短笛隔云声。丹枫叶落霜初肃，白苇花开月倍明。我有元龙豪气在，四桥波浪不须惊。
冬夜（元·萧国宝）　　五言绝句　押阳韵	虚室寒侵骨，疏梅月影床。三更孤雁泪，悲怨不成行。
赠寂堂和尚（元·萧国宝）　　五言绝句	冷云和衲定，悟到觉身轻。地静人偏胜，山空水亦灵。
题画（元·萧国宝）　　七言绝句　押齐韵	半山苍霭销招提，托宿僧寮路欲迷。惟有晓钟遮不断，数声吹落小桥西。
