大官乐 冬（元·长筌子）	斜横疏影天香软，冷斋夜话诗魂远。好把红潮频满劝。任教六出风撩乱。
大官乐 春（元·长筌子）　　押屑韵	踏青放适游人悦，江山明媚阳和节。出谷新莺声软怯，柳绵零落如飞雪。
大官乐 秋（元·长筌子）　　押宥韵	登高雅会时当九，黄花乍坼东篱后。烟淡波寒谁信受。风敲红叶霜林瘦。
大官乐 夏（元·长筌子）	石榴色蘸香囊血，绿荷如盖莲开叶。避暑登楼心爽洁。霜纨挥落寥天月。
玩瑶台 本名耍三台（元·长筌子）	直指玄元路。叹苦海、迷人不悟。在目前、平平稳稳，又无些、险难相阻。把万缘、一齐放下，他自然有圣贤提举。似断云、野鹤飞腾，向物外、青霄信步。庆会神仙语。渴时饮、蟠桃醁醑。出入在、星楼月殿，笑人间、死生今古。跨彩凤祥鸾玩太虚，归来卧、碧霞深处。这逍遥活计谁传，分付与、蓬莱伴侣。
雨中花（元·长筌子）　　押阳韵	急急蛩音，似箭暗催，人物烟草茫茫。塞鸿悲秋晚，败叶飘黄。万里关山牢落，一天风雨凄凉。这萧闲活计，向谁分诉，表我衷肠。霜零露冷，菊瘦梧凋，又近重阳。信道壶中光景，云水家乡。金殿玉楼庭院，锦溪花坞池塘。世间虚幻，薄名浮利，都寄黄粱。
洞玄歌（元·长筌子）	野堂花老。槛外幽香度。绿影沉沉映窗户。任从他、日转西郊，且闲看、云生南浦。见隐隐遥岭接天青，又石齿分泉，迸珠飞雨。丹丘咫尺，几个人回顾。鼷鼠穿窬岂足数。假直饶、绮陌长游，争似向、烟岚深处。枕万壑云霞乐平生，便不胜红尘，点染缁素。
洞玄歌（元·长筌子）	倦游退尺，栗里潜疏拙。浩气凌空向谁说。醉酬春、酝酿三杯，遣幽兴、沧茫一叶。更野服萧然越林丛，拉信友，相须竹风花月。生涯淡净，至妙人间绝。不尚文轩锦屏列。乐田庐、啸傲华颠，种松菊、栖迟清节。这一味真欢几人知，有静几蒲团，兽炉沉屑。
莺穿柳（元·长筌子）	乘桴默契。便休休倦役，结茅归里。一任貔貅威镇，虎韬熊略，旌麾争起。赳赳成何济。只赢得、玉颜先弊。覆手一场空，过眼繁华虚矣。争似乐然从己。赏花浓上苑，鱼游春水。满泛红潮美。且郁陶襟怀，青门歌吹。醉卧东风里。看隋堤柳摇金蕊。放适簪缨，乱铺苍翠。
绿头鸭（元·长筌子）	雨初晴，江山景色新鲜。乍艳阳，春光美丽，见郊原、芳草芊芊。睹梨花、轻笼淡月，闻松声、冷和清泉。风细池塘，帘垂院落，晓莺啼唤柳含烟。更叠翠山屏如悄，时物笔难传。谁能悟，韶华不久，人世非坚。走红尘、何曾返照，损气神、虚度流年。竞锥刀、如蝇见血，恋妻男、似蚁争膻。火宅忧煎，情波出没，四生六道不知还。任千劫轮回贩骨，迷了本灵源。聪明客，诸缘放下，闲里修仙。
解愁（元·长筌子）	岁月匆匆，忙如奔骑。来往暗催浮世。爱河谁省悟，戏欲浪苦争名利。火院忧他妻共子。更不念、自身憔悴。你直待大限临头，恁时悔恨，又成何济。活鬼贩骨千回，空劳壤纷纷，闹如蝼蚁。丈夫心猛烈，秉慧万缘齐弃。劈碎凡笼无挂碍。任自在、玩山游水。向林下、醉饮真风，坦然高卧，占清闲贵。
解愁（元·长筌子）	返照人间，忙忙劫劫。昼夜苦辛无歇。大都能几许，这百年有如春雪。可惜天真逐爱欲，似傀儡、被他牵拽。暗悲嗟、苦海浮生，改头换壳，看何时彻。听说古往今来，名利客，空有兔踪狐穴。六朝并五霸，输他水云英杰。一味真纯为伴侣，养浩然、岁寒清节。这些儿、冷淡生涯，与谁共赏，有松窗月。
醉中归（元·长筌子）	过隙时光促。人身似风烛。谁信神明，暗里报人灾福。观二曜如转毂。昼夜翻腾荣辱。群情苦，攒攒簇簇，贪迷嗜欲。独我回头，归来隐山谷。水钓云耕，雅种数枝松菊。闲来后，歌一曲。不羡权门红绿。养愚鲁，清贫自在，平生愿足。
一枝春（元·长筌子）	堪嗟肉傀儡，尘世争奇怪。昼夜火院煎苦，沉埋花酒丛中，孽重终难改。贩骨何时彻，头面翻腾，昧了灵源真宰。独我而今乐自在。放逸游寰海。逍遥天地间、笑开怀，一味清闲，万里金难买。九转功夫足，步月携云，稳赴金莲仙会。
一剪梅（元·长筌子）	身若白云任卷舒。天涯海岸，自在无拘。太虚廓落是吾庐。不羡王侯，拱璧轩兴。一味闲闲乐有馀。从他活计，冷淡消疏。归来毕竟理何如。心月辉辉，光射蓬壶。
二郎神（元·长筌子）	离尘俗，便点检林泉雅趣。竹杖芒鞋青箬笠，泛烟波、绿蓑柔橹。月夜江天无尽乐，品短笛、潇湘蓼渚。此消息，千金不卖，好对渔樵分付。归去。对晚翠风生小浦。勘破南华龟曳尾，尽教他衣冠豺虎。野水添杯谁似我，醉卧白云深处。任秋月春花，暗换桑田，明催今古。
二郎神（元·长筌子）	平生兴，有万顷云山野景。竹疃梅村蓬户悄，这幽闲、世间难胜。一曲无弦喧宇宙，对沉水、石炉绝听。向林下栖迟，养就懒散，烟霞情性。复命。披短褐玄通古圣。看鹭立鸥飞沙觜岸，笑醯鸡瓮中流梗。一枕华胥春梦觉，岂羡封侯列鼎。早回首归来，月照松溪，云岩苔径。
二郎神（元·长筌子）	诉衷情，为大地众生泪洒。晓夜忧煎贪活路，尽都被、妻男相挂。使万种机关图富贵，全不怕、犁耨高架。劝愚迷早悟，后世因缘，直言直写。幽雅。买玄妙不用钱价。只用他心灯常不昧，要万法灵通总压。待行满丹成归去日，把四假凡躯脱下。向桃源仙会，玉殿金楼，长春不夜。
二郎神（元·长筌子）	叹平生，谩日夜劳劳攘攘。想一世浮华能几许，若云间、电光翻掌。梦幻吞侵何日省，恋火院、缠绵业网。这人身一失，万劫难逢，谁能回向。清爽。猛跳出迷津欲浪。彼岸风光真快乐，伴孤云野鹤飘荡。悟彻灵台无障碍，似月挂寥天朗朗。满十方三界，莹彻圆明，逍遥吟唱。
