丁督护歌六首（南北朝·刘骏）　　押庚韵	督护北征去，前锋无不平。朱门垂高盖，永世扬功名①。
游覆舟山诗（南北朝·刘骏）　　押药韵	束发好怡衍，弱冠颇流薄。素想终勿倾，聿来果丘壑。层峰亘天维，旷渚绵地络。逢皋列神苑，遭坛树仙阁。松墱含青晖，荷源煜彤烁。川界泳游鳞，岩庭响鸣鹤①。
登作乐山诗（南北朝·刘骏）	修路轸孤辔，竦石顿飞辕。遂登千寻首，表里望丘原。屯烟扰风穴，积水溺云根。汉潦吐新波，楚山带旧苑①。壤草凌故国，拱木秀颓垣。目极情无留，客思空已繁②。
登鲁山诗（南北朝·刘骏）　　押尤韵	解帆憩通渚，息徒凭椒丘。粤值风景和，升高从远眸。纪郢穷西路，湘梦极南流。杳哉汉阴永，浩焉江界修①。
济曲阿后湖诗（南北朝·刘骏）　　押虞韵	宵登毗陵路，旦过云阳郛。平湖旷津济，菰渚迭明芜。和风翼归采，夕氛晦山嵎。惊澜翻鱼藻，赪霞照桑榆①。
与庐陵王绍别诗（南北朝·刘骏）　　押缉韵	连岁矜离心，今兹幸良集。信宿穷晨暮，开颜披所戢。未尽欢娱怀，已伤歧路及。舳舻引江介，飞旌背尔邑。悄扰徒旅戒，团栾流景入。迟迟分手念，泫泫登路泣①。
幸中兴堂饯江夏王诗（南北朝·刘骏）　　押侵韵	送行怅川逝，离酌偶岁阴。阴云掩欢绪，江山起别心①。
拜衡阳文王义季墓诗（南北朝·刘骏）	昧旦凭行轼，濡露及山庭。投步矜履蹈，举目增凄清。轺路灭归轸，沦闼负重扃。深松朝已雾，幽隧晏未明。长杨敷晚素，宿草披初青。哀往起沈泉，追爱恸中情。竹帛凭年远，世范随伏倾①。
七夕诗二首（南北朝·刘骏）　　押阳韵	白日倾晚照，弦月升初光。炫炫叶露满，肃肃庭风扬。瞻言媚天汉，幽期济河梁。服箱从奔轺，纨绮阙成章。解带遽回轸，谁云秋夜长。爱聚双情款，念离两心伤。
夜听妓诗（南北朝·刘骏）　　押寘韵	寒夜起声管，促席引灵寄。深心属悲弦，远情逐流吹。劳襟凭苦辰，谁谓怀忘易①。
咏史诗（南北朝·刘骏）　　押东韵	聂政凭骁气，荆轲擅美风。孤刃骇韩庭，独步震秦宫。怀音岂若始，捐躯在命终。雄姿列往志，流声固无穷①。
初秋诗（南北朝·刘骏）	夏尽炎气微，火息凉风生。绿草未倾色，白露已盈庭。远视秋云发，近听寒蝉鸣。运移矜物化，川上感馀情①。
秋夜诗（南北朝·刘骏）　　押支韵	局景薄西隅，升月照东垂。肃肃风盈幕，泫泫露倾枝。侧闻飞壶急，坐见河宿移。睹辰念节变，感物矜乖离①。
四时诗（南北朝·刘骏）　　押寒韵	堇茹供春膳，粟浆充夏餐。瓟酱调秋菜，白醝解冬寒①。
斋中望月诗（南北朝·刘骏）　　押庚韵	褰幕荡暄气，入夜渐流清。微微风始发，暧暧月初明。思因往物深，悲以归云盈①。
北伐诗（南北朝·刘骏）　　押阳韵	表里跨原隰，左右御川梁。月羽皎素魄，皇旗赩赤光①。
歌（南北朝·刘骏）　　押先韵	山怀风兮谷吐泉，清潭邃兮远气宣。符深情兮应遥心，促千里兮测云天①。
离合诗（南北朝·刘骏）	霏云起兮泛滥。雨霭昏而不消。意气悄以无乐。音尘寂而莫交。守边境以临敌。寸心厉于戎昭。阁盈图记。门满宾僚。仲秋始戒。中园初凋。池育秋莲。水灭寒漂。旨归涂以易感。日月逝而难要。分中心而谁寄。人怀念而必谣①。
华林都亭曲水联句产柏梁体诗（南北朝·刘骏）　　押漾韵	九宫盛事予旒纩。三辅务根诚难亮。策拙枌乡惭恩望。折冲莫效兴民谤。侍禁卫储恩逾量。臣谬叨宠九流旷。喉唇废职方思让。明笔直绳天威谅（御史中丞颜师伯○《类聚》五十六。广《文选》十五。《诗纪》五十四）。
之江州诗（南北朝·刘骏）　　押寒韵	山曲蒙幽雨，江路结流寒①。
