远期（南北朝·张率）　　押霰韵	远期终不归，节物坐将变。白露怆单衣，秋风息团扇。谁能久别离，他乡且异县。浮云蔽重山，相望何时见。寄言远期者，空闺泪如霰①。
对酒（南北朝·张率）　　押真韵	对酒诚可乐，此酒复芳醇。如华良可贵，似乳更堪珍。何当留上客，为寄掌中人。金樽清复满，玉椀亟来亲。谁能共迟暮，对酒惜芳辰。君歌尚未罢，却坐避梁尘①。
日出东南隅行（南北朝·张率）　　押阳韵	朝日照屋梁，夕月悬洞房。专遽自称艳，独□伊览光。虽资自然色，谁能弃薄妆。施着见朱粉，点画示赪黄。含贝开丹吻，如羽发清阳。金碧既簪珥，绮縠复衣堂。方领备虫彩，曲裙杂鸳鸯。手操独茧绪，唇凝脂燥黄①。
相逢行（南北朝·张率）	相逢夕阴街，独趋尚冠里。高门既如一，甲第复相似。凭轼日欲昏，何处访公子。公子之所在，所在良易知。青楼出上路，渐台临曲池。堂上抚流徽，雷樽朝夕施。橘柚芬华实，朱火燎金枝。兄弟两三人，冠佩纷陆离。朝从禁中出，车骑并驱驰。金鞍马脑勒，聚观路傍儿。入门一顾望，凫鹄有雄雌。雄雌各数千，相鸣戏羽仪。并在东西立，群次何离离。大妇刺方领，中妇抱婴儿。小妇尚娇稚，端坐吹参差。丈夫无遽起，神凤且来仪①。
走马引（南北朝·张率）　　押支韵	良马龙为友，玉珂金作羁。驰骛宛与洛，半骤复半驰。倏忽而千里，光景不及移。九方惜未见，薛公宁所知。敛辔且归去，吾畏路傍儿①。
沧海雀（南北朝·张率）　　押虞韵	大雀与黄口，来自沧海区。清晨啄原粒，日夕依野株。虽忧鸷鸟击，长怀沸鼎虞。况复随时起，翻飞不可拘。寄言挟弹子，莫贱隋侯珠①。
楚王吟（南北朝·张率）　　押萧韵	章台迎夏日，梦远感春条。风生竹籁响，云垂草绿饶。相看重束素，唯欣争细腰。不惜同从理，但使一闻韶①。
清凉（南北朝·张率）　　押真韵	登台待初景，帐殿蔼馀晨。罗帐夕风济，清气尚波人。长簟凉可仰，平莞温未亲。幸愿同枕席，为君横自陈①。
玄云（南北朝·张率）　　押微韵	坏阵压峨垄，遮窗暗思扉。映日斜生海，跨树似鹏飞。梦山妾已去，落靥何由归①。
白纻歌九首（南北朝·张率）　　押庚韵	歌儿流唱声欲清。舞女趁节体自轻。歌舞并妙会人情。依弦度曲婉盈盈。扬蛾为态谁目成①。
咏霜诗（南北朝·张率）	驷见视乾度，钟鸣测地机。秋冬交代序，申霜白绥绥。原野生暮霭，阶墀散夕霏。徘徊总严气，怅望沦清辉。平台寒月色，池水怆风威。凝阴同徂夜，遰雁独归飞。萦丛乱芜绝，繁林纷已稀。贞松非受令，芳草徒具腓①。
太庙齐夜诗（南北朝·张率）　　押梗韵	洁斋谢纷华，寂寥清庙静。肃襟视牲盛，端服侍严省①。
咏跃鱼应诏诗（南北朝·张率）　　押支韵	戢鳞隐繁藻，颁首承渌漪。何用游溟澥，且跃天渊池①。
梁雅乐歌五首 应王受图曲（南北朝·张率）	应王受图，荷天革命。乐曰功成，礼云治定。恩弘庇臣，念昭率性。乃眷三才，以宣八政。愧无则哲，临渊自镜。或戒面从，永隆福庆①。
短歌行（南北朝·张率）　　押有韵	君子有酒，小人鼓缶。乃布长筵，式宴亲友。盛壮不留，容华易朽。如彼槁叶，有似过牖。往日莫淹，来期无久。秋风悴林，寒蝉鸣柳。悲自别深，欢田会厚。岂云不乐，与子同寿。我酒既盈，我肴伊阜。短歌是唱，孰知身后①。
长相思二首（南北朝·张率）	长相思。久离别。美人之远如雨绝。独延伫。心中结。望云云去远。望鸟鸟飞灭。空望终若斯。珠泪不能雪①。
