秋日侍宴娄苑湖应诏诗（南北朝·江总）　　押阳韵	翠渚还銮（文苑作鸾）辂，瑶池命羽觞。千门响云跸，四泽动荣光。玉轴昆池浪，金舟太液张。虹旗照岛屿，凤盖绕林塘。野静重阴阔（文苑作阁），淮秋水气凉。雾开楼阙近，日迥烟波长。洛宴谅斯在，镐饮讵能方。朽劣叨荣遇，簪笏奉周（文苑作同）行。
侍宴玄武观诗（南北朝·江总）　　押萧韵	诘晓三春暮，新雨百花朝。星宫移渡䍐（类聚作汉），天驷动行镳。旆转苍龙阙，尘飞饮马桥。翠观迎斜照，丹楼望落潮。鸟声云里出，树影（类聚作彩）浪中摇。歌吟奉天咏，未必待闻韶。
宴乐修堂应令诗（南北朝·江总）　　押阳韵	肃城通甲观，承华启画堂。北宫降恩赏，西园度羽觞。殊私（文苑作思）奉玉裕，终宴在金房。庭晖连树彩，檐影接云光。仙如伊水驾，乐似洞庭张。弹丝命琴瑟，吹竹动笙簧。庸疏滥应阮，衰②朽恧①连章。
三日侍宴宣猷堂曲水诗（南北朝·江总）　　押支韵	上巳娱春禊，芳辰喜月离。北宫命箫鼓，南馆列旌麾。绣柱擎①飞阁，雕轩傍曲池。醉鱼沈远岫，浮枣漾清漪。落花悬度影，飞丝不（当作下）碍枝。树动丹楼出，山斜翠磴危。礼周羽爵遍，乐阕光阴移。
秋日游（南北朝·江总）　　押歌韵	灵①沼萧条望，游人意绪多。终南云影落，渭北雨声过。蝉噪金堤柳，鹭饮石鲸②波。珠来照③似月，织处写成河。此时④临水叹，非复采莲歌。
秋日登广州城南楼诗（南北朝·江总）　　押东韵	秋城韵晚笛，危榭引清①风。远气疑埋剑，惊禽似避弓。海树一边出，山云四面通。野火初烟细，新月半轮空。塞外离群客（类聚作鸟），颜鬓早如蓬。徒怀建邺（文苑作业）水，复想洛阳宫。不及孤飞雁，独在上林中。
赠洗马袁朗别诗（南北朝·江总）　　押先韵	贾谊登朝日，终军对奏年。校文升广内，抚剑入崇贤。奇才殊艳逸①，将别更留连②。驱车命铙③管，拱坐面林泉。池寒稍下雁，木落久无蝉。露浸（类聚作侵）山扉④月，霜开石路烟。高谈无与⑤慰，迟尔报华篇。
诒孔中丞奂诗（南北朝·江总）	我行五岭表，辞乡①二十年。闻莺欲动咏，披雾即依然。畴昔同寮寀，今（文苑作亟）随年代改。借问藏书处，唯君故人在。故人名宦②高，霜③简肃权豪。谁知怀九叹，徒然泣二毛。步出东郊望，心游江海上。遇物便今古，何为不惆怅。初晴原野开，宿雨润条枚。丛花曙后发，一鸟雾中来。淹留兰蕙苑，吟啸芳菲晚。忘怀静躁间，自觉风尘远。白社聊可依，青山乍采薇。钟牙④乃得性，语默岂同归。
赠贺左丞萧舍人诗（南北朝·江总）	輶轩通八表，旌节骛三秦。听歌酬（文苑作犹）敏对，继好伫行人。贺生思沈郁，萧弟学纷纶。共有笔端誉，皆为席上珍。离群徒悄悄，征旅日駪駪。黄河分太史，一曲悲千里。海内平生亲，中朝流寓士。痛哉悯梁祚，于焉三十祀。钟仪絷不归，盛宪非何已。陇头心断绝，尔为参生死。回首望长安，犹如①蜀道难。函关分地轴，华岳接天坛。行旃方境逝②，去棹舣江干。芦花霜外白，枫叶水前丹。翔鸥方怯③冻，落雁④不胜弹。辉辉盛王道，时务婴疲老。九流倦耳目，十⑥年变⑤怀抱。何以敦歧路，凄然缀辞藻。江南有桂枝，塞北无萱草。斗酒未为别，垂堂深自保。
遇长安使寄裴尚书诗（南北朝·江总）　　押微韵	传闻合①浦叶，远向洛阳飞。北风尚嘶马，南冠独不归。去云②目徒送，离琴手自挥。秋蓬失处所，春草屡芳菲。太③息关山月，风尘客子衣。
