岁晚还京台望城阙成口号先赠交亲（唐·卢僎）　　五言律诗　押麻韵	紫陌开行树，朱城出晚霞。犹怜惯去国，疑是梦还家。风弱知催柳，林青觉待花。交亲望归骑，几处拥年华。
送苏八给事出牧徐州用芳韵（相国请出）（唐·卢僎）　　五言律诗　押阳韵	金鼎属元方，璅闱连季常。畏盈聊出守，分命乃维良。晓骑辞朝远，春帆向楚常。贤哉谦自牧，天下咏馀芳。
途中口号（唐·卢僎）　　五言绝句　押真韵	抱玉三朝楚，怀书十上秦。年年洛阳陌，花鸟弄归人。
南望楼（唐·卢僎）　　五言绝句　押真韵	去国三巴远，登楼万里春。伤心江上客，不是故乡人。
临川送别（唐·卢僎）　　五言绝句　押敬韵	秋郊日半隐，野树烟初映。风水正萧条，那堪动离咏。
题殿前桂叶（唐·卢僎）　　五言绝句　押删韵	桂树生南海，芳香隔楚①山。今朝天上见，疑是月中攀。
上幸皇太子新院应制（唐·卢僎）　　五言排律　押东韵	佳气晓葱葱，乾行入震宫。前星移（一作迎）北极，少海被南风。视膳铜楼下，吹笙玉座中。训深家以正，义举俗为公。父子成钊合，君臣禹启同。仰天歌圣道，犹愧乏雕虫。
奉和李令扈从温泉宫赐游骊山韦侍郎别业（唐·卢僎）　　五言排律　押鱼韵	风后轩皇佐，云峰谢客居。承恩来翠岭，缔赏出丹除。飞盖松（一作双）溪寂，清笳玉洞虚。窥岩详雾豹，过水略泉鱼。乡入无何有，时还上古初。伊皋羞过狭，魏丙服粗疏。白雪缘情降，青霞落卷舒。多惭郎署在，辄继国风馀。
季冬送户部郎中使黔府选补（唐·卢僎）　　五言排律　押东韵	握镜均荒服，分衡得大同。徵贤一台上，补吏五溪中。雨露将天泽，文章播国风。汉庭睽直谅，楚峡望清通。马逐霜鸿渐，帆沿晓月空。还期凤池拜，照耀列星宫。
初出京邑有怀旧林（唐·卢僎）　　押删韵	赋生期独得，素业守微班。外忝文学知，鸿渐鹓鹭间。内倾水木趣，筑室依近山。晨趋天日晏，夕卧江海闲。松风生坐隅，仙禽舞亭湾。曙云林下客，霁月池上颜。虽曰坐郊园，静默非人寰。时步苍龙阙，宁异白云关。语济岂时顾，默善忘世攀。世网余何触，天涯谪南蛮。回首思洛阳，喟然悲贞艰。旧林日夜远，孤云何时还。
稍秋晓坐阁遇舟东下扬州既事寄上族父江阳令（唐·卢僎）　　押尤韵	虎啸山城晚，猿鸣江树秋。红林架落照，青峡送归流。归流赴淮海，征帆下扬州。族父江阳令，盛业继前修。文掩崔亭伯，德齐陈太丘。时哉惜未与，千载且为俦。忆昔山阳会，长怀东上游。称觞阮林下，赋雪谢庭幽。道浓礼自略，气舒文转遒。高情薄云汉，酣态坐芳洲。接席复连轸，出入陪华辀。独善与兼济，语默奉良筹。岁月欢无已，风雨暗飕飕。掌宪时持节，为邦邈海头。子人惠虽树，苍生望且留。微躬趋直道，神甸忝清猷。仙台适西步，蛮徼忽南浮。宇内皆安乐，天涯独远投。忠信徒坚仗，神明岂默詶。观生海漫漫，稽命天悠悠。云昏巴子峡，月远吴王楼。怀昔明不寐，悲令岁属周。喟无排云翮，暂得抒离忧。空洒沾红泪，万里逐行舟。
让帝挽歌词二首（唐·卢僎）　　押庚韵	泰伯玄风远，延州德让行。阖棺追大节，树羽册鸿名。地户迎天仗，皇阶失帝兄。还闻汉明主，遗①剑泣东平。
十月梅花书赠（唐·卢僎）	君不见巴乡气候与华别，年年十月梅花发。上苑今应雪作花，宁知此地花为雪。自从迁播落黔巴，三见江上开新花。故园风花虚洛汭，穷峡凝雪度岁华。花情纵似河阳好，客心倍伤边候早。春候飒惊楼上梅，霜威未落江潭草。江水侵（一作寻）天去不还，楼花覆帘空坐攀。一向花前看白发，几回梦里忆红颜。红颜白发云泥改，何异桑田移碧海。却想华年故国时，唯馀一片空心在。空心吊影向谁陈，云台仙阁旧游人。傥知巴树连冬发，应怜南国气长春。
