澧头送蒋侯（唐·岑参）　　五言律诗　押齐韵	君住澧水北，我家澧水西。两村辨乔木，五里闻鸣鸡。饮酒溪雨过，弹棋山月低。徒闻①蒋生径，尔去谁相携。
送永寿王赞府径（一作遥）归县（得蝉字）（唐·岑参）　　五言律诗　押先韵	当官接闲暇，暂得归林泉。百里路不宿，两乡山复连。夜深露湿簟，月出风惊蝉。且尽主人酒，为君从醉眠。
闻崔十二（一作三十）侍御灌口夜宿报恩寺（唐·岑参）　　五言律诗　押阳韵	闻君寻野寺，便①宿支公房。溪月冷深殿，江云拥回廊。然灯松林静，煮茗柴门香。胜事不可接，相思幽兴长。
寄左省杜拾遗（唐·岑参）　　五言律诗　押微韵	联步趋丹陛，分曹限紫微。晓随天仗入，暮惹御香归。白发悲花落，青云羡鸟飞。圣朝无阙事，自觉谏书稀。
岁暮碛外寄元撝（唐·岑参）　　五言律诗　押文韵	西风传戍鼓，南望见前军。沙碛人愁月，山城犬吠云。别家逢逼岁，出塞独离群。发到阳关白，书今远报君。
寄宇文判官（唐·岑参）　　五言律诗　押删韵	西行殊未已，东望何时还。终日风与雪，连天沙复山。二年领公事，两度过阳关。相忆不可见，别来头已斑。
宿关西客舍寄东山严许二山人时天宝初七月初三日在内学见有高（一本有近字）道举徵（唐·岑参）　　五言律诗　押尤韵	云送关西雨，风传渭北秋。孤灯然客梦，寒杵捣乡愁。滩上思严子，山中忆许由。苍生今有望，飞诏下林丘。
丘中春卧寄王子（唐·岑参）　　五言律诗　押删韵	田中开白室，林下闭玄关。卷迹人方处，无心云自闲。竹深喧暮鸟，花缺露春山。胜事那能说，王孙去未还。
江行夜宿龙吼滩临眺思峨眉隐者兼寄幕中诸公（唐·岑参）　　五言律诗　押文韵	官舍临江口，滩声人①惯闻。水烟晴吐月，山火夜烧云。且欲寻方士，无心恋使君。异乡何可住，况复久离群。
汉川山行呈成少尹（唐·岑参）　　五言律诗　押先韵	西蜀方携手，南宫忆比肩。平生犹不浅，羁旅转相怜。山店云迎客，江村犬吠船。秋来取一醉，须待月光眠。
奉和杜相公初发京城作（唐·岑参）　　五言律诗　押支韵	按节辞黄阁，登坛恋赤墀。衔恩期报主，授律远行师。野鹊迎金印，郊云拂画旗。叨陪幕中客，敢和出车诗。
敬酬李判官使院即事见呈（唐·岑参）　　五言律诗　押删韵	公府日无事，吾徒只是闲。草根侵柱础，苔色上门关。饮砚时见鸟，卷帘晴对山。新诗吟未足，昨夜梦东还。
虢州酬辛侍御见赠（唐·岑参）　　五言律诗　押寒韵	门柳叶已大，春花今复阑。鬓毛方二色，愁绪日千端。夫子屡新命，鄙夫仍旧官。相思难见面，时展尺书看。
酬崔十三侍御登玉垒山思故园见寄（唐·岑参）　　五言律诗　押齐韵	玉垒天晴望，诸峰尽觉低。故园江树北，斜日巅云西。旷野看人小，长空共鸟齐。高山徒仰止，不得日攀跻。
南楼送卫凭（得归字）（唐·岑参）　　五言律诗　押微韵	近县多过①客，似君诚亦稀。南楼取凉好，便送故人归。鸟向望中灭，雨侵晴处飞。应须乘月去，且为解征衣。
送王伯伦应制授正字归（唐·岑参）　　五言律诗　押文韵	当年最称意，数子不如君。战胜时偏许，名高人共①闻。半天城北雨，斜日灞西云。科斗皆成字，无令错古文。
送宇文舍人出宰元城（得阳字）（唐·岑参）　　五言律诗　押阳韵	双凫出未央，千里过河阳。马带新行色，衣闻旧御香。县花迎墨绶，关柳拂铜章。别后能为政，相思淇水长。
崔驸马山池重送宇文明府（得苗字）（唐·岑参）　　五言律诗　押萧韵	竹里过红桥，花间藉绿苗。池凉醒别酒，山翠拂行镳。凤去妆楼闭，凫飞叶县遥。不逢秦女在，何处听吹箫。
送李郎尉武康（唐·岑参）　　五言律诗　押真韵	潘郎腰绶新，霅上县花春。山色低官舍，湖光映吏人。不须嫌邑小，莫即耻家贫。更作东征赋，知君有老亲。
碛西头送李判官入京（唐·岑参）　　五言律诗　押齐韵	一身从远使，万里向安西。汉月垂乡泪，胡沙费①马蹄。寻河愁地尽，过碛觉天低。送子军中饮，家书醉里题。
