临洛水（隋末唐初·李世民）　　五言律诗　押歌韵	春蒐驰①骏骨，总辔俯长河。霞处流萦②锦，风前瀁卷罗。水花③翻照树，堤兰倒插波。岂必汾阴曲，秋云发棹歌。
望终南山（隋末唐初·李世民）　　五言律诗　押先韵	重峦俯渭水，碧嶂插遥天。出红扶岭日，入翠贮岩烟。叠松朝若夜，复岫阙疑全。对此恬千虑，无劳访九仙。
首春（隋末唐初·李世民）　　五言律诗　押灰韵	寒随穷律变，春逐鸟声开。初风飘带柳，晚①雪间花梅。碧林青旧竹，绿沼翠新苔。芝田初雁去，绮树巧②莺来。
仪鸾殿早秋（隋末唐初·李世民）　　五言律诗　押支韵	寒惊蓟门叶，秋发小山枝。松阴背日转，竹影避风移。提壶菊花岸，高兴芙蓉池。欲知凉气早，巢空燕不窥。
秋暮言志（隋末唐初·李世民）　　五言律诗　押东韵	朝光浮烧野，霜华净碧空。结浪冰初镜，在径菊方丛。约岭烟深翠，分旗霞散红。抽思滋泉侧，飞想傅岩中。
咏风（隋末唐初·李世民）　　五言律诗　押庚韵	萧条起关塞，摇飏下蓬瀛。拂林花乱彩，响谷鸟分声。披云罗影散，泛水织文生。劳歌大风曲，威加四海清。
咏雨（隋末唐初·李世民）　　五言律诗　押歌韵	罩云飘远岫，喷雨泛长河。低飞昏岭腹，斜足洒岩阿。泫丛珠缔叶，起溜镜图①波。濛柳添丝密，含吹织空罗。
咏雪（隋末唐初·李世民）　　五言律诗　押微韵	洁野凝晨曜，装墀带夕晖。集条分树玉，拂浪影泉玑。色洒妆台粉，花飘绮席衣。入扇萦离①匣，点素皎残机。
赋得白日半（一作傍）西山（隋末唐初·李世民）　　五言律诗	红轮不暂驻，乌飞岂复停。岑霞渐渐落，溪阴寸寸生。藿叶随光转，葵心逐照倾。晚烟含树色，栖鸟杂流声。
置酒坐飞阁（隋末唐初·李世民）　　五言律诗　押东韵	高轩临碧渚，飞檐迥架空。馀花攒镂①槛，残柳散雕栊②。岸菊初含橤，园梨始带红。莫③虑昆山暗，还⑤共尽④杯中。
赋得李（隋末唐初·李世民）　　五言律诗　押侵韵	玉衡流桂圃，成蹊正可寻。莺啼密①叶外，蝶戏脆②花心。丽景光朝彩，轻霞③散夕阴。暂顾晖④章侧，还⑤眺灵山林。
赋得浮桥（隋末唐初·李世民）　　五言律诗	岸曲非千里，桥斜异七星。暂低逢辇度，还高值①浪惊。水摇文鹢动，缆转锦花萦。远近随轮影，轻重应人行。
咏兴国寺佛殿前幡（隋末唐初·李世民）　　五言律诗　押东韵	拂霞疑电落，腾虚状写虹。屈伸烟雾里，低举白云中。纷披乍依迥，掣曳或随风。念兹轻薄质，无翅强摇空。
伤辽东战亡（隋末唐初·李世民）　　五言律诗　押东韵	凿门初奉律，仗战始临戎。振鳞方跃浪，骋翼正凌风。未展六奇术，先亏一篑功。防身岂乏智，殉命有馀忠。
月晦（隋末唐初·李世民）　　五言律诗　押庚韵	晦魄移中律，凝暄起丽城。罩云朝盖上，穿露晓珠呈。笑树花分色，啼枝鸟合声。披襟欢①眺望，极目畅春情。
秋日（一作夜）翠微宫（隋末唐初·李世民）　　五言律诗　押东韵	秋光凝翠①岭，凉吹肃离宫。荷疏一盖缺，树冷半帷空。侧阵移鸿影，圆花钉菊丛。摅怀俗尘外，高眺白云中。
初秋夜坐（隋末唐初·李世民）　　五言律诗	斜廊连绮阁，初月照宵帏。塞冷鸿飞疾，园秋蝉噪迟。露结林疏叶，寒轻菊吐滋。愁心逢此节，长叹独含悲。
秋日二首（隋末唐初·李世民）　　五言律诗　押先韵	菊散金风起，荷疏玉露圆。将秋数行雁，离夏几林蝉。云凝愁半岭，霞碎缬高天。还似成都望，直见峨①眉前。
冬宵各为四韵（隋末唐初·李世民）　　五言律诗　押尤韵	雕①宫静龙漏，绮阁宴公侯。珠帘烛燄动，绣柱月光浮。云②起将歌发，风停与管遒。琐除任多士，端扆竟何忧。
冬日临昆明池（隋末唐初·李世民）　　五言律诗　押麻韵	石鲸分玉溜，劫烬隐平沙。柳影冰无叶，梅心冻有花。寒野凝朝雾，霜天散夕霞。欢情犹未极，落景遽西斜。
