短歌（唐·王贞白）　　五言律诗　押庚韵	物候来相续，新蝉送晚莺。百年休倚赖，一梦甚分明。金鼎神仙隐①，铜壶昼夜倾。不如早立德，万古有其名。
御沟水（唐·王贞白）　　五言律诗　押庚韵	一带御沟水，绿槐相荫清。此中①涵帝泽，无处濯尘缨。鸟道来虽险，龙池到自平。朝宗本心切，愿向急流倾。
塞上曲（唐·王贞白）　　五言律诗　押尤韵	岁岁但防虏，西征早晚休。匈奴不系颈，汉将但封侯。夕照低烽火，寒笳咽戍楼。燕然山上字，男子见须羞。
度关山（唐·王贞白）　　五言律诗　押删韵	只领千馀骑，长驱碛邑间。云州多警急，雪夜度关山。石响铃声远，天寒弓力悭。秦楼休怅望，不日凯歌还。
从军行（唐·王贞白）　　五言律诗　押歌韵	从军朔方久，未省用干戈。秪以恩信及，自然戎虏和。边声动白草，烧色入枯河。每度因看猎，令人勇气多。
古悔从军行（唐·王贞白）　　五言律诗　押微韵	忆昔仗孤剑，十年从武威。论兵亲玉帐，逐虏过金微。陇水秋先冻，关云寒①不飞。辛勤功业在，麟阁志犹违。
胡笳曲（唐·王贞白）　　五言律诗　押东韵	陇底悲笳引①，陇头鸣北风。一轮霜月落，万里塞天空。戍卒泪应尽，胡儿哭②未终。争教班定远，不念玉关中。
入（一作出）塞（唐·王贞白）　　五言律诗　押庚韵	玉殿论兵事，君王诏出征。新除羽林将，曾破月支兵。惯历塞垣险，能分部落情。从今一战胜，不使虏尘生。
游仙（唐·王贞白）　　五言律诗　押豪韵	我家三岛上，洞户眺波涛。醉背云屏卧，谁知海日高。露香红玉树，风绽碧蟠桃。悔与仙子别，思归梦钓鳌。
经故洛城（唐·王贞白）　　五言律诗　押庚韵	卜世何久远，由来仰圣明。山河徒自壮，周召不长生。几主任奸谄，诸侯各战争。但馀崩垒在，今古共伤情。
金陵（唐·王贞白）　　五言律诗　押虞韵	六代江山在，繁华古帝都。乱来城不守，战后地多芜。寒日随潮落，归帆与鸟孤。兴亡多少事，回首一长吁。
金陵怀古（唐·王贞白）　　五言律诗　押东韵	恃险不种德，兴亡叹数穷。石城几换主，天堑谩连空。御路叠民冢，台基聚牧童。折碑犹有字，多记晋①英雄。
商山（唐·王贞白）　　五言律诗　押庚韵	商山名利路，夜亦有人行。四皓卧云处，千秋叠藓生。昼烧笼涧黑，残雪隔林明。我待酬恩了，来听水石声。
庐山（唐·王贞白）　　五言律诗　押文韵	岳立镇南楚，雄名天下闻。五峰高阂日，九叠翠连云。夏谷雪犹在，阴岩昼不分。唯应嵩与华，清峻得为群。
终南山（唐·王贞白）　　五言律诗　押寒韵	终朝异五岳①，列翠②满长安。地去搜扬③近，人谋隐遁难。水穿④诸苑过，雪照一城寒。为问红尘里，谁同驻马看⑤。
寄郑谷（唐·王贞白）　　五言律诗　押支韵	五百首新诗，缄封寄去时①。秪凭夫子鉴，不要俗人知。火鼠重收布，冰蚕乍吐丝。直须天上手，裁作领巾披。
题严陵钓台（唐·王贞白）　　五言律诗　押庚韵	山色四时碧，溪声七里清。严陵爱此景，下视汉公卿。垂钓月初上，放歌风正轻。应怜渭滨叟，匡国正论兵。
晓泊汉阳渡（唐·王贞白）　　五言律诗　押灰韵	落月临古渡，武昌城未开。残灯明市井，晓色辨楼台。云自苍梧去，水从嶓冢来。芳洲号鹦鹉，用记祢生才。
随计（唐·王贞白）　　五言律诗　押萧韵	徒步随计吏，辛勤鬓易凋。归期无定日，乡思羡回潮。冒雨投前驿，侵星过断桥。何堪穆陵路，霜叶更潇潇。
白牡丹（唐·王贞白）　　五言律诗　押寒韵	谷雨洗纤素，裁为白牡丹。异香开玉合，轻粉泥银盘。晓贮露华湿，宵倾月魄寒。家①人淡妆罢，无语倚朱栏。
