八岁女善棋（宋·刘镇）　　五言律诗　押真韵	慧黠过男子，娇痴语未真。无心防敌手，有意恼诗人。得路逢师笑，输机怕父嗔。汝还知世事，一局一回新①。
赠隐者（宋·刘镇）　　五言律诗　押庚韵	夫子生东野，经年不到城。爱吟无俗趣，贪画得閒名。荒径侵山影，虚堂出燕声。我惭为谪吏，泉石负幽情①。
太姥山（宋·刘镇）　　七言律诗	滚滚千山入马蹄，出游回首日平西。人从杜宇鸣时别，天向蒹葭静处低。白鸟得鱼閒钓艇，黄蜂抱蕊闹花枝。好将太姥山前路，付与孤猿自在啼①。
山中早行（宋·刘镇）　　五言绝句　押虞韵	严钟将报曙，游子已登途。野火时明灭，星残似有无①。
书王十朋述怀诗后（宋·刘镇）　　七言绝句	山北山南春雨足，漠漠柔桑秀如沃。侬家荆妇几时归，西畴独自驱黄犊①。
严子陵钓台（宋·刘镇）　　七言绝句　押寒韵	汉业重恢百战閒，君王侧席叹才难。故人可是擎天手，肯放桐江把钓竿①。
浮膺山（宋·刘镇）　　七言绝句　押尤韵	马头过了又驴头，何处飞来海上洲。绝顶试穷千里目，烟波深处是琉球①。
夜听双瀑联句（宋·刘镇）　　押灰韵	萧然山阁间，此兴何悠哉。子晋不复见，月白空萧台（刘方叔）。夜静双瀑喧，遥闻疑雨来。涧壑生清风，襟宇捐纤埃（王十朋）。飞鸣撼半空，暗想飘琼瑰。前观阻步屧，侧耳成徘徊（毛虞卿）。
对月联句（宋·刘镇）	与君坐阶除，遥望海上月（刘方叔）。试举太白杯，借问几圆缺（王十朋）。人生易分散，动作隔年别（刘方叔）。今宵对婵娟，莫放酣歌绝（王十朋）。
贺新郎（宋·刘镇）	翠葆摇新竹。正榴花、枝头叶底，斗红争绿。谁在纱窗停针线，闲理竹西旧曲。又还是、兰汤新浴。手弄合欢双彩索，笑偎人、福寿低相祝。金凤亸，艾花矗。龙舟噀水飞相逐。记当年、怀沙旧恨，至今遗俗。雨过平芜浮天阔，画艗凌波尽簇。沸十里、笙歌声续。好是蟾钩随归棹，任欢呼、船重成颓玉。犹未忍，罩银烛。
天香 对梅花怀王侍御（宋·刘镇）	漠漠江皋，迢迢驿路，天教为春传信。万木丛边，百花头上，不管雪飞风紧。寻交访旧，惟翠竹、寒松相认。不意牵丝动兴，何心衬妆添晕。孤标最甘冷落，不许蝶亲蜂近。直自从来洁白，个中清韵。尽做重闻塞管，也何害、香销粉痕尽。待到和羹，才明底蕴。
念奴娇（宋·刘镇）	调冰弄雪，想花神清梦，徘徊南土。一夏天香收不起，付与蕊仙无语。秀入精神，凉生肌骨，销尽人间暑。稼轩愁绝，惜花还胜儿女。长记歌酒阑珊，开时向晚，笑浥金茎露。月浸栏干天似水，谁伴秋娘窗户。困殢云鬟，醉敧风帽，总是牵情处。返魂何在，玉川风味如许。
行香子 赠柳儿行（宋·刘镇）	露叶烟条。天与多娇。算风流、张绪难消。恼人春思，政自无聊。赖敛愁眉，酣醉眼，减围腰。风絮相邀。蝶弄莺嘲。最关情、是短长桥。解骖分袂，催上兰桡。更绿波平，红日坠，碧云遥。
花心动 临安新亭（宋·刘镇）	鸠雨催晴，遍园林、一番绿娇红媚。柳外金衣，花底香须，消得艳阳天气。障泥步锦寻芳路，称来往、纵横珠翠。笑携手，旗亭问酒，更酬春思。还记东山乐事。向歌雪香中，伴春沈醉。粉袖殢人，彩笔题诗，陶写老来风味。夜深银烛明如昼，待归去、看承花睡。梦云散，屏山半熏沈水。
沁园春 其一 和刘潜夫送孙花翁韵（宋·刘镇）	谁似花翁，长年湖海，蹇驴弊裘。想红尘醉帽，青楼歌扇，挥金谈笑，惜玉风流。吴下阿蒙，江南老贺，肯为良田二顷谋。人间世，算到头一梦，蝼蚁王侯。悠悠。吾道何求。况白首相逢说旧游。记疏风淡月，寒灯古寺，平章诗境，分付糟丘。聚散抟沙，炎凉转烛，归去来兮万事休。无何有，问从前那个，骑鹤扬州。
汉宫春 郑贺守席上怀旧（宋·刘镇）　　押先韵	日软风柔，望暖红连岛，晴绿平川。寻芳拾蕊，胜伴陌上鲜妍。玉骢归路，记青门、曾堕吟鞭。人去后，庭花弄影，一帘香月娟娟。追念旧游何在，叹佳期虚度，锦瑟华年。博山夜来烬冷，谁换沈烟。屏帏半掩，奈梦云、不到愁边。春易老，相思无据，闲情分付鱼笺。
沁园春 其二 题西宗云山楼（宋·刘镇）	爽气西来，玉削群峰，千杉万松。望疏林清旷，晴烟紫翠，雪边回棹，柳外闻钟。夜月琼田，夕阳金界，倒影楼台表里空。桥阴曲，是旧来忠定，手种芙蓉。仙翁。心事谁同。付鱼鸟相望一笑中。向月梅香底，招邀和靖，云山高处，问讯梁公。物象搜奇，风流怀古，消得文章万丈虹。沈吟久，想依依春树，人在江东。
水龙吟 其一 丙子立春怀内（宋·刘镇）	三山腊雪才消，夜来谁转回寅斗。试灯帘幕，送寒幡胜，暗香携手。少日欢娱，旧游零落，异乡歌酒。到而今，生怕春来太早，空赢得、两眉皱。春到兰湖少住，肯殷勤、访梅寻柳。相思人远，带围宽减，粉痕消瘦。双燕无凭，尺书难表，甚时回首。想画栏、倚遍东风，闲负却、桃花咒。
庆春泽 丙子元夕（宋·刘镇）	灯火烘春，楼台浸月，良宵一刻千金。锦步承莲，彩云簇仗难寻，蓬壶影动星球转，映两行、宝珥瑶簪。恣嬉游，玉漏声催，未歇芳心。笙歌十里夸张地，记年时行乐，憔悴而今。客里情怀，伴人闲笑闲吟。小桃未静刘郎老，把相思、细写瑶琴。怕归来，红紫欺风，三径成阴。
水龙吟 其二 庚寅寄远（宋·刘镇）	老来惯与春相识，长记伤春如故。去年今日，旧愁新恨，送将风絮。粉泪羞红，黛眉颦翠，推愁不去。任琐窗深闭，屏山半掩，还别有、愁来路。回首画桥烟水，念故人、匆匆何处。客情怀远，云迷北树，草连南浦。离合悲欢，去留迟速，问春无语。笑刘郎，不道无桃可种，苦留春住。
