晓晴（宋·吴沆）　　五言律诗　押庚韵	夜半雨忽作，朝来云又晴。林花洗幽艳，池水湛虚明。草色侵衣湿，山光入座清。茅檐正幽寂，啼鸟两三声。
野外（宋·吴沆）　　五言律诗　押支韵	野外望中阔，遥山宛转随。小溪芳草合，高树古藤垂。鸟过惊风疾，云行度岭迟。回头失归路，还问老农知①。
岳阳作（宋·吴沆）　　五言律诗　押虞韵	岁暮怀家客，通宵不自娱。诸兄得意否，老母有欢无。已谢交朋远，犹思弟妹孤。吾身不足念，为此一嗟吁。
友人趋宁化（宋·吴沆）　　七言律诗　押真韵	闻君早晚趋宁化，尚有新诗别故人。试问几程端可到，还忧半载不相亲。伤心岁律峥嵘暮，解事梅花摘索新。去去冰霜频莫厌，庭闱和气即如春①。
以易授玭有契于予心喜而成诗（宋·吴沆）　　七言律诗　押支韵	早日功名世背驰，拟将文字疗寒饥。虽无杜甫惊人句，庶免渊明责子诗。总角宜兴俱脱颖①，含哺应惠尚儿痴②。殷勤谢尔传心印，解后灵椿见五枝。
三清山（宋·吴沆）　　七言律诗　押删韵	选胜园林兴未阑，拿舟飞出小溪湾。光摇一碧回环水，翠挹三清远近山。似惜雨晴天恰好，真忘名利日长闲。松筠不锁神仙境，携得烟霞满袖还①。
春游吟（宋·吴沆）　　五言绝句　押东韵	鸟语烟光里，人行草色中。池边忽分散，花下复相逢。
首夏（宋·吴沆）　　五言绝句　押侵韵	积雨有馀润，游云无定阴。燕飞华屋静，莺啭碧窗深。
折花（宋·吴沆）　　七言绝句　押灰韵	野花开处客徘徊，胡蝶抟飞敛复开。折得野花随手去，不知胡蝶逐人来①。
临高台 其二（宋·吴沆）　　七言绝句　押灰韵	高筑黄金贮俊才，云关玉锁问谁开。若非倚赖东风力，安得凭虚直上来。
晚归（宋·吴沆）	夕阳西欲没，宛转山气昏。独逝颇无累，时欣暗经林。栖鸟未稳集，归马无奔声。恍忽自得意，兴来谁与言。
早行（宋·吴沆）	晨风集微和，晓色动佳气。溟溟四郊烟，漠漠一川水。前村鸡犬喧，远树鸟雀喜。山腰客行来，林下雉惊起。时闻牧童谣，不见骑牛至。回头望东隅，晓日粲光丽。胸襟倏暄烦，败我幽静意。行行载驰驱，已复到城市。
临高台（宋·吴沆）	高高轩楹日照东，扶桑柱植西昆崙。上有明真紫霞客，厮征伯侨役羡门。月驭叱前驱，风驷殿后奔。灵衣披披溘晻霭，玉斧断断除烦冤。虚皇下两耳，授以金简文。相观峻极不容步，拟轶清气排重阍。咽日诵黄庭，滴露抄韦编。羊歧之亡罔象得，蛮触之角醯鸡天，临台一笑俱超然。
句（宋·吴沆）　　押灰韵	树头明月光欲吐，反眼仰面天恢恢。
