题壁二首（嘉定庚辰）（宋·夏元鼎）　　七言绝句　押麻韵	世学金丹乱似麻，谩将心肾向人誇。眼前有药无人识，火里栽莲长道芽。
绝句（宋·夏元鼎）　　七言绝句　押虞韵	崆峒访道至湘湖，万卷诗书看转愚。踏破铁鞋无觅处，得来全不费工夫。
祷正一真君（嘉定庚辰）（宋·夏元鼎）	未登龙虎榜，且登龙虎山。一见三清易，三年一第难。剑埋光射斗，鸡鸣晓度关。乾坤谁整顿，拟伴赤松閒。
沁园春 其一 和吕洞宾（宋·夏元鼎）	大道无名，金丹有验，工夫片时。似婴儿娇俊，不离门户，盈盈姹女，缓步深帏。二八当年，黄婆匹配，隔碍潜通势似危。须臾见，见灵明宝藏，一点星飞。其时。似执躬圭。深保护阴阳造化儿。转南辰北斗，回风混合，雷轰雨骤，只许天知。梦幻浮生，天长地久，云路著鞭休要迟。金不坏，合朋合德，三教同归。
沁园春 其二 和张虚靖（宋·夏元鼎）	太极才分，鸿濛凿破，云收雾开。见曦魂蟾魄，升沈昼夜，光含万象，机应丹台。火里栽莲，水中捉月，两个人人暗去来。鹊桥畔，任传神送气，巽户轰雷。微哉。火候休猜。无师授徒劳颜闵材。问从头下手，收因结果，争魂夺命，何处胚胎。小法旁门，幸勤一世，谩道修真不惹埃。争如我，水晶宫里，独步琼阶。
水调歌头（宋·夏元鼎）	采取铅须密，诚意辨妍媸。休教错认，夺来鼎内及其时。二物分明真伪，一得还君永得，此事契天机。记取元阳动，妙用在虚危。法寅申，行子午，总皆非。自然时节，梦里也教知。不属精津气血，不是肺肝心肾，真土亦非脾。言下泄多矣，凡辈奈无知。
沁园春 其三 李将使访道有年，近得旁径。子憩其后圃，且问光透帘帏之秘，不敢隐默，不敢戏传，始以小词，庸谢雅意（宋·夏元鼎）	天下江山，无如甘露，多景楼前。有谪仙公子，依山傍水，结茅筑圃，花竹森然。四季风光，一生乐事，真个壶中别有天。亭台巧，一琴一鹤，泥絮心田。不须块坐参禅。也不要区区学挂冠。但对境无心，山林钟鼎，流行坎止，闹里偷闲。向上玄关，南辰北斗，昼夜璇玑炼火还。分明见，本来面目，不是游魂。
水调歌头（宋·夏元鼎）	要识刀圭诀，一味水银铅。驴名马字，九三四八万千般。愚底转生分别，刬地唤爷作父，荆棘满心田。去道日以远，至老昧蹄筌。譬如人，归故国，上轻帆。顺风得路，夜里也行船。岂问经州过县，管取投明须到，舟子自能牵。悟道亦如此，半句不相干。
水调歌头（宋·夏元鼎）	人身藏宇宙，乌兔走西东。昼舒夜卷，不拘春夏与秋冬。存想非心非肾，吐纳非精非气，子午谩行功。一点真灵宝，混合自回风。感婴儿，交姹女，爱丁公。黄婆匹配，一时辰内上仙宫。恍惚无中有象，阳火阴符密契，大道属鸿濛。火候能调理，天地与无穷。
水调歌头（宋·夏元鼎）	三三乾妙画，佑圣诞弥辰。北方壬癸，水生于坎产元精。一数先天有象，元始化生相应，灵气属阳神。寿永齐天地，万物尽回春。说龟蛇，名黑杀，蕴深仁。阴中阳长，要知害里却生恩。此意宜参造化，正是金丹大道，不在咽精津。富贵公方逼，肯问出人伦。
水调歌头 其三（宋·夏元鼎）　　押阳韵	耳目身之宝，固塞勿飞扬。存无守有，中间无念以为常。把定玄关一窍，视听尽收归里，坎兑互堤防。寤寐神依抱，形气两相忘。圆陀陀，光烁烁，貌堂堂。分明真我，罔象里全彰。此即非空非色，自是本来面目，阴鼎炼元阳。出世真如佛，馀二莫思量。
西江月（宋·夏元鼎）	四十修真学道，金鱼要换金丹。龟龄鹤算不知年。行满身冲霄汉。此事希夷玄奥，功参造化难言。眼前有药耀山川。好把元阳修炼。
贺新郎 和刘宰潜夫韵（宋·夏元鼎）	天上神仙路。问谁能、超凡入圣，平虚交付。三岛十洲无限景，稳驾鸾舆鹤驭。更驯伏、木龙金虎。造化小儿真剧戏，炼阳精、要戴乾为父。须定力，似愚鲁。三旬一遇交乌兔。便丹成、天长地久，桑田变否。四象五行攒簇处，全藉黄婆真土。无私授、人多胡做。堪叹红尘声利客，向花朝月夕寻妆妇。应不解，乘槎去。
西江月 其一 答王和父送□错认水酒（宋·夏元鼎）	甘露醴泉天降，琼浆玉液仙方。一壶馥郁喷天香。曲糵人间怎酿。要使周天火候，不应错认风光。浮沈清浊自斟量。日醉蓬莱方丈。
满江红（宋·夏元鼎）	人世何为，江湖上、渔蓑堪老。鸣榔处，汪汪万顷，清波无垢。欸乃一声虚谷应，夷犹短棹关心否。向晚来、垂钓傍寒汀，牵星斗。砂碛畔，蒹葭茂。烟波际，盟鸥友。喜清风明月，多情相守。紫绶金章朝路险，青蓑箬笠沧溟浩。舍浮云、富贵乐天真，酾江酒。
西江月 其二 送腊茶答王和父（宋·夏元鼎）	万汇阳春吐秀，争如雀舌含英。先天一气社前升。啖出昆崙峰顶。要得丁公煅炼，飞成宝屑窗尘。蜜脾神用脱金形。送与仙翁体认。
满庭芳（宋·夏元鼎）　　押东韵	久视长生，登仙大道，思量无甚神通。正心诚意，儒释道俱同。虽是无为清净，依然要、八面玲珑。朝朝见，日乌月兔，造化运西东。黄婆能匹配，天机玄妙，朔会相逢。正三旬一遇，消息无穷。不待存心想肾，非关是、打坐谈空。君知否，灵明宝藏，收在水晶宫。
