题仙居道中（宋·徐似道）　　五言律诗　押元韵	地褊山成簇，溪平水不奔。晴天带阴色，冬日作春温。草聚鸡豚市，机声桑柘村。舟人识行李，相约候归辕。
守太和（宋·徐似道）　　五言律诗　押寒韵	我本田家子，驱来作长官。政虽无小异，民却自相安。静或焚香坐，閒因展画看。庸人扰之耳，只道太和难。
缙云道中（宋·徐似道）　　五言律诗　押麻韵	夜泊红楼市，朝餐黑笠家。浅溪才泛鸭，疏树不藏鸦。鬲上村坊酒，眉尖野店茶。尚缘门有竹，忘却去程赊①。
登白雪楼（宋·徐似道）　　七言律诗　押歌韵	水落方成放牧坡，水生还作浴鸥波。春风自共桃花笑，秀色偏于麦垄多。村号莫愁劳想象，石名宋玉谩摩挲。试将有裤无襦曲，翻作阳春白雪歌①。
和诚斋跋梅坡诗卷（宋·徐似道）　　七言律诗　押阳韵	知君得法自南昌，作舍何须问道旁。二老未尝轻许可，两诗固已为平章。胸横云岫无穷意，语带梅坡不尽香。政乏绮纨相妩媚，不妨风气似诸王①。
唐史君与正新建浮桥（宋·徐似道）　　七言律诗　押萧韵	秋风百柁倚江皋，幻出城南不柱桥。虹影勒回天际水，鹢头惊退海东潮。白银阙里看车马，赤玉阑边听鼓箫。硎刃有馀舟楫在，待随芝检上云霄。
题仙居相湖（宋·徐似道）　　七言律诗　押东韵	岭名石母谁家母，湖号相公何代公。欲问岭云并岭月，怕推湖水与湖风。渔翁樵子难重问，墨客骚人苦欲穷。愚智校行三十里，朔风吹酒又成空。
海棠（宋·徐似道）　　七言律诗　押阳韵	子美无诗到海棠，酒边游戏略平章。日烘不睡却成睡，风暖无香却自香。花事一番劳应接，春光强半被分张。速来窠上寻徐老，同醉花前作楚狅①。
岩桂花（宋·徐似道）　　七言律诗　押齐韵	重重帘幕护金猊，小树花开逼麝脐。寒色十分新𤺋粟，春心一点暗通犀。香延棋畔仙人斧，影射灯前太乙藜。从此再周花甲子，伴公长醉日东西①。
莼菜二首 其二（宋·徐似道）　　七言律诗　押东韵	堆盘缕缕又秋风，客俎齑盐一洗空。羹鲙疑居柁楼底，杯螯如堕酒船中。莼羹本是诗人事，樽俎那容俗子同。不日挽君来快问，请分一箸供涪翁①。
白龙洞（宋·徐似道）　　七言律诗　押尤韵	灵仙窟宅不多见，车马往来成再游。后洞白云前洞出，上池红叶下池流。水花照眼明金鲫，石发藏春护玉虬。邂逅尚青游子眼，栖迟应白老僧头①。
虞仲房司马游园约予不赴因次其韵（宋·徐似道）　　七言律诗　押东韵	秘书行处有歌钟，身在名园锦绣丛。试问高吟梁苑雪，何如共快楚台风。人鸥不去机方息，鱼我相忘乐未穷。待得芙容濯云锦，弄花翻水与君同①。
萱草花（宋·徐似道）　　五言绝句　押阳韵	莫讶萱枝小，能施宫样妆。只缘沾染足，绝似杜兰香①。
题雪巢（宋·徐似道）　　五言绝句　押东韵	巢馀太古雪，人有正始风。头如雪絮白，面作春桃红。
诗一首（宋·徐似道）　　五言绝句　押元韵	植杞必植梓，艺兰仍艺荪。过庭遗训在，凿楹故书存①。
买砚（宋·徐似道）　　七言绝句　押先韵	俸馀宜办买山钱，却买端州一砚砖。依旧被渠驱使出，买山之事定何年。
宿云岩二首（宋·徐似道）　　七言绝句　押尤韵	古书万卷积成蠹，老屋数閒深却幽。午枕忽惊毛骨冷，觉来风雨一山秋。
题苍岭（宋·徐似道）　　七言绝句　押覃韵	看山每恨眼不饱，上马岂知程可贪。还我一筇双不借，缓从云北过云南①。
九日（宋·徐似道）　　七言绝句　押麻韵	衰容不似秋容好，坐上谁怜老孟嘉。牢裹乌纱莫吹却，免教白发见黄花①。
酴醾（宋·徐似道）　　七言绝句　押灰韵	纷纷红紫落莓苔，带月和烟特地开。疑是玉妃新浴出，翠云梯上舞风台①。
