木芙蓉（宋·李公明）　　五言律诗	孤芳照寒水，婉娩自幽闲。万木碧无色，一花红独殷。秋莲多绿子，晚槿亦朱颜。却笑渊明宅，于今五柳残。
中庸（宋·李公明）　　五言律诗	要识中庸义，中庸乃是庸。不须求胜解，只此是奇功。卓卓孤峰上，明明百草中。若将声色舍，声色却盲聋①。
漫作（宋·李公明）　　五言律诗	测测日西去，去来无尽时。百年无半在，一事更何为。草屋倚寒木，疏梅横短篱。直能捐世虑，何处不忘归。
大安人至（宋·李公明）　　五言律诗	冻雨杂零雪，柴门不敢开。持来一片纸，说自大安来。元帅方归沔，边书又报阶。忍寒再三问，老弟几时回①。
晓烟（宋·李公明）　　五言律诗　押庚韵	晓出倚溪亭，溪烟四面生。昏时山绿浅，浓处日红轻。簇簇树尤好，依依人未行。玄晖信萧放，澄练有佳名①。
过修诚馆（宋·李公明）　　五言律诗　押微韵	败馆冷如许，修诚志已非。风光不曾改，人事故相违。寸碧雪山出，争喧风叶飞。伤心旧时月，长是送人归①。
题曹坑铺（宋·李公明）　　五言律诗	明星落深水，晚电起孤云。去去风前棹，迢迢竹外村。山回依草驿，岸落出芦根。亲月照人冷，今宵清梦魂。
宿郑山铺（宋·李公明）　　五言律诗　押歌韵	行役苦行役，凄凉应奈何。自从多事后，应恨一身多。草店张灯宿，石桥乘月过。曳裾悲我计，回首一烟蓑①。
芙蓉（宋·李公明）　　七言绝句　押东韵	野花能白又能红，也在天工长育中。长对秋烟颜色好，岂知人世有春风①。
偶作（宋·李公明）　　七言绝句　押真韵	石光火中寄此身，谁论北富与南贫。眼前正爱溪梅瘦，冰雪亭亭笑伴人。
早梅（宋·李公明）　　七言绝句　押东韵	东风才了又西风，群木山中叶叶空。只有梅花吹不尽，依然新白抱新红①。
遇故人（宋·李公明）　　七言绝句	虚窗桂子打风声，夜酌沉沉夜气清。三十年间不须说，可堪相照发星星。
晓行青村（宋·李公明）　　七言绝句　押微韵	关关新鸟逐声啼，群鹭冲寒帖水飞。最恨山云去如织，不教春色着征衣①。
灯夕（宋·李公明）　　七言绝句　押庚韵	江风淡淡放初晴，灯火明时月色明。谁信姮娥要行乐，随他女伴绕街行①。
