题闯山亭（宋·毛幵）　　五言绝句	捲帘新雨霁，伏槛孤云没。心赏信无同，佳人眇天末。
吊子陵钓台（宋·毛幵）　　七言绝句　押歌韵	先生高隐事如何，岂谓功名不足多。知道故人能辨事，一竿赢得钓清波①。
泊钓台（宋·毛幵）　　七言绝句　押真韵	衮衣但决妖邪谶，茅土先封不义臣。须信俛随鸡鹜食，岂如湖海一闲身。
瑞香花（宋·毛幵）　　押阳韵	众妙与春竞，纷纷持所长。此花最幽远，如以礼自将。猗兰敢回步，薝卜亦退藏①。
月坡亭李耆明见菊（宋·毛幵）	初阳散微和，晞露耿馀明。引花吸其精，助我养修龄。人生凭化迁，日夜枯与荣。聊为寂寞游，放此真率情。
水调歌头 其一 次韵陆务观陪太守方务德登多景楼（宋·毛幵）	襟带大江左，平望见三州。凿空遗迹，千古奇胜米公楼。太守中朝耆旧，别乘当今豪逸，人物眇应刘。此地一尊酒，歌吹拥貔貅。楚山晓，淮月夜，海门秋。登临无尽，须信诗眼不供愁。恨我相望千里，空想一时高唱，零落几人收。妙赏频回首，谁复继风流。
秋蕊香（宋·毛幵）	荡暖花风满路。织翠柳阴和雾。曲池斗草旧游处。忆试春衫白苎。暗惊节意朱弦柱。送春去。晓来一阵扫花雨。惆怅蔷薇在否。
水调歌头 其四 送周元特（宋·毛幵）	汉代李元礼，江左管夷吾。英姿雅望，凛凛玉立冠中都。礧磈胸中千丈，不肯低回青禁，引去卧江湖。更学鸱夷子，一舸下东吴。送公别，杯酒尽，少踌躇。旧棠阴下，几人临路拥行车。归近云天尺五，梦想经纶贤业，谈笑取单于。为问苕溪水，留得此翁无。
水调歌头 其五 次刘若讷韵（宋·毛幵）	十载刘夫子，名过庾兰成。人人争看，角犀今喜试丰盈。倾耳新诗千首，妙处端须击节，金石破虫声。此士难复得，黄口闹如羹。忆年少，游侠窟，戏荆卿。结交投分，驰心千里剧摇旌。我老公方豪健，傥许相从晚岁，慷慨激中情。洗眼功名会，一箭取辽城。
渔家傲（宋·毛幵）	极目丹枫迎霁晓。山明水净新霜早。燕去鸿归无事了。天渺渺。风吹平野低寒草。渐过初冬时节好。寻梅踏雪城南道。追忆旧游人已老。欢更少。孤怀拟共谁倾倒。
满庭芳 其一 自宛陵易倅东阳，留别诸同寮（宋·毛幵）　　押尤韵	世事难穷，人生无定，偶然蓬转萍浮。为谁教我，从宦到东州。还似翩翩海燕，乘春至、归及凉秋。回头笑，浑家数口，又泛五湖舟。悠悠。当此去，黄童白叟，莫漫相留。但溪山好处，深负重游。珍重诸公送我，临岐泪、欲语先流。应须记，从今风月，相忆在南楼。
好事近 次韵叶梦锡陈天予南园作（宋·毛幵）	飞盖满南园，想见八仙遥集。几树海棠开遍，正新晴天色。休辞一醉任扶还，衣上酒痕湿。便恐岁华催去，听秋虫相泣。
满庭芳 其三 行次四安，用前韵，寄章叔通、沈无隐（宋·毛幵）　　押尤韵	濩落难容，崎岖堪笑，一年陆走川浮。又携妻子，两度过神州。紫蟹鲈鱼正美，凉天气、恰傍中秋。今宵意，无人伴我，快泻玉双舟。功名，聊尔耳，千金聘楚，万户封留。又争如物外，闲旷优游。好在东阡北陌，相从有、诸老风流。家山近，归休去也，不上望京楼。
贺新郎（宋·毛幵）	风雨连朝夕。最惊心、春光晼晚，又过寒食。落尽一番新桃李，芳草南园似积。但燕子、归来幽寂。况是单栖饶惆怅，尽无聊、有梦寒犹力。春意远，恨虚掷。东君自是人间客。暂时来、匆匆却去，为谁留得。走马插花当年事，池畹空馀旧迹。奈老去、流光堪惜。杳隔天涯人千里，念无凭、寄此长相忆。回首处，暮云碧。
念奴娇 其一 陪张子公登览辉亭（宋·毛幵）	层栏飞栋，压孤城临瞰，并吞空阔。千古吴京佳丽地，一览江山奇绝。天际归舟，云中行树，鹭点汀洲雪。三山无际，眇然相望溟渤。凤么遗响悲凉，故台今不见，苍烟芜没。千骑重来初起废，缅想六朝人物。岘首他年，羊公终在，笑几人磨灭。一时尊俎，且须同赋风月。
念奴娇 其二 次韵寄陆务观、韩无咎（宋·毛幵）	少年奇志，笑功名画虎，文章刻鹄。永夜漫漫悲昼短，难挽苍龙衔烛。飞藿飘零，浮云迁变，过眼邮传速。昔人真意，眇然千载谁属。犹喜二子当年，诸公籍甚，赏云和孤竹。翰墨流传知几许，遗响宫商相续。梦里京华，不须惊叹，春草年年绿。赤霄归去，更看奔电喷玉。
念奴娇 其四 次韵施德初席上（宋·毛幵）	丽谯春晚，望东南千里，湖山佳色。画戟门前清似水，时节初过灯夕。封井年登，京华日近，每报平安驿。满城花柳，正须千骑寻觅。忆我年少追游，叨兔园客右，多惭英识。今日怀人无限意，老泪尊前重滴。赋咏空传，雄豪谁在，鬓点吴霜白。招呼一醉，幸公时慰愁寂。
念奴娇 其五 追和张巨山牡丹词（宋·毛幵）	倚风含露，似轻颦微笑，盈盈脉脉。染素匀红，知费尽，多少东君心力。国艳酣晴，天香融暖，画手争传得。绿窗朱户，晓妆谁见凝寂。独占三月芳菲，千花百卉，算难争春色。欲寄朝云无限意，回首京尘犹隔。舞破霓裳，一枝浑似，醉倚香亭北。旧欢如梦，老怀那更追惜。
念奴娇 其六 题曾氏溪堂（宋·毛幵）	王孙老去，算无地倾倒，胸中豪逸。小筑三间便席卷，多少江山风月。万壑回流，千峰输秀，人境成三绝。登临佳处，鸟飞不尽空阔。追念辋水斜川，有风流千载，渊明摩诘。何必斯人聊一笑，俯仰今犹前日。只恐东州，催成棠阴，又作三年别。赏心难继，莫教辜负华发。
念奴娇 其七 记梦（宋·毛幵）	阿环家住阆风顶，绛阙瑶台相接。翳凤乘鸾人不见，隐隐霓裳云衱。秀骨贞风，长眉翠浅，映白咽红颊。非烟深处，渺然云浪千叠。一笑徐福扁舟，春风空老尽，当时童妾。骨冷魂清惊梦到，同看碧桃千叶。寄语青童，何时丹就，为我留琼笈。天鸡催晓，却愁吹堕尘劫。
