方壶自咏（宋·汪莘）　　五言律诗　押寒韵	性静无一物，心生有万端。曾将魂魄鍊，不被鬼神瞒。纵步地虽窄，仰头天自宽。裁诗偏得偶，遇卦只成单。
开禧元年四月自中都挈家还乡寓居城南十二月迁居柳溪上其夜大雪初一日盖宰来访约过县斋为一日款深夜而归赋此（宋·汪莘）　　五言律诗　押真韵	出郭已超俗，住溪尤近真。青天素知我，白雪便随人。守道何妨贱，藏书不尽贫。长怀社中友，共发瓮头春。
怀朱晦庵先生（宋·汪莘）　　七言律诗　押侵韵	道在羲皇孰断金，至人出处合天心。青山白云有生路，流水落花无足音。世外太古日色静，洞中一片春风深。自怜晚辈服膺久，亦许杖屦来相寻。
寿高内翰（宋·汪莘）　　七言律诗　押灰韵	胸次包天烛九垓，正须博大济时材。朝从碧落抟风角，暮泛灵槎出斗魁。别墅已将修竹隐，朱门仍向镜湖开。如今且为苍生起，一取前贤气燄回。
寿高秘书（宋·汪莘）　　七言律诗　押麻韵	万壑千岩映翠霞，越王城下竞传誇。青天白日秘书舫，乳燕鸣鸠内相家。高浪趣潮沧海直，大鹏横击五云斜。自吹玉笛相为寿，昨夜菖蒲吐紫花。
寿何尚书（宋·汪莘）　　七言律诗　押庚韵	雪艇风帆去玉京，故家猿鹤相①欢迎。九天气母壶中足，十月婴儿顶上行。曾问何修能至此，但云无欲自然成。夜来梦向山庄立，一炷清香彻太清。
寄商察院（宋·汪莘）　　七言律诗　押灰韵	窃伏西湖雪鬓催，长歌声断鬼神哀。青天有月无人看，白帝行秋待我来。近水远山俱冷淡，败荷孤苇尚低回。今朝欲向青门道，出到疏篱意已灰。
玉堂中赓任宫讲希夷惠诗韵（宋·汪莘）　　七言律诗　押阳韵	宫讲先生句子香，晦庵衣钵有馀芳。松篁性本参天直，杨柳情仍庇地长。自恨此身真逆旅，不知何日更传觞。山人初向山中出，还欲归来水一方。
访杨湖州（宋·汪莘）　　七言律诗　押文韵	一道西江隔水云，夜瞻牛斗共天文。圣之清必先夫子，仁者勇须今使君。天下山川居一半，湖州风月占三分。锦囊幸许传抄去，预取兰香手自薰。
寄潘倅（霆）（宋·汪莘）　　七言律诗　押真韵	梦魂何事练溪滨，起自新春向晚春。红杏园林催百舌，绿杨洲渚荐重唇。一年好处是寒食，三月水边多丽人。遥想使君行乐处，牡丹如障草如茵。
中秋月（宋·汪莘）　　七言律诗　押尤韵	今宵何处惬清游，震泽波心太华头。初出海张红锦①扇，到中天挂水晶毬。兔蟾迸作双轮现，金火镕成一鉴秋。惟有飞仙知表里，入他宫殿又焉廋②。
佛书载兜率天有内院道书有赤城朱窗乃帝一内宅因述所闻（宋·汪莘）　　七言律诗	结发师心内院行，紫云门阙碧霞城。一声霹雳冲天响，万点星辰匝地明。鼎里金丹能虎变，床头铁杖带龙腥。极知富贵非吾事，玉简珠缯有姓名。
游甘露寺（宋·汪莘）　　七言律诗　押鱼韵	扁舟京口意踌躇，北固峰头泪满裾。闻道昔时兵可用，未知今日事何如。伤心南渡英雄尽，屈指中原岁月疏。待见太平心始足，不妨归去老樵渔。
夜兴（宋·汪莘）　　七言律诗　押尤韵	倚天长剑为谁收，欲献君王镇九州。世事漫①随红日下，壮心空逐碧江流。雁横西塞偏愁客，菊绽东篱始当秋。抖擞向来尘土②梦，便提蓑笠上渔舟③。
秋怀（宋·汪莘）　　七言绝句　押阳韵	形骸攲仄面皮黄，破屋三间号柳塘。自大暑来真畏暑，到微凉处便知凉。
次潘别驾韵（宋·汪莘）　　七言绝句　押真韵	野店溪桥柳色新，千愁万恨为何人。殷勤织就黄金缕，带雨笼烟过一春。
潘别驾自祁门回（宋·汪莘）　　七言绝句　押阳韵	白马嘶风入紫阳，使君一笑列壶觞。秋原是处堪图画，豆子花红稻半黄。
九月十六日出郡登舟如钱塘十七日舟中杂兴（宋·汪莘）　　七言绝句　押侵韵	落日扁舟万古心，半山明耀半溪阴。渔盐商贾都来往，纵有客星何处寻。
游南山（宋·汪莘）　　七言绝句　押鱼韵	山蹊黄叶从过满，石案苍苔不用除。坛上古松岩畔竹，切须留伴老僧居。
送赵君十绝（宋·汪莘）　　七言绝句　押真韵	皂盖朱轓练水滨，春生秋杀总精神。须知爱士何曾泛，屈指应无第二人。
