戏郭功甫（宋·潘兴嗣）　　七言律诗　押庚韵	休恨古人不见我，犹喜江东独有卿。尽怪阿戎从幼异，人疑太白是前生。云间鸾凤人间现，天上麒麟地上行。诗律暮年谁可敌，笔头谈笑扫千兵①。
赠茂叔太博（宋·潘兴嗣）　　七言律诗　押先韵	心似冰轮浸玉渊，节如金井冽寒泉。每怀颜子能希圣，犹笑梅真祇隐仙。仕傥遇时宁枉道，贫而能乐岂非贤。区区世路求难得，试往沧浪问钓船①。
滕王阁春日晚眺（宋·潘兴嗣）　　七言律诗　押灰韵	重叠西屏对面开，巍城穹阁信雄哉。眼中孤鹜云边没，望里长江槛外来。蛱蝶图成春未晚，柘枝筵动客多才。休论今古兴亡事，时倒金樽醉一回①。
八百石洞（宋·潘兴嗣）　　七言律诗　押先韵	八百仙来不记年，剑池丹井尚依然。秀峰插汉含灵气，古洞通真锁瑞烟。竹简漆书何处觅，神符白雪更谁传。芝軿一去人间世，应念沧波又变田①。
凌云阁（宋·潘兴嗣）　　七言绝句　押微韵	萧峰顶上与云齐，一派溪流直下飞。击破寒冰千万片，涵林幽响动清晖①。
秦人洞（宋·潘兴嗣）　　七言绝句　押先韵	秦人当日避风烟，自种桑麻老洞天。绿竹横溪鸡犬静，不知门外汉山川①。
西山翠岩联句（宋·潘兴嗣）　　押宥韵	苍龙夭矫西山来，凿破明珠成碧岫（任）。何人架空起楼阁，地灵不敢藏馀秀（潘）。锁窗云重衣巾润，梳木风清肌骨透（任）。客来一夜与僧谈，气觉浩然充宇宙（潘）。
逍遥亭（宋·潘兴嗣）	作亭名逍遥，此理诚不虚。宽于一天下，原宪惟桑枢。况我卜清旷，风雨庇有馀。方池容潋滟，小径足萦迂。花木颇窈窕，松筠亦扶疏。鸣蛙送鼓吹，好鸟来笙竽。可琴亦可咏，可饮亦可娱。盘虽无下箸，宾食亦有鱼。恢论或申旦，隐几忘移晡。困来展足眠，醉倒从人扶。率尔但付畅，因烦而领无。邺侯三万轴，方朔五车书。弃置复弃置，任自相贤愚。无妨吾逍遥，此乐诚何如。
师道（宋·潘兴嗣）	师道久不振，小儒咸自私。破崖求圭角，务出己新奇。恻恻去圣远，六经秦火隳。不有传授学，涉猎安所为。汉儒守一经，学者如云随。承习虽未尽，模法有根基。荐绅立朝廷，开口应万机。附对皆据经，金石确不移。熟烂见本末，较然非可欺。吾愿下学官，各立一经师。务尽道德业，不取章句辞。庶几昔人风，炳然复在兹①。
过濂溪（宋·潘兴嗣）　　押有韵	鳞鳞负郭田，渐次郊原口。其中得清旷，贵结林泉友。一溪东南来，潋滟翠波走。清响动灵粹，寒光生户牖。峨峨双剑峰，隐隐插牛斗。疏云互明晦，岚翠相妍丑。恍疑座中客，即是关中叟。为歌紫芝曲，更击秦人缶。窅然忘得丧，形骸与天偶。君怀康济术，休光动林薮。得非仁知乐，夙分已天有。捉鼻固未免，安能混真守。日暮车马徒，桥横莫回首①。
龙沙（宋·潘兴嗣）	五陵无限人，密视龙沙记。龙沙虽未合，气象已灵异。昔时蛟龙湫，半作桑麻地。地形带江转，洲浮有连势。陵谷岂可常，渊窦在何岁。微生久慕道，安恬辄忘味。愧无及物功，碌碌尚匏系。生蒙尘土厚，未受神仙秘。何时与孤鹤，冉冉从此逝①。
句（宋·潘兴嗣）	丰狱剑飞云气尽，吴州仙去敢言轻。
