甘露寺悼古（宋·米芾）　　五言律诗　押覃韵	色改重重构，春归户户岚。槎浮龙委骨，画失兽遗耽。神护卫公塔，天留米老庵。柏梁终厌胜，会副越人谈。
题南昌县君临偃竹（宋·米芾）　　五言律诗　押东韵	偃蹇宜如季，挥毫已逼翁。卫书无曲妙，琰慧有遗工。乍睹虬如物，初披飒有风。顾藏维谨钥，化去或难穷。
山林堂（宋·米芾）　　五言律诗　押阳韵	洗竹延清景，培松卫岁芳。好峰多漾翠，嘉卉袭人香。犀玉开书札，龙蛇起混茫。微风北窗卧，真可上羲皇。
净名（宋·米芾）　　五言律诗　押麻韵	山晚烟栖树，渔收鹭宿沙。曲生初月魄，远淡满川霞。依静家如寺，游频寺是家。何须传大士，芰制著袈裟。
登栖灵塔（宋·米芾）　　五言律诗　押阳韵	清露湿衣裳，心遐拉大荒。想雷云上见，觉蚁蔀中藏。地献山川秘，天开日月光。太阿常耿介，未敢暂徬徨。
江皋晚望（宋·米芾）　　五言律诗　押青韵	柳外舣舟晚，醉馀双眼醒。水光涵一气，星彩动圆灵。炯炯月初上，翛翛风更泠。远山横秀碧，淡墨说吾经。
和王彦舟（宋·米芾）　　五言律诗　押支韵	混尘慵走俗，陟巘喜非期。漠漠江雨①歇，溶溶春水时。陶潜那寄傲，惠远更能诗。吏自成稀阔，言归心尚迟。
扬州作（宋·米芾）　　五言律诗　押尤韵	春风何索寞，带雪入扬州。尚想遗钗雀，曾观上玉钩。真同一梦觉，坐想十年游。邂逅逢孙楚，酣歌慰滞留。
湖守林子中同游道场（宋·米芾）　　五言律诗　押支韵	宝刹触南箕，林幽石磴危。云霞随履舄，魍魉避旌旗。遐寓乘新兴，深寻据古诗。洼尊勿置酒，沆瀣已盈卮。
呈王彦舟（宋·米芾）　　五言律诗　押鱼韵	吏日虽云冗，逢休乐有馀。山林三面胜，图史一斋虚。炼药惊衰早，逢人话索居。倾囊收剡楮，待著鹿门书。
净名 其三（宋·米芾）　　五言律诗　押鱼韵	晨入云随步，宵还月共舆。清传供佛饭，寒燎隔江渔。市响昏鸦乱，林穿列曜疏。殷勤顾景物，为尔老南徐。
书寿阳楼柱（宋·米芾）　　五言律诗　押支韵	披豁雄风至，攲眠一梦迟。豪骑八公马，醉撷五香芝。廉老心徒勇，梅生语不卑。青冈何处是，犹壮谢家儿。
早来堂（宋·米芾）　　五言律诗　押支韵	山聚诗增思，洋宽墨有池。紫金化夕境，岚翠发朝曦。兜率当铜槛，蓬壶对蕙帷。平生会心趣，归计岂应迟①。
将之苕溪戏作呈诸友（宋·米芾）　　五言律诗　押尤韵	松竹留因夏，溪山去为秋。久赓白雪咏，更度采菱讴。缕玉鲈堆案，团金橘满洲。水宫无限景，载与谢公游。
拜中岳命作（宋·米芾）　　五言律诗　押虞韵	云水心常结，风尘面久卢。重寻钓鳌客，初入选仙图。鼠雀真官耗，龙蛇与众俱。却怀闲禄厚，不敢著潜夫。
壮观（宋·米芾）　　五言律诗　押支韵	君谟登壮观，要我赋新诗。鬓逐年光老，词缘大作奇。江山一世断，风雅六朝卑。对酒劝不饮，操怀谁与知。
皇太后挽辞（宋·米芾）　　五言律诗　押蒸韵	馀庆源真相，求贤佐裕陵。知几捲箔早，戡变叱龙升。静德群邪震，清心后世矜。大恩知欲报，圣孝已踰曾。
秋暑憩多景楼（宋·米芾）　　五言律诗　押灰韵	纵目天容旷，披襟海共开。山光随眦到①，云景②渡江来。世界惭双足，生涯付一杯。横风多景梦，应似穆王台③。
开先寺观瀑布（宋·米芾）　　五言律诗　押灰韵	度挟扪青玉，临深坐绿苔。水从双剑下，山挟两龙来。春暖花惊雪，林空石迸雷。尘缨聊此濯，欲去首重回。
诗二首 其二（宋·米芾）　　五言律诗　押麻韵	携琴绕碧沙，摇苇弄青霞。杜若幽庭草，芙蓉曲沼花。宴游来野客，形胜得山家。往往留仙步，登攀日易斜。
