泛歙溪用老杜诗青惜峰峦过为韵（宋·胡舜陟）　　五言律诗　押青韵	港净千寻碧，峰回两岸青。鹭飞烟漠漠，猿啸竹①冥冥。鸡犬闻声地，云霞蔽隐扃。桃源疑此是，时复问渔舲。
寄侄（宋·胡舜陟）　　五言律诗　押寒韵	东辅书初至，西宫夜正寒。感时嗟阻阔，喜汝报平安。学耨知兼力，辞淳发巨澜。三冬文史足，轩翥未应难①。
白水寺（宋·胡舜陟）　　五言律诗　押鱼韵	雨过川原净，山寒草木疏。暮钟鸣古寺，行客解征裾。马祖留遗迹，浮丘传异书。谁能寻胜概，来往谩纷如。
建炎丞相成国吕忠穆公退老堂（宋·胡舜陟）　　七言律诗　押先韵	中兴将相上凌烟，社稷元功孰敢先。万物生春持斗柄，六龙回驭取虞渊。中书方记汾阳考，南国俄乘范蠡船。却向园林新栋宇，聊将胜事继前贤。
秉烛赏梅（宋·胡舜陟）　　七言绝句　押灰韵	蜡烟青绕雪培堆，神女疑乘香雾来。绰约仙姿明醉眼，横斜疏影入樽罍①。
滑石泉（宋·胡舜陟）　　七言绝句　押青韵	奔走尘沙五十程，泉声今夜响泠泠。明朝画鼓催征骑，不使行人仔细听。
题静江府枕流亭（宋·胡舜陟）　　七言绝句　押先韵	平生壮志在燕然，投老南征示息肩。鼷鼠发机端可笑，暂休戎马弄潺湲。①
渔家傲 江行阻风（宋·胡舜陟）	几日北风江海立。千车万马鏖声急。短棹峭寒欺酒力。飞雨息。琼花细细穿窗隙。我本绿蓑青箬笠。浮家泛宅烟波逸。渚鹭沙鸥多旧识。行未得。高歌与尔相寻觅。
感皇恩 丐祠居射村作（宋·胡舜陟）	乞得梦中身，归栖云水。始觉精神自家底。峭帆轻棹，时与白鸥游戏。畏途都不管，风波起。光景如梭，人生浮脆。百岁何妨尽沈醉。卧龙多事，谩说三分奇计。算来争似我，长昏睡。
句（宋·胡舜陟）　　押青韵	人有悲欢头易白，山无古今色长青①。
