指三门（宋·释亮）　　五言绝句　押灰韵	蹋断千差路，泼天门户开。抬头空荡荡，脚下起风雷。
开涂田道者求语（宋·释亮）　　五言绝句　押先韵	大海波涛涌，道人愿力坚。当头一截断，万顷看平田。
光维那归乡（宋·释亮）　　五言绝句　押庚韵	光境俱亡了，寒潭彻底清。溯流翻巨浪，五十四州惊。
建康黄尚书请住清真曾以颂却之（宋·释亮）　　七言绝句　押东韵	彻骨穷来不厌穷，横眠倒卧白云中。饥餐一钵和罗饭，此外无能振祖风。
藤簟（宋·释亮）　　七言绝句　押纸韵	打成一片凝如水，风吹不动寒光起。饭饱齁齁快活眠，不知身在秋波里。
寄天童痴绝和尚（宋·释亮）　　七言绝句　押蒸韵	潦倒西山百不能，随身赖有一枝藤。东撑西拄消閒日，甘作荒山小院僧。
达上人乞语（宋·释亮）　　七言绝句　押职韵	达道应须并六贼，六贼并了何所得。十方坐断眼头空，观音院里无弥勒。
碧云寄华藏故旧（宋·释亮）　　七言绝句　押删韵	碧云深处望湖山，时步松门独往还。眼底故人都不见，但闻幽鸟语关关。
见侍者求语（宋·释亮）　　七言绝句　押遇韵	三呼三应箭锋拄，不呼不应全体露。汝从雪窦到灵山，步步蹋著无差互。
古禅人乞语（宋·释亮）　　七言绝句　押侵韵	底事完全亘古今，何劳特地遍参寻。草鞋蹋破知端的，悔涉山川恨转深①。
光上人求语（宋·释亮）	光明寂照遍河沙，认著依前满眼花。丧尽诸缘回首看，寥寥四顾绝周遮。绝周遮处未为是，更须知有祖师关。透得关，生死佛魔甚屎屁。时来平地一声雷，四海五湖如鼎沸。
悼遁庵（宋·释亮）　　押庚韵	无端拗曲作直，平白换人眼睛。而今双履归去，且喜天下太平。
偈颂七首（宋·释亮）　　押尤韵	一叶落，天下秋，几人于此辨来由。衲僧冷地呵呵笑，南岳天台拄杖头。
偈颂五首（宋·释亮）	八十老婆心已灰，强颜抹粉与涂蚽。自知潦倒无羞耻，遇兴何妨舞一回。
颂古四首（宋·释亮）　　押养韵	你有主丈与主丈，你无主丈夺主丈。拨乱乾坤几个知，莺啼不在花枝上。
