再游鹤林寺（宋·释道潜）　　五言律诗　押寒韵	招隐山南寺，重来岁已寒。风林惊坠雪，雨涧咽飞湍。壁暗诗千首，霜清竹万竿。东轩谪仙句，洗眼共君看。
和龙直夫秘校细雨（宋·释道潜）　　五言律诗　押微韵	细雨连阡陌，轻云湿不飞。池寒鸥自卧，巢冷燕催归。惨澹疑沈树，飘萧忽近帏。檐花沾已久，稍欲堕人衣。
次韵太虚夜坐（宋·释道潜）　　五言律诗	古寺冬萧瑟，天寒色更冥。捲帏延素月，转盼失流星。炉底眠枯蘖，窗根立冻瓶。谈馀焚柏子，一燧小烟清。
和莘老经六合西门水亭怀裴学士（宋·释道潜）　　五言律诗　押歌韵	折柳相从地，重来失旧柯。林光延晚照，岸影动霜波。碧圃檀栾密，朱檐翡翠过。主人成异物，搔首奈情何。
和莘老初至温泉呈庆禅师（宋·释道潜）　　五言律诗　押阳韵	年华行已老，林莽尚葱苍。地胜连龙窟，泉温注鬼汤。人风远城市，钟梵近僧坊。九夏来投锡，栖心应更凉①。
都下晓霁（宋·释道潜）　　五言律诗　押阳韵	千门昨夜雨，万木晓生光。御水浮红蕊，宫①云丽粉墙。转楼迟日静，萦草乱丝长。想像西池路，浓阴覆绿杨。
田居四时（宋·释道潜）　　五言律诗　押阳韵	原隰春风暖，池塘雁北翔。晓耕云坞润，午饭野芹香。燕子依茅栋，花枝过土墙。东阡与南陌，生事日皇皇。
双溪晓步怀少游子实（宋·释道潜）　　五言律诗　押庚韵	亭午炎威剧，风溪破晓行。纡馀怜野彴，错落见长庚。翻藻鱼呈媚，梢林露献清。二豪俱二阙，此乐与谁并①。
送仲豫叔党二承务赴试春闱（宋·释道潜）　　五言律诗　押支韵	烱烱双黄鹄，雍容振羽仪。风高辞泽国，岁暮及天池。文彩非凡近，周旋竞陆离。明年翔集处，九万是君期。
景文宠示（宋·释道潜）　　五言律诗　押真韵	脱略今山简，能吟旧子春。偶因寻胜出，不为采芳人。红紫千葩尽，甘酸万颗新。江云浮翠壁，霭霭散鱼鳞。
别苏翰林（宋·释道潜）　　五言律诗　押东韵	四海窥人物，其谁似我公。论交容末契，许国见深衷。渐远吴天月，行披禁殿风。玉堂清夜梦，解后过江东。
都僧正慈化大师挽词（宋·释道潜）　　五言律诗　押真韵	领袖吾家事，由来二十春。虚怀能应物，直气肯随人。逝水流方远，临池墨尚新。声闻双树子，不见叶间身①。
送定上人还会稽（宋·释道潜）　　五言律诗　押庚韵	西风警群木，萧瑟散秋声。病客有归思，孤云无恋情。月当千里共，人恨四难并。苦学谁如子，它年在一鸣。
燕默堂（宋·释道潜）　　五言律诗　押真韵	万汇乾坤里，谁何识道真。喧卑憎末俗，燕默羡高人。漏转芙蓉永，香销柏子频。他年挥玉麈，堂上挹芳尘。
次韵聪师见寄（宋·释道潜）　　五言律诗　押先韵	三年东鲁贬，闭户实超然。静极通幽眇，神游岂间焉。独全霜后操，未异火中莲。不似沈湘①客，徒怀忿与悁。
读闻复诗卷（宋·释道潜）　　五言律诗　押豪韵	诗律久已废，宏纲谁与操。断弦那虑续，吾党有英髦。气稳侔彭泽，词幽近楚骚。未输汤从事，独诧碧云高。
次韵子由侍郎书事二首（宋·释道潜）　　五言律诗　押删韵	七年依岭外，遇物即防闲。宿负初偿毕，他生岂复还。飘飘疑鹤骨①，奕奕蔼童颜。自许乔松寿，玄机密锁关。
东坡先生挽词（宋·释道潜）　　五言律诗　押阳韵	造物周千载，真材得豫章。经纶等伊吕，辞学过班杨。德厚倾蛮貊，名高震虏羌。数奇终不偶，难与问苍苍。
孔子韶方平与其侄处度相访于香山作此诗以赠之（宋·释道潜）　　五言律诗　押尤韵	洙泗芬芳远，高材尚可求。二难俱韵胜，小阮更风流。语款时容接，诗豪未易酬。平生喜人物，邂逅此相投。
赠耿纯叔秘校二令侄（宋·释道潜）　　五言律诗　押阳韵	高门知积庆，堂上有诸郎。礼乐非童子，诗书见义方。经营羞弱羽，腾踏羡飞黄。富贵由勤苦，五车安可忘。
