题虞帝庙（宋·陈宗礼）　　七言律诗　押歌韵	南国熏风入帝歌，至今遗庙只嵯峨。一天晓色怀明哲，四野春光想太和。存古尚瞻虞衮冕，抚时几换禹山河。海滨乐可忘天下，解写灵明是老轲。
偕彭雅林游翠即席求和（宋·陈宗礼）　　七言律诗　押冬韵	往事镌镵一梦同，游人聊此可从容。神仙已逝境犹在，洞府虽深户不封。阅遍古今云木老，洗空尘土石泉舂。此怀清白堪超世，何必星精特地逢。
晓行（宋·陈宗礼）　　五言绝句　押遇韵	披衣起遐征，微茫认前路。哀鸿天际云，残月水边树①。
玉岩（宋·陈宗礼）　　七言绝句　押东韵	山蹊屈曲石玲珑，今古游人兴不穷。一一圆明人不识，却寻石□任中通。
石仙观（宋·陈宗礼）　　七言绝句　押东韵	千丈飞崖倚半空，火云时节此清风。身闲一日俱仙思，何用藏形古木中①。
山行（宋·陈宗礼）	川原绿已张，春去今何在。深树涵幽姿，微云弄晴态。禽声互酬应，林霏閒明晦。渐远人迹稀，清音自虚籁。
晚出（宋·陈宗礼）	落日山气清，归禽噪林杪。意行忘远近，吟过深烟表。㶁㶁水萦田，幽幽云反峤。忽闻邻寺钟，沿途发长啸。
澹山岩（宋·陈宗礼）	永州澹岩天下稀，山灵妙斲涪翁知。蹲猊翔凤献颖异，中有仙佛来娱嬉。我生骨相□冰雪，心境相□生怿悦。缘轻自笑来已迟，犹见岩前古时月①。
紫霄观（宋·陈宗礼）	平陂复峻坂，曲折劳攀跻。中道忽孤绝，恍然遇安期。授以度世术，呼吸随风飞。长跪受隐文，三复叹且疑。变化岂不神，勾谲莫予期。回鞭指故山，从此问所归①。
句（宋·陈宗礼）　　押阳韵	山川半为蛮烟累，人物②多因谪籍香①。
