答李才翁（宋·高似孙）　　五言律诗　押侵韵	素意杳难寻，残炉属晚阴。花知西洛事，雁叫北人心。客共艰难尽，诗随老大深。金陵书不到，消息又沉沉。
吴中致蟹（宋·高似孙）　　五言律诗　押阳韵	天雨洞庭霜，寒驱蟹力忙。全然空俗味，只是作诗香。酒已方才熟，橙犹未肯黄。让渠茶灶火，和月煮沧浪。
寄桐柏山王尊师（宋·高似孙）　　五言律诗　押微韵	犹道中峰浅，重新入翠微。读书呼鹤听，洗砚待猿归。近瀑青松湿，朝阳紫朮肥。逢仙归又晚，行得健如飞。
琼台西路（宋·高似孙）　　五言律诗　押麻韵	一夜天台雨，青鞋蹋尽沙。添将清瀑水，湿尽碧桃花。涉涧锄生朮，和云嚼野茶。便无仙骨分，不敢更思家。
桐柏山郑先生斋（宋·高似孙）　　五言律诗　押青韵	凿石引幽路，傍崖开碧庭。棋留樵客坐，鹅博老君经。竹榻朝吞日，松坛夜拜星。山中有公事，鹤触杏花零。
王清叔舍人玉寒堂（宋·高似孙）　　五言律诗　押灰韵	只为襟怀别，全然少俗埃。山林非细事，天地有奇才。泉石皆经画，松梅不妄栽。何销嵩洛去，嵩洛在天台。
寄天台萧练师（宋·高似孙）　　五言律诗　押阳韵	已是成仙了，全然得道长。石坚松结髓，山煖朮生香。近瀑衣裳冷，和云笔砚凉。傍崖修碧宇，何日奏寥阳。
简石桥僧璧晖（宋·高似孙）　　五言律诗　押青韵	只在閒云里，房虚湿翠屏。童归收晚果，客至歇残经。月落千峰黑，龙归白水腥。关门无一事，草木共冥冥。
桐柏郑练师归故山（宋·高似孙）　　五言律诗　押庚韵	元与玄俱妙，全无事可轻。路依苍石转，房与碧云平。鹤露收残梦，桃风析晚酲。西窗留与我，却去事弥明。
和居简师韵（宋·高似孙）　　五言律诗　押萧韵	恨不相从早，分渠月半寮。墨飞春涧石，茶衮夕铛潮。诗到如今瘦，情从此处消。为君料理极，参透碧寥寥。
小阁（宋·高似孙）　　五言律诗　押麻韵	料理闲如旧，依还略似家。自添磨砚水，多买入瓶花。有客谈游墅，催奴设赐茶。悠悠江海意，风雪满兼葭①。
宋江都研（宋·高似孙）　　七言律诗　押鱼韵	数寸清纯玉不如，入波陶发冷萧疏。千金烂抵荆山鹊，一璞深刳渭水鱼。墨带花香临近涧，泓沉灯影了残书。从来端歙难优劣，名下真成士不虚。
答宇文文学（宋·高似孙）　　七言律诗　押阳韵	无能应俗苦皇皇，诗不惊人笔事荒。天下无山如饭颗，人间有水自沧浪。左杯右蟹一舟足，早韭晚菘三亩强。莫谓觉来亡可嗜，逢人犹自觅花忙。
燕文贵山水图（宋·高似孙）　　七言律诗　押先韵	道山堂上御府画，展卷犹能记老燕。十日何由办水石，千金乃可分江天。楚湘两岸风落木，海岳三秋雁度川。大山小山俱好隐，江南梦去曲肱眠。
答武昌吴广文（宋·高似孙）　　七言律诗　押尤韵	平生不识武昌楼，官柳青青好在不。庾亮笛吹黄鹄月，简栖碑驳碧苔秋。山横赤壁含情断，水出瞿唐快意流。何处叫君同一醉，并舟秦女擘箜篌。
四圣观（宋·高似孙）　　七言律诗　押尤韵	水明一色抱神州，雨压轻尘不敢浮。山北山南人唤酒，春前春后客凭楼。射熊馆暗花投①扆，下鹄池深柳拂舟。白发邦人能道旧，君王曾奉上皇游。
赵嘉甫致松江蟹（宋·高似孙）　　七言律诗　押阳韵	雁知枫已落松江，催得书来急蟹纲。消一两螯如斲雪，强三百橘未经霜。无诗莫学天随子，有酒当呼吏部郎。不解持经聊戒杀，省嫌无板去烧汤。
誓蟹羹（宋·高似孙）　　七言律诗　押庚韵	年年作誓蟹为羹，倦不能支略放行。但是草泥行郭索，莫愁豕腹胀膨亨。酒今到此都空了，诗亦随渠太瘦生。吏部一生豪到底，此时得意孰为争。
赵嘉父送松江蟹（宋·高似孙）　　七言律诗　押阳韵	青天肯为蟹飞霜，蟹亦贪诗老更狂。枫叶已随诗共冷，菊花能为酒先忙。平生尔雅谁能熟，此去玄经孰敢荒。剪去吴淞半江水，渔翁不敢叫沧浪。
同父送松江蟹（宋·高似孙）　　七言律诗　押阳韵	人间宁有几松江，蟹到强时橙也黄。非是龟蒙无此隽，自从茂世孰为忙。乾坤大半渔为宅，雪月从头笔做床。不读晋书谁了此，晋书曾读也苍茫。
