赠陈宗之（宋·黄顺之）　　五言律诗　押真韵	羡君家阙下，不踏九衢尘。万卷书中坐，一生閒里身。贪诗疑有债，阅世欲无人。昨日相思处，桐花烂熳春。
初寓横泾（宋·黄顺之）　　五言律诗　押先韵	十年泉石梦，及此始依然。野迥天垂地，身閒日抵年。稍欣闻见少，渐与土风便。分得渔樵席，白云相共眠。
题岩砻寺（宋·黄顺之）　　七言绝句　押微韵	岩花得雨新如染，古树悬崖怪欲飞。日暮溪深人不渡，一双白鸟傍林归。
题九曲尼院（宋·黄顺之）　　七言绝句　押真韵	曾是霓裳第一人，曲终认得本来身。多年不作东风梦，閒却蔷薇一架春。
剑（宋·黄顺之）　　七言绝句　押尤韵	抚剑悲歌壮泪流，海清岳静世无雠。匣中幸有容身地，莫遣光芒射斗牛。
观冷水谷桃花（宋·黄顺之）　　七言绝句　押真韵	石家步障久成尘，移作包山一段春。惆怅日斜原上路，年年红雨打行人①。
法安院（宋·黄顺之）　　七言绝句　押阳韵	瘦藤拄到古韬光，分得山僧半榻凉。幽鸟一声春梦断，湿云漠漠护残香①。
吴宫曲（宋·黄顺之）　　七言绝句　押麻韵	乌鹊桥边春日斜，吴王醉上七香车。西施斗草归来晚，赢得钗头金凤花①。
听悟师弹招隐（宋·黄顺之）	悟师手携清风琴，为我再奏招隐吟。九原灵均不可作，后人遗恨空沈沈，令我听之泪沾襟。楚山日落秋声起，古猿啼月空山里。千年愁气上青枫，幽兰无香桂华死，吾道非耶何至此。曲中历历分明道，苦怨王孙负春草。岁晚山中难久留，忆君一夕令人老。王孙王孙知不知，琴心招君胡不归。下沿湘江之水流，上逐湘山之云飞。一弹一招一太息，水流云飞朝复夕。
送叶靖逸（宋·黄顺之）　　押职韵	山高积雪明，岁序冉以逼。佳人抱书去，西湖失颜色。清夜独慷慨，诗坛梦生棘。我有双鲤鱼，对之不敢食。
长门怨（宋·黄顺之）　　押真韵	锦瑟新添一岁尘，宝鸾空负百年身。建章万户莺花好，只有长门更不春。
