云蒙峡谷观景台与江春秋雨凭眺（当代·幻庐）　　五言律诗　押冬韵	一带环空水，遥青峙数峰。风因云蔽日，峡以雾从龙。晴晦中区变，人天此际容。凭栏虚远指，胜处得寻踪。
丙申新正二日发桃乡深州至衡水湖，坚冰犹被怅望而返（当代·幻庐）　　五言律诗　押真韵	初元舒倦目，广泽界遥垠。即拥荷三岛，先呼雁一人。舟虚横苇甸，履薄问桃津。乐汝忘何世，沈潜浪底鳞。
皇寺村（当代·幻庐）　　五言律诗　押齐韵	浣葛遥闻杵，开轩静枕溪。拱桥偕石屋，抱瓮湿葱畦。即此门不二，何须法向西。去来红杏路，柳外曲尘迷。
爽澍晨占（当代·幻庐）　　五言律诗　押阳韵	随风潜入夜，皮骨梦馀凉。滴沥牵檐溜，珠玑漏叶光。重争雅鹊活，少惜芰荷香。快雪来今雨，时晴竞想王。
赠清溪之荷花游鱼水墨斗方，已悬其新居雪壁。叠韵发图来谢，乐以和之（当代·幻庐）　　五言律诗　押鱼韵	秋池濡兔颖，素菂发蜗庐。胸可无丘壑，心何去笋蔬。快游重洗研，迟答愿来书。自满荒寒意，从知惜墨馀。
荆州（当代·幻庐）　　五言律诗　押庚韵	旄头三尺剑，鼎足一杯羹。瘗马熊王冢，飞蓬楚国城。丝罗云綵异，漆玉凤文轻。四海成今日，犹过上古声。
丙申初雪（当代·幻庐）　　五言律诗　押阳韵	青素终相受，应怜第一场。收霾风可虐，落木夜何狂。泥滑仍催毂，瓶空尚倚床。毋疑难寸积，别俟蹋寻忙。
寺中夜步（当代·幻庐）　　五言律诗　押微韵	已更元宝履，惟欠水田衣。闹市曾因识，空门孰与归。灯瞳遥澹定，铎语自玄微。化影中庭月，应偕万虑飞。
石牌抗战七十周年祭,去岁八月经此忽忽一载矣（当代·幻庐）　　七言律诗　押文韵	巴楚涡盘举棹分，西陵直泻断江云。久湮喋血平戎纪，忍抚椎心告誓文。无字丰碑标故国，有情明月报将军。峰头亭子灯前影，千载滩声和雨闻。
忆去岁于夷陵江干放翁酒家与三江及诸友夜酌（当代·幻庐）　　七言律诗　押鱼韵	断岸江声百尺虚，仙家固喜择崖居。云封玉府频窥隼，泉漉珠床特荐鱼。引兴三游霞散际，沈唫复醉斗横初。剑南自是清诗骨，为洗征尘细雨驴。
后湖苏州街（当代·幻庐）　　七言律诗　押微韵	一叶闻秋减绿肥，水湄轻避赫炎威。龙蟠松老空樵径，鱼跃舟回冷钓矶。北海延尊初可释，东皋舒啸每相违。清明再拟宣和本，或恐人非物亦非。
美庐（当代·幻庐）　　七言律诗　押东韵	两朝人去小楼空，寂莫凌霄探座红。画幅文章庐信美，琴音鬓影史何穷。枉争国共毋分别，俱说炎黄有大同。恩怨弭忘还地下，能为英主抑枭雄。
乙未五日已赴洪都明日送春再观陈老莲屈子行吟图（当代·幻庐）　　七言律诗　押尤韵	高旻岂必怨灵脩，独握芳兰孰与谋。渔父几曾哀楚泽，龙舟依旧竞湘流。香遗九畹孤衷冷，剑佩三闾胜国休。莫恃亡秦终一户，晚来风雨失绸缪。
雨霁风回数曰晴昊尽埽尘霾人人晒网未能免俗脱宅所见因得俚句聊复尔尔（当代·幻庐）　　七言律诗　押删韵	土灰面目务通删，旧梦春明顷刻还。朗抱天心元极品，高干云物另空间。五环红褪朝初日，卅里青馀小众山。观象铜仪终不废，镜屏留驻汉宫颜。
丙申小年前夜，邀聚生云阁外清穆轩，约押年字（当代·幻庐）　　七言律诗　押先韵	气暖如争送灶先，相将语笑列丰筵。笔横墨沈梅红对，心泻辞华蚁绿篇。百岁生涯终遣日，九洲节物忘延年。及犹未及无穷想，收拾残杯冷炙边。
立春夜于吉日格勒涮肉遣岁，与金红二兄约用庚青进退格，即送副座归里过年（当代·幻庐）　　七言律诗	潜推历算换新正，饾饤盘餐与绿醽。为以陶庵伤梦忆，应如庾信接春声。花魂任对清魂健，柳眼容遮老眼青。宁自周旋皆若我，师心师古恰同行。
丙申羊日与矞晴生云二兄、云綵依东伉俪举酒迎春，分韵真字（当代·幻庐）　　七言律诗　押真韵	天街初润雨中春，一日羊蹄疾四轮。相约呢喃双燕返，为催次第百花新。铭心淑景都添句，溅齿芳醪且拂尘。此去寻寻还觅觅，江南三月味须真。
灵岳寺（当代·幻庐）　　七言律诗　押虞韵	西求七级引浮屠，七叶菩提入给孤。尚有槐柯容一隙，因从松雪了空无。去今去古时遑顾，如变如常境亦殊。侧岭横峰看未已，祇缘之字各崎岖。
邢台开元寺（当代·幻庐）　　七言律诗　押先韵	唯观心上有芝田，毳缕云行卵色天。薄雪飞樱过一霎，狂沙断碣抚何年。钟声夜罢寒山渡，经味春逢觉岸传。接引赵州吃茶去，淩波微步铁生莲。
与藉舟生云煮肉烧笋煼粉烹蘑，共度五一至夜方归。约取笋蘑二字分置联尾成诗，生云并属予作红荷斗方以托清兴，昱晨风雨高卧，倚榻得句（当代·幻庐）　　七言律诗　押歌韵	被酒吴丝藉且歌，招要朗抱发吟哦。苏诗脆爽连林笋，院本清腴著雨蘑。即此阑春花与共，深凭了梦夜其何。风雷可豫明朝作，剩湿云浓聚研多。
