忆昔（明·孙作）　　五言律诗　押江韵	留滞长羁旅，今年辞渡江。朝霞晴俯槛，细雨晚临窗。短发梳千下，潜鱼见一双。惊魂犹未复，梦枕海涛撞。
客中秋夜（明·孙作）　　五言律诗　押文韵	故园应露白，凉夜又秋分。月皎空山静，天清一雁闻。感时愁独在，排闷酒初醺。豆子南山熟，何年得自耘。
送人往宣城（明·孙作）　　五言律诗　押东韵	送客宣城郡，吟诗忆土风。雪肤银杏白，火颊木瓜红。楚殿荒山里，澄江出树中。君亲三载仕，我友一樽同。
石菖蒲（明·孙作）　　五言律诗　押庚韵	晓露飞初湿，春苗剪又生。静怜千叶瘦，幽喜一峰横。郁郁明人眼，青青异物情。安期如可待，吾亦扫黄精。
沙上（明·孙作）　　五言律诗　押元韵	百年神物会，出此远人村。浪汹江翻屋，沙崩树齧门。芋魁锄地底，鹿角长溪痕。开辟当天意，瀰茫恨吐吞。
入秋（明·孙作）　　五言律诗　押庚韵	江浦今朝暗，秋风昨夜清。山川不改色，雾雨□飞轻。出处妨吾道，嵚崎见物情。系舟思范蠡，迢递越王城。
送葛倅还金陵（明·孙作）　　七言律诗　押东韵	勾漏人传旧葛洪，夜深吹笛向江东。海楼会散金山寂，淮月清悬石垒空。骢马昔时瞻御史，倅车今日见明公①。别怀万里如潮急，相趁西州舶趠风。
足疮（明·孙作）　　七言律诗	足非病跛苦疮痍，兀立携藤拜跪迟。倒屣掇皮真自见，登堂着袜怒何为。空轩独卧怀藭曲，幽径微行畏蒺藜。俗客相过尽推去，一杯五积睡还宜①。
送杜孝廉往句容（明·孙作）　　七言律诗　押微韵	江东胜地压西浙，句曲山传天下稀。林间风生一虎过，石上月明双鹤归。我拟华阳裁白帢，君如莱子奉斑衣。日长悬幕娱亲地，小轿疏棂入翠微。
为翟守赋双桧（明·孙作）　　七言律诗　押虞韵	公馆萧条百岁馀，独存双桧向江隅。山川云雨时时会，造物风霜隐隐扶。后土不埋龙蜕骨，赤霄端有凤将雏。醉翁草木皆堪敬，闻道邦人画作图。
送徐总管入杭（明·孙作）　　七言律诗　押真韵	灞陵人忆旧将军，细柳阶前叶又春。万里北风归化鹤，十年西地见骑麟。卧听筚篥沧江迥，醉草乌丝画戟新。骏马好陪丞相后，《竹枝》歌吹绕湖漘。
九日（明·孙作）　　七言律诗　押尤韵	南国炎蒸初罢暑，楚江凄凛又惊秋。轻霜未破千株菊，高浪间登百尺楼。陶令去官非为酒，海翁无伴不忘鸥。莫愁短日催长夜，且赏清尊映黑头。
舟泊吴江呈继上人（明·孙作）　　七言律诗　押先韵	松陵桥畔太湖前，斜日青枫系客船。引颈数看花鸭乱，含情深愧白鸥贤。千镫庾岭传无尽，一宿曹溪觉有缘。稍待月明风细熟，卧吹箫管学坡仙。
放萤（明·孙作）　　七言律诗　押阳韵	一室琴书露竹凉，小窗深掩坐匡床。戏寻脉望看奇晕，忽睹丹良泻冷光①。谁录异方知却马，我矜微物解升堂。白头爱伴书帷客，苦节宜侪弟子行。
酬蒋逸人连日观花之会（明·孙作）　　七言律诗　押灰韵	照坐金沙笛里开，青春两度为花来。红妆初见三千指，锦绣重添一万堆。细雨流霞移曲槛，东风落日坐平台。深红浅白俱情称，醉后题诗记此回。
莫抵西郊（明·孙作）　　七言律诗　押微韵	白日崩云莫色微，柴车独不款高扉。十觞酩酊浮家酽，五载暌离笑客衣。瑟瑟雨声寒渐密，沉沉更漏夜仍稀。天明即别愁何限，四壁凄凉万事违。
食橄榄（明·孙作）　　七言绝句　押侵韵	碧云高叶树亭亭，雨打风披子更深。到口真如觅幽句，急搜佳处已难寻。
雪桃二首（明·孙作）　　七言绝句　押删韵	饼可充饥黍可餐，桃如大药驻朱颜。空肠待得三千岁，辟谷何人不入山。
切藕（明·孙作）　　七言绝句　押寒韵	碧节冰丝透薄寒，金波初出荐雕盘。昔曾太华峰头见，今向佳人掌上看。
寄淞江陈山人（明·孙作）　　七言绝句　押先韵	百年苦忆高常侍，多病谁怜孟浩然。旧喜涉江今不涉，空斋时阅友朋笺。
