夜经龙兴寺（明·李以麟）　　五言律诗　押微韵	野寺经行处，秋风满客衣。僧残空法界，犬吠出岩扉。木落寒山静，云深古径微。踌躇清梵杳，空带月明归。
病中秋夜（明·李以麟）　　五言律诗	卧病茅檐下，秋风一夜清。离心生雁影，商意入蝉声。岁月时将暮，关河露欲凝。无情江上月，故故傍人明①。
閒居杂咏六首（明·李以麟）　　五言律诗　押删韵	南海沧波远，清时宝剑閒。醉残三日雨，兴入万重山。天地长留句，风云助笑颜。梦回溪上月，犹似照柴关。
滘头看山同邓吉夫曾明吾梁伯静舟中（明·李以麟）　　七言律诗　押麻韵	滘外长风散晚霞，孤舟维向渡头沙。海门淡月潮初入，篷底残尊烛半斜。路接渔樵闻夜语，岸回霜露带寒花。开帘指点看牛女，漫说银河八月槎①。
定帆亭（明·李以麟）　　五言绝句　押寒韵	捲幔东溟阔，抛书晓月寒。松风便入梦，谁作怒涛看。
丙申春同诸社丈北郊会张吴二将军杨武生邀酌松下晚归书事二首（明·李以麟）　　七言绝句　押庚韵	柴门日日闭春晴，白发缘愁已乱生。闻道郊原新雨足，共寻芳径出山城。
拟古（明·李以麟）　　押尤韵	千金买骏马，万金饰吴钩。挂剑上马去，誓为万户侯。一登风尘路，永辞珠翠楼。谁念香闺人，夜夜徒离忧。
春晚（明·李以麟）　　押微韵	晨兴长意佳，独坐开半扉。池塘澹不流，轻燕帖水飞。青阳醉万物，随地生光辉。云飞与川驰，何处不生机。安得浴沂者，浩歌以同归。
梅花下有怀水石邓山人（明·李以麟）	钟鸣山院深，野静烟光阔。北风昨夜寒，吹落瑶台雪。怀人隔海滨，岁暮音书绝。梦破罗浮春，坐惜枝头月①。
游厓山上袁明府萧老师（明·李以麟）　　押尤韵	我昔怀厓山，山深不可求。鳄湖一以眺，远水空悠悠。感此生梦寐，岁华已十周。兹行惬夙怀，况得及春游。东风吹征衣，新水摇轻舟。倏忽两崖间，四顾郁绸缪。日落长烟空，宕桨湖中洲。怒流激风雨，一夜生寒秋。鸡鸣揽衣起，毒雾散平畴。乱石如人立，遥天蹴浪浮。舍舟沿小港，一径入松楸。巍峨新庙宇，寥寂旧山邱。景物纷在眼，半带前朝愁。弱萝故袅袅，蜚鸟亦啾瞅。百年夷夏心，凄恻欲谁留。回首烟霏外，慷慨席中流。赤日腾扶桑，万里阴霾收。把酒飏归航，且听渔人讴①。
