刘养旦先生诸子即讲院祀先生余谪茶陵借宿赋五言近体为谢并得流字（明·林熙春）　　五言律诗　押尤韵	先生还有子，颉颃并吞牛。椿树羹墙见，荆花朝夕游。刀头明月在，囊内锦云流。郢调宁无和，燕山自有詶。
题沈少源奕世冠裳图（明·林熙春）　　五言律诗　押侵韵	浙水诸梁裔，瀛州作邓林。笏簪传几代，诗礼到于今。儒雅风流在，孙枝雨泽深。丹青图画里，不尽燕贻心。
林伯子冠且及昏诗以志喜（明·林熙春）　　五言律诗	三秋桂影浓，姮女系仙踪。头角峥嵘盛，门阑喜庆崇。龟筮从射雀，鱼水便乘龙。世德繇来旧，家声待尔隆。
曾九虚丈得拜大行赋此志喜（明·林熙春）　　五言律诗　押虞韵	才名推子羽，召拜达清衢。雉尾闻天语，螭头捧帝符。暂劳驰鸟迹，转盻掠龙珠。当宁方垂眷，民风到处诹。
草堂成郑德进以诗扁见贻依韵谢（明·林熙春）　　五言律诗　押覃韵	家世薇垣重，高标望斗南。藏书心独解，怯酒兴同酣。天地容吾懒，风尘自尔惔。甘泉应献赋，谷口未宜耽。
挽傅莘野 其三（明·林熙春）　　五言律诗　押侵韵	何事观风者，旌书表士林。杞忧终夜念，葵曝一生心。百岁期将近，重泉路忽深。儿孙争胠箧，字字是南金。
乙巳五十四儿辈请举觞弗许乃老父慰以温词内有迁臣旧价贺客新诗及弧矢韦弦之语演成五言近体四首兼致祝私（明·林熙春）　　五言律诗　押支韵	初度趋庭日，惊闻训鲤词。迁臣仍旧□，贺客有新诗。弧矢箴吾直，韦弦示我师。年来亲志洽，应是主恩遗。
谢荩衷再访予山中诗以送之三首并得春字（明·林熙春）　　五言律诗　押真韵	宓子鸣琴久，王猷命驾频。龙津双妙士，凤渚一閒人。相顾谭心印，转看惜鬓银。浃旬方把臂，离别却酸辛。
送假生道人归大华山访师用渠别韵（明·林熙春）　　五言律诗　押真韵	参同意已真，久作少林人①。祗急归羊角②，无烦事鸟申。青山谁是伴，白发日相亲。明月随君去，何时结好邻。
送陈景瑩应试三首（明·林熙春）　　五言律诗　押先韵	圣朝求仲举，世业鲁遗编。国士推高第，书生正少年。三投怀白璧，万选属青钱。珠勒装行骑，乘风快著鞭。
送王孟箕明府之留都水部次日逢重九同曾时甫凤栖岩登高四首（明·林熙春）　　五言律诗　押蒸韵	握符临玉简，奉檄指金陵。岭月随单骑，江风赋大鹏。天涯成远别，水部正先登。岂谓燕山隔，龙蟠汉股肱。
送郑郎之长沙省觐四首（明·林熙春）　　五言律诗　押真韵	初冬逢朔日，朔气正侵人。栖凤尊前酒，乘龙席上珍。片帆三楚迅，彩服一家新。聚首堪频笑，黄陵满地春。
销带解嘲（明·林熙春）　　五言律诗　押豪韵	解带栖三径，呼童买浊醪。岂为糊口计，还厌折腰劳。报主情方切，依亲意独牢。莫讶生事拙，诗思且陶陶。
至日寿颖冈四兄六一 二首（明·林熙春）　　五言律诗　押支韵	一阳初动处，六甲踰周时。宫绣方添线，海筹又益枝。逢衣迟白发，采服幸齐眉。汗血神驹俊，冈陵未有涯。
人日洪爽寰兄枉草堂并索书传稿（明·林熙春）　　五言律诗　押青韵	荏苒逢人日，斋居集客星。梅红临碧水，鹅白换黄庭。剪綵惭三径，断金守一经。夜来杯酒别，眼自为君青。
丁未五月六日拉黄思元丈放舟韩江登三元塔绝顶已陪太守金公别驾刘公观竞渡仍登塔传杯观者如堵薄暮就江东陆回时连日盛雨此日则独晴云漫赋四章用纪乐事（明·林熙春）　　五言律诗　押寒韵	昨日天中节，今朝兴未阑。凤城寻一苇，鳄渚放双竿。海近涛声急，风高气色寒。须臾登彼岸，转觉是飞翰。
族子守德馈予独鹤养巳三年性驯甚每雁鸣鹤亦鸣令人爱且怜之近因浮鱼塘中损趐不觉悽切漫作二章（明·林熙春）　　五言律诗	卫公曾馈鹤，孤鹤叹飘零。饮啄知人性，回翔近物情。观鱼频独立，顾雁每双鸣。岂谓浮鸥病，迟君羽翼生。
丁未七夕雨适郑德进馈芳园胡桃时乡人报夷舶因风出洋矣转忆沈约有云胡桃挺自禁地为胡羯奔逃之兆感而赋此（明·林熙春）　　五言律诗　押阳韵	胡桃来七夕，新果正新尝。西北神仙品，衡茅筐篚香。外刚明质直，内理见文章。为是羞牛女，星桥莫涕裳。
四寿诗 寿陈先生（明·林熙春）　　五言律诗　押庚韵	太丘家世故，总角便知名。观象传三易，杖鸠作五更。衣冠从里俗，月旦满乡评。圣世求惇史，天涯属王盟。
叔弟携来菊十一月盛开（明·林熙春）　　五言律诗　押阳韵	三径黄花地，玄冬且放黄。岁寒争柏操，春近占梅香。玉露天长湿，金精夜更光。姜肱情正洽，沽酒醉花傍。
