初入鲁境（明·王天性）　　五言律诗	行行春半空，征旆复山东。柳作烟中态，桃仍雪里容。逢人多白眼，顾影恨颜红。鲁酒从来薄，聊斟慰路穷。
孟夏大埔令招饮印山口占代谢（明·王天性）　　五言律诗　押微韵	海国鲸鲵斗，言归未得归。飘零知我贱，雅致似君希。携客凌风磴①，开樽俯钓矶。羁栖多乐事，忘却故山薇。
故人宅对月（明·王天性）　　五言律诗	金樽开北海，华月吐东峰。魄到中天满，光分万里同。近人瑶佩湿，映酒玉杯空。窈窕今宵宴，明年何处逢。
寄云石山人（明·王天性）　　五言律诗　押麻韵	自无匡世略，守拙混泥沙。云没君山径，蓬荒仲蔚家。学空忘委蜕，离垢想餐霞。欲访臞仙子，东西各海涯。
步冲默来韵（明·王天性）　　五言律诗　押歌韵	皓魄中天白，凉光泛薜萝。花香牵逸兴，琴响间清歌。主进千觞寿，客忘两鬓皤。只愁罍瓮竭，不问夜如何。
九日偶成似冲默（明·王天性）　　五言律诗　押灰韵	重阳人共醉，独覆掌中杯。黄菊纷堪采，白衣故不来。风高愁落帽，日暮倦登台。心赏随年薄，何时笑口开。
诞第九男戏笔（时七十二）（明·王天性）　　五言律诗　押虞韵	拟待男婚毕，问寻山泽癯。岂知霜满鬓，还作蚌怀珠。啼搅通宵寐，抱烦终日劬。何时黄口哺，供养白头乌。
有感（明·王天性）　　五言律诗　押虞韵	唐虞嗟已远，道与运俱徂。游世黄金巧，论交白雪孤。老聃闻跨犊，宣父说乘桴。吾欲卜焉往，巫咸不可呼。
别左小洲邑侯四首（明·王天性）　　七言律诗　押微韵	暮春江路雨霏霏，南浦桥边送客归。轻舸乘潮俄远去，荒城回首欲谁依。日昏古树群鸦集，风急长天独鹤飞。愿效河东权借寇，封章孰与叩彤闱。
代和小洲客邸书怀（明·王天性）　　七言律诗　押冬韵	家家井灶没秋蓬，处处郊原带夕烽。岁岁徵兵成浪费，番番报捷只弥缝。公来寇退初欢足，寇退公归转恨重。别酒一樽愁夜短，可咛缓叩五更钟。
和小洲舟次（明·王天性）　　七言律诗	飞花啼鸟满山城，嗟尔穷途此日行。松径鹤猿频入梦，瘴江烟雨若为情。天光笼水浮官舫，海色生风送客程。千里故人明月夜，应同离绪叹分萍。
酬唐曙台秋日见寄（明·王天性）　　七言律诗　押东韵	长铗归来兴已慵，却依愚谷驻飞蓬。秋风落日催霜鬓，雨夜寒灯对壁虫①。寂寞杨雄谁问字，咄嗟殷浩漫书空。烦君远念山中客，并局联篇恨莫同。
曙台惠诗久稽裁答漫成一首谢过（明·王天性）　　七言律诗　押真韵	老大头颅又一春，胸怀不似向来人。穷当彻骨非诗罪，事懒关心见性真。自分犁锄终岁月，多时卷帙闭埃尘。琼章未报君应识，只恐西家笑效颦。
谢少沧许见过不至（明·王天性）　　七言律诗　押阳韵	别后音书各杳茫，归来两鬓亦应霜。未能叩马劳行李，先许抱琴过墅堂。门外落花频自扫，瓮头新醁拟同尝。怪缘底事无消息，烟瞑鸦栖又夕阳。
少沧至复有此赋（明·王天性）　　七言律诗　押支韵	山城过雨尚云垂，怜尔冲泥赴昔期。乍见故交方一笑，追论往事又增悲。兴来解道澄江句，坐久重围赌墅棋。回首不堪天地异，樽前莫惜酒频持。
昨晴拟今早过少沧值雨如注遂止（明·王天性）　　七言律诗　押麻韵	昨朝天际已轻霞，今雨倾盆溜岸沙。并坐林莺愁不语，袅枝墙杏湿偏斜。风湍转急宜收钓，世路难行且种瓜。剧欲寻君同一醉，蹇驴谁与借东家。
饮少沧宅（明·王天性）　　七言律诗	向来习懒经过少，此日寻君觉兴浓。已见肥鱼誇邴穴，更疑好酒买新丰。初晴小草和烟里，落日浮云感慨中。准拟登临陪谢傅，肯将衰鬓哭途穷。
和顾伯龙邑侯九日感怀（明·王天性）　　七言律诗　押尤韵	懒把茱萸插满头，年来萧索不堪秋。飞霜入鬓频临镜，落日惊心独倚楼。木叶已看辞干尽，菊花空自傍篱幽。柴门端望白衣使，一对青尊解暮愁。
破龙潭寺（明·王天性）　　七言律诗　押灰韵	窈窕珠宫付劫灰，玲珑金刹杂苔莓①。洞门烟冷龙何处，桧树风悲鹤不来。草满尽迷飞锡地，尘深难认译经台。空馀寺下寒潭水，怅望何僧更度杯。
龙潭寺新成复游二首（明·王天性）　　七言律诗　押阳韵	梵宇新瞻金碧光，心依重此礼空王。曾参七偈耽玄教，欲扣诸天到上方。风里磬声传净界，雨中花气逼禅床。逢僧久话降龙事，不觉归鸦报夕阳。
