横石道中（明·王渐逵）　　五言律诗　押尤韵	邮吏迎津口，官船出峡头。鼓声滩力劲，云气曙光浮。为客得春月，看花遍岸洲。开尊邀二弟，亦足慰多愁。
曲江道中怀彦蕃昆季二首（明·王渐逵）　　五言律诗　押先韵	前日见新月，犹在君堂前。今日见新月，曲江春水边。把杯聊自酌，对影独堪怜。安得人如月，时时还更圆。
芙蓉庵（明·王渐逵）　　五言律诗	暖入初冬候，芙蓉晚未残。客逢贤郡守，游识旧江山。帝子归何处，仙人去不还。独怜庵上月，犹自照酡颜。
颖江书院（明·王渐逵）　　五言律诗　押阳韵	共入闻韶径，遥登寡过堂。风烟环武水，名胜带皇冈。礼乐乡闾洽，文章草木光。会当修郡志，吾欲撰循良。
锦石岩（明·王渐逵）　　五言律诗	万木深层径，双岩倚激湍。翠华思帝辇①，云锦织天孙②。地主遥迎客③，山僧已候门。幽栖如可卜，吾欲谢烦喧。
梦觉关有感（明·王渐逵）　　五言律诗　押虞韵	吾道蹉跎甚，堪嗟学佛徒。廿年方梦觉，十月到清都①。世界看成坏，缘心定有无。夜怀怜不寐，石上更跏趺。
锦石岩有怀符颖江（明·王渐逵）　　五言律诗　押删韵	一见知符子，仙姿出世寰。论韶千载上，坐我万峰间①。月印曹溪水，花凝锦石山。相思不相对，清梦隔云关。
南安寓馆（明·王渐逵）　　五言律诗	不寐起良夜，星河步院东。露寒朱鸟影，春满祝融宫。双阙天应近，孤城山更重。回思朝徔日，残月恰闻钟。
焦山（明·王渐逵）　　五言律诗	北固称名镇，金焦据世雄。宋唐多纪胜，江汉此朝宗。青壤空淮甸，群山拥帝宫。登临兴不尽，惆怅暮禅钟。
泰州寓馆感兴（明·王渐逵）　　五言律诗　押尤韵	六月野荷浒，东风尽日幽。水生安定宇①，花发凤皇洲②。独馆怜新梦，南山怀旧游。相逢总相识，聊以解淹留。
寄玉山陆晋川明府（明·王渐逵）　　五言律诗　押侵韵	晋川吾所慕，欣慰玉山岑。论心频过访，抚景共登临。爱尔清新句，浇予磊落襟。未须嗟吏隐，供俸待词林。
丹徒尹聂君同年家侄也再邀游焦山赋此（明·王渐逵）　　五言律诗　押删韵	使君多逸兴，暇日共幽攀。遥指招堤境，因过处士山①。湖平鸥鹭渚，僧候定圆关。绝顶生玄思，翛翛醉醒颜。
玛瑙寺和徐少湖韵（明·王渐逵）　　五言律诗　押歌韵	历览凭高胜，群嚣静晚坡。雨藏山阁久，潮入海门多。野色孤城合，林光独鹤过。湖山如可卜，岸帻听渔歌。
山居寺再和前韵（明·王渐逵）　　五言律诗　押歌韵	沿竹入层径，扪萝上峻坡。寺深闻罄远，楼遍碍云多。往事僧能道，豪吟客暂过。谁家烟艇外，时送采莲歌。
白鹿洞（明·王渐逵）　　五言律诗	徒几从骈荫，寻源上急湍。驻云窥石刻，回鹤认儒冠。太守还留客，诸生半候门。肩舆时取兴，归路任黄昏。
栖贤桥（在庐州山）（明·王渐逵）　　五言律诗	爱尔栖贤地，虹桥驾碧漪。洞传唐李勃，碑刻宋淳熙。落日闲丹壑，长风怯葛衣。欲穷庐阜顶，五老会相期。
别郑东溟同年（明·王渐逵）　　五言律诗	磊落东溟子，为官迟尔期。十年犹未转，五马得深依。落日桑麻课，春风岛屿诗。何时苍海上，相对拾珠玑①。
飞云顶（明·王渐逵）　　五言律诗　押东韵	飞云杳何许，疑是祝融宫。石室自昏晓，太虚惟渺濛。瑞气多浮夜，凉云半碍空。会当凌八极，来此搆芳丛。
轩辕宫（明·王渐逵）　　五言律诗	轩辕已仙去，空有故宫遗。石榻自秋草，云岩半夕晖。涧水疑玄调，山花尚翠帷。峰头旧时月，应照鹤同归。
四贤祠用方西樵韵（明·王渐逵）　　五言律诗　押尤韵	四贤吾所慕，杖屦一跻游。祠宇云中见，仪形梦里求。绝学应难继，澄心可自酬。伫看山下水，赴海漫东流。
