赠南山邻友（明·陈鸿）　　五言律诗　押东韵	却喜为邻好，君西我住东。夜泉皆屋后，晓塔共窗中。竹色篱交绿，灯花壁送红。时时过王翰，花底一尊同。
夹竹岭（明·陈鸿）　　五言律诗　押先韵	长途不可涉，况历万峰巅。倦鸟已投树，行人犹在烟。夕阳沉岭路，寒涧落山田。纵少离家恨，凭高自怆然。
听泉阁（明·陈鸿）　　五言律诗　押庚韵	风露临虚阁，应涵秋气清。一山在水次，终日有泉声。响迸僧钟落，寒兼客枕生。中宵满栏月，都作玉琴鸣。
东湖晓发（明·陈鸿）　　五言律诗　押阳韵	曲曲东湖水，何能计里长。沙明兼淡月，船重积严霜。冒晓人佣起，冲寒雁欲翔。梅花飞尽日，犹不到家乡。
十月晦日过兴公斋头夜谈（明·陈鸿）　　五言律诗　押寒韵	一阳明日近，十月此宵残。雨意辜梅信，风声戛竹竿。坐长灯坠焰，吟苦砚生寒。祇恐穷年迫，忧心集百端。
留别敬师（明·陈鸿）　　七言律诗　押先韵	浪游行橐倍萧然，但有山僧送上船。月白不堪莲社别，日高难恋竹房眠。晓粮载少癯同鹤，秋思悲多乱似蝉。后夜忆师空梦寐，淮城东畔寺门前。
过曹能始石仓园（明·陈鸿）　　七言律诗　押虞韵	径绕寒流转郁纡，夹堤山色望中殊。草堂似卜东西瀼，画舫如过里外湖。莺唤曲栏春卧稳，鹤窥深户夜吟孤。问奇日载花间酒，莫谓投闲一事无。
咏红白桃花（明·陈鸿）　　七言律诗　押寒韵	双艳如从露井看，妆分浓淡映雕栏。玉肤中酒冰绡薄，粉面窥人锦障寒。杏雨并随窗外度，梨云同入帐中残。胆瓶不是余香在，定讶珊瑚间木难。
桑乾道中（明·陈鸿）　　七言律诗　押寒韵	征程十里见桑乾，二月谁怜尚苦寒。沃野北来边地近，流澌东下早春残。风疑竹箭穿貂帽，雪作杨花点马鞍。旅况垆头消不尽，琵琶纤指莫教弹。
咏雪球花（明·陈鸿）　　七言律诗　押寒韵	盈盈初发几枝寒，映户流苏百结团。正恐东风先扬尽，不愁迟日易消残。淡姿向晓迷蝴蝶，艳色争春笑牡丹。惟有三郎儿戏甚，还疑蹋鞠绕丛看。
舟晚望锦石（明·陈鸿）　　七言律诗　押麻韵	怪石崚嶒抱白沙，江边砥柱若嵩华。昂藏自负淩霄气，静穆如参入定袈。云欲从龙山带雨，月将伴鹤暗穿霞。离奇动我探奇想，击楫中流迟汉槎。
临封八景次韵 江口归帆（明·陈鸿）　　七言律诗　押灰韵	波映山颜丽似苔，封江两岸锦帆开。淩风抢雾天边去，踏浪冲星月下回。片片白云排石壁，声声鱼笛落江梅。仙舟李郭欣相得，击楫空明远溯洄。
挽禄丰令赠光禄少卿苏健宇先生（明·陈鸿）　　七言律诗	鸣琴衣绣正纶巾，剑气微茫逼斗辰。借箸直期匡社稷，睚尤不许共乾坤。风回星宿波涛怒，龙战云南壁垒新。自是忠魂依日月，更教青史见精神。
挽吉安别驾苏复初先生（明·陈鸿）　　七言律诗　押尤韵	名驹曾向碧鸡游，定省晨昏遂所求。持篆还期明孝志，衔纶捧檄慰亲愁。月明天柱桃花艳，雨洒芝田□水流。最喜承家多令子，隆名显德已能酬。
周父母祠（明·陈鸿）　　七言律诗　押支韵	一清如水令人思，风度于今犹见之。琴里阳春劳□阜，车前甘雨起疮痍。吏行冰上苍鹰化，士在桃边□铸奇。箫鼓勿令山谷笑，光辉夜夜自南箕。
寒食客中感作（明·陈鸿）　　五言绝句　押遇韵	作客近清明，一杯谁省墓。何如春草生，得上坟前路。
秋夜曲（明·陈鸿）　　五言绝句　押支韵	悔却与欢期，空房香烬时。那能如宝鸭，冷暖腹中知。
典衣曲（明·陈鸿）　　五言绝句　押侵韵	典尽衣难赎，邻家夜捣砧。那堪风露冷，儿女说秋深。
郁林道中（明·陈鸿）　　七言绝句　押齐韵	茫茫新水拍沙堤，四月应无杜宇啼。记得驿程来日路，五千余里郁林西。
过相思径（明·陈鸿）　　七言绝句　押先韵	幽邃离奇别一天，云生石上霭如烟。坐来不觉□□湿，欲去还留兴悄然①。
