和大司成曾公励志诗时守国子博士（明·顾允成）　　七言律诗　押侵韵	仁远乎哉只此心，为因失养转沦沉。静驰浮想天机浅，动逐游尘嗜欲深。克己须从偏处克，寻根莫向叶中寻。我闻入圣无多诀，混混原泉不可禁。
赠明上人八章次叔兄韵（明·顾允成）　　五言绝句　押漾韵	小人健用壮，君子义为尚。惟吾不独尊，天地共下上。
题孔坛四景 其一（明·顾允成）　　五言绝句　押陌韵	暮春春服成，当暑袗絺绤。秋阳以暴之，岁寒知松柏。
吾与吟（明·顾允成）　　七言绝句　押微韵	只对青山不著书，鸢飞鱼跃见天机。嗒然隐几吾忘我，梦觉人间是与非。
酒色财气四吟（明·顾允成）　　七言绝句　押支韵	酒不迷人人自迷，一卮一卮复一卮。可怜曲糵消人志，病多休道药难医。
观省朱先生辱有诲言口占报谢（明·顾允成）　　七言绝句　押删韵	浪说谈心几十年，勘来仍在利名关。于今领得仙翁指，竟日忙中竟日閒。
题孔坛四景（明·顾允成）　　五言绝句　押陌韵	暮春春服成，当暑袗絺绤。秋阳以暴之，岁寒知松柏。
寄薛玄台致奠太石贾丈并讯二尊人嫂夫人起居（明·顾允成）　　押陌韵	昔年子归来，关山有太石。今日子迈往，朱龙无太石。如何转盼间，幽明倏旦夕。死去何所知，奈此高堂白。室内守空帏，念之悽怆百。为我问灵几，精气谁与宅。人生终会尽，彭殇亦安择。化作庄家蝶，隐几论今昔。
寿浦环溪（明·顾允成）	环溪之水秀且清，华堂寿筵列大亨。千杯百杯无量酒，一唱三叹有馀音。寿翁伉俪健相埒，有子饶美笔铮铮。四壁图书雅足尚，满庭兰桂郁有英。天锡纯嘏介繁祉，龙章行照蟠桃觥。
旧得有读书乐时一讽咏欣然会心因广之为静坐乐会友乐各四章 （明·顾允成）	山光照槛水绕廊，净几明窗一炷香。门无剥啄迥尔寂，壁有图书闇然章。韶光莫放忙里老，人生惟有静坐好。静坐之乐乐何如，万物皆春百虑除。
万历甲辰秋东林书院落成步杨龟山先生此日不再得诗韵（明·顾允成）　　押阳韵	此日今还得，朝辉耀扶桑。厥初赤子心，悬象并穹苍。无端过浮云，暂掩本灵光。努力事拂拭，依然露元阳。理欲判危微，规矩成员方。尘埃去弗来，真气泄针芒。日新又日新，其何用不臧。性非犹杞柳，仁义宁贼戕。无为彼教惑，吾道掷秕糠。大哉羲孔易，洗心密退藏。不效浅薄子，争斗群卉芳。天地人鼎立，至大而至刚。欲仁斯仁至，安所置彷徨。南方文学古，东林岁月长。继往开来兹，平步履康庄。念我踰五十，惭愧闇然章。从前所萦萦，不脱名利场。何当一奋跃，藩决失羸羊。日知其所无，月能幸无忘。果能此道矣，虽柔而必强。浩渺重溟波，一苇自堪航。流光不相贷，迅速转无常。朝闻夕死可，仁者寿不亡。若不及时敏，老至空悲伤。中行未易几，必也狷与狂。
寿谈勉翁（明·顾允成）　　押东韵	矍铄勉翁，八十如童。头有异骨，足下生风。饮食衎衎，论说融融。图书满壁，芝兰郁蓊。陶家之酒，饮可三汎。邵氏之篇，吟且百筒。我歌南山，耋寿其逢。
应尽须尽吟（明·顾允成）	应尽须尽，行法俟命。剖破形骸，朗然独运。
求儆里言（明·顾允成）　　押个韵	圣哉仲尼，五十无过。惟圣希天，愚敢托大。
