如梦令 雨夜怀珧书妹（清·季兰韵）	深户绣帘风动。细雨黄昏愁重。忆得送行时，一把泪珠相送。如梦。如梦。只有自家心懂。
长相思 寄珧书（清·季兰韵）	赠鲛绡。答鲛绡。两地相思怎样消。将心托寸毫。路迢迢。梦迢迢。一片魂随早晚潮。知君招不招。
清平乐 春日遣怀（清·季兰韵）	春愁难遣。摇飏东风软。午梦醒来帘不捲。底事新添慵懒。难消脉脉闲情。昼长弄笔窗楹。却被雪衣娘子，花前细听吟声。
一剪梅 暮春（清·季兰韵）	九十春光欲尽天。愁绪今年。更胜前年。依人新燕惹人怜。学语缠绵。学舞翩跹。遣闷还临镜槛边。几幅诗笺。一炷炉烟。无聊终觉口难传。风已萧然。雨又凄然。
点绛唇 鸡冠花（清·季兰韵）	一种奇花，素秋浓染胭脂色。岸然高帻。细丽纹如织。五德兼全，笑尔名空得。东方白。不闻声息。悄向霜风立。
清平乐 春分日感怀（清·季兰韵）	伤心难说。往事都鸿雪。痛忆前年生死别。正是落花时节。当时笑语花晨。而今寂历黄昏。泣到眼枯血尽，寻它一缕精魂。
蝶恋花 暮春花下（清·季兰韵）	才说春来春便去。百转思量，无计留春住。泪眼问春春不语。匆匆究欲归何处。花谢花开能几许。过了清明，渐渐飞红雨。花却笑人心不悟。青春毕竟谁能驻。
捣练子 闻钟（清·季兰韵）	良夜静，碧天空。悄地花阴下绣栊。一念不生尘意绝，数声敲彻月明中。
点绛唇 瓶菊（清·季兰韵）	折得霜葩，胆瓶插处寒香袭。捲帘风入。秋在枝头惜。几净窗明，点燃真幽绝。重阳节。记曾相觅。犹自无消息。
清平乐 偶成（清·季兰韵）	朝来鹊噪。噪得侬烦恼。且把离情吟草草，一幅花笺残稿。无聊独倚阑干。思思想想心酸。尝尽世间愁味，几时泪眼才乾。
采桑子 梦妹（清·季兰韵）	朦胧见妹归欢聚，并坐房栊。细话离悰。握手依依旧日同。鸡声惊醒天将晓，才喜相逢。怎便抛侬。赢得鲛绡泪点浓。
声声慢 春宵独坐，风雨凄然，珧书适因小极，过从话雨未能也，用漱玉调谱此以写幽怀。（清·季兰韵）	萧萧瑟瑟。做弄春寒，相思寄与脆笛。写韵红楼，天样一般遥隔。前宵记曾聚首，转添侬、者番伤别。便算是，再相逢，怎抵断肠时节。此际离愁如织。灯焰小，惺忪欲眠难得。病耗传来，试问有谁怜惜。东风又吹冷雨，打窗纱、助我惨咽。此况味，两地里、青鬓易白。
东风第一枝 宿雨初晴，春光欲尽，用渼溪调联句（清·季兰韵）	碧酿新寒，香牵旧恨，春痕黯淡如许（湘娟）。怨情密化游丝，杜鹃替人寄语（砺之）。残红飞尽，但悄忆、东风前度（湘）。把泪珠、抛沁香泥，梦里翠阴如雨（砺）。烟影瘦、半天弄絮（湘），空自向、画檐暗诉（砺）。嫩晴阁住斜阳，倚栏自吟怨句（湘）。淡云摇瞑，又细绘、销魂庭宇（砺）。甚乱愁、随了春来，不解也随春去（湘）。
唐多令 连朝苦雨，情绪无聊，砺之偶填此调，词旨凄婉，倚声和之，即次原韵。（清·季兰韵）	细雨羃寒烟。怀人昼似年。倦抛书、且自闲眠。已自工愁愁未了，又遇此、作愁天。剩冷恋吴绵。孤红瘦可怜。泪珠浓、弹碎云笺。玉笛一声春去也，春恨在、两眉边。
貂裘换酒（清·季兰韵）	残绣鸳鸯谱。未模糊、针痕线迹，助侬凄楚。记得当年红窗暇，悄听画眉人语。将一幅、吴绫裁取。谁料罡风摧比翼，忍愁丝怨缕都抛置。未了事，向伊诉。茫茫碧海骖鸾去。问天孙、织残云锦，甚时重补。依旧空箱深深锁，添了啼痕几许。但消受、连番愁绪。夜雨孤灯重展处，寄相思、谱作销魂句。人去也，恨千古。
高阳台 见杨花感悼仙客（清·季兰韵）	旧梦隋堤，新愁谢砌，和烟细扑帘旌。已苦春归，被伊碎尽春心。吟魂凄共游丝渺，趁东风、自去追寻。认分明。点点香毬，并做啼痕。飘零也似残红样，任无人怜惜，自管离情。散入池塘，倩谁扶起轻盈。化萍纵使还能聚，奈相逢、已是来生。更凄清。待得重圆，记否前因。
壶中天 子潇太史复以叔美钱君所画“隐湖偕隐图”嘱题。（清·季兰韵）	尚湖千顷，镜奁光、荡得吟情如许。别有古梅花世界，一笑春无寻处。鹭老吹凉，鱼眠选梦，一叶飘然去。玉台双影，暗香飞上眉宇。还记仙署当年，珊珊佩振，妙奏凌云赋。抛却软红尘十丈，料理天随渔具。写韵楼台，沤波亭馆，一样同圆聚。菱歌四面，紫箫还按新谱。
醉花阴 送春日大雪竟日，惜春光之已尽，惊岁月之如流，对景怀人，漫填小令以寄珧书。（清·季兰韵）	苦雨声中春已去。春去无寻处。雨惯阻人归，问雨如何难阻、春归路。惜别惜春愁莫诉。并作新词句。不识到明年，相送春时可是、人如故。
醉花阴（清·季兰韵）	拥髻闲听终日雨。添得愁如许。泪眼已流乾，不信天心更比、侬心苦。遥想画楼人独处。此际生离绪。慰语莫悲酸，须有相逢时节、情偿补。
菩萨蛮（清·季兰韵）	妒花风雨来何速。空庭一夜埋香玉。惜玉与怜香。愁人欲断肠。断肠非独我。镇日含愁坐。知尔在高楼。如侬一样愁。
