漫题（清·宋湘）　　五言律诗　押支韵	种菜英雄老，游山婚嫁迟。仙名留饮酒，官职折吟诗。肝胆今谁照，年华有镜知。飞鸿杳天际，独立看云时。
接家信（清·宋湘）　　五言律诗　押歌韵	口有平安报，中宵泪亦多。经年曾不至，一纸定如何？为子可堪此，持缄重自讹。那禁先手战？老父字成蝌。
读杜工部集四首（清·宋湘）　　五言律诗　押阳韵	此老愁心极，千秋一擅场。不成为稷契，终得掩曹扬①。流落才招取，遭逢事感伤。安排诗作史，有意果苍苍？
适读杜少陵寄五弟诗，见其与四亡弟同名，掩卷感绝（清·宋湘）　　五言律诗　押阳韵	生离犹恻恻，死别况茫茫。破箧文长閟，残封蠹已僵。多年偷堕泪，有父在高堂。不见坟头草，而今又六霜。
脚病（清·宋湘）　　五言律诗	瘦马伤蹄日，英雄抚髀时。避人扶小竖，削杖废长棰。筋骨千锤折，乾坤一絷维。平生浪蓬转，今日守株为。
山斋秋夜四首（清·宋湘）　　五言律诗　押庚韵	树雨残留滴，林风远递生。无霜灯壁冷，有字草虫清。顿挫名心死，峥嵘病骨鸣。难孤山外月，蹩躠①绕阶行。
泞道示仆（清·宋湘）　　五言律诗　押真韵	我还尘满面，尔敢足争人。努力泥途走，回头虎豹嗔。目原无富贵，心莫枉酸辛。归去衣聊浣，先酬五字新。
肺病（清·宋湘）　　五言律诗　押鱼韵	骨发秋风入，山猿咳嗽如。聒邻疑老大，废业负居诸。高枕年无赖，垂头月有余。可怜成底事，四十此寒樗。
乾隆癸丑中秋，陈榕溪夫子自三河遣人走京师，招湘读书官舍，且命即日束装，趁节赏月，盖下车之第七日也。距今夕乃五年矣。夫子俸满不迁，湘复留滞都门，偃蹇如故。极思来会此节，一话万端，以病新起不果。对月孤吟，惆怅无极，时嘉庆三年戊午八月十五夜（清·宋湘）　　五言律诗　押先韵	忆客三河县，今宵忽五年。感时瓜已熟，纪事月频圆。后会知何地，相违况眼前。平生一师弟，欲语转茫然。
小篱二首（清·宋湘）　　五言律诗　押灰韵	骤夕我愁雨，沉阴天忽开。小篱成独坐，冷客或能来。爱菊频探蕊，倾家一举杯。饥乌谁饭尔？落叶走枯苔。
支离四首（清·宋湘）　　五言律诗　押支韵	著书无笔力，饮酒亦支离。眼底传人少，身前造物疑。闲花开自落，小圃我同谁。又是年垂晚，秋光到九时。
闻雁（清·宋湘）　　五言律诗　押微韵	只道霜应落，宁知雁已飞。寒空千响咽，独夜一灯微。到我门前水，逢人月下机。莫因无字去，须得有书归。
重闻（清·宋湘）　　五言律诗　押庚韵	后雁续前雁，前鸣催后鸣。追飞应不远，急响若为情。月塞千山迥，霜天一夜明。如何北游者，不解向南征。
又闻（清·宋湘）　　五言律诗　押庚韵	每到人声定，长空又雁声。一年秋几夜，万里月孤明。作客原无赖，浮生复尔情。独怜来去易，偏挟羽毛轻。
陈榕溪师来札，辄有何有何无龟勉求之语。感集惭迸，系以短句（清·宋湘）　　五言律诗　押侵韵	只字堪千古，双鱼抵万金。正闻穷到骨，仍道客关心。俸半贫交减，恩全贱子深。邺风持好咏，和泪一长吟。
查大理家藏谢文节桥亭卜卦砚属余为诗（清·宋湘）　　七言律诗　押庚韵	摩挲剩墨玉庚庚，想见夷齐万古情。国既无人焉问卜，臣犹有母此埋名。从容岂愧文丞相，流落曾闻玉带生。同是山头一方石，人歌人哭至今并。
南西门外游春即事（清·宋湘）　　七言律诗　押微韵	好雨连番春已归，柳梢深浅绿成围。踏青天气晴三日，卖酒人家水半扉。草色尽迷公子马，花香都上美人衣。曲他沙暖鸳鸯睡，莫打芦芽恼鸭飞。
舟泊岳阳郭外（清·宋湘）　　七言律诗　押青韵	楚山千里来江上，秋色三分入洞庭。初夜星辰黏渚白，落帆天地扑船青。客心无寄吟山鬼，舟路多间检水经。明日移桡向何处，岳阳城郭树冥冥。
题昆明池大观楼壁（清·宋湘）　　七言律诗　押灰韵	空翠波光入酒杯，天风环佩亦仙才。杜陵眼老旌旗失，蛮徼云深关塞开。万里星辰依北极，百年草木上春台。君看一带山河影，浩荡蓬壶月照来。
八月十五日得四川官军扫荡安乐坪贼匪捷报二首（清·宋湘）　　七言律诗　押庚韵	谈兵不到草莱臣，闻喜犹能作颂声。三载圣人劳旰食，万方赤子请长缨。原知此辈鱼游釜，颇费将军灶减营。拉朽摧枯好乘胜，河清还我旧升平。
