秋日杂感（清·徐元文）　　七言律诗　押东韵	云物苍凉禁御同，逼人秋气动遥空。铜池霤滴宵宵雨，金井梧飘叶叶风。秘阁几曾锵佩玉，缭垣时听响哀鸿。当年醉草青词处，满径苔衣锁碧宫。
登屴崱峰（清·徐元文）　　七言律诗　押灰韵	高峰直上势崔嵬，闽越雄州一柱开。路转千盘随石笕，崖临百丈耸丹台。鸟飞天外山如镜，人到云中海似杯。便欲凌虚生羽翼，翛然绁马阆风来。
春日阅武召百官诣南苑（清·徐元文）　　七言律诗　押东韵	逶迤上苑帝城东，御辇巡临振武功。甲销炼金寒白石，旗翻翠羽动春风。龙骧万骑军麾转，鹄立千官拜舞同。莫以清时忘战伐，至尊亲为挽雕弓①。
怀贤诗·冯太傅溥（清·徐元文）　　押漾韵	岳岳冯太傅，由来秉直伉。格心帷幄中，抗议岩廊上。两朝信贞笃，终以资弼亮。殷然去国心，矢谟一何壮。重谒属车尘，输忠永不忘①。
怀贤诗·汤巡抚斌（清·徐元文）　　押御韵	中丞荷道重，沉静寡物虑。致君托荩诚，推已得强恕。屹焉镇江国，清风畅晨曙。树表畏具僚，惇俗变黎庶。持用悦性情，非取要民誉。
怀贤诗·徐总漕旭龄（清·徐元文）　　押遇韵	吾宗挺贤达，翛然美无度。抗志古人间，落落遗世务。登陛色不辱，宰物众所慕。再岁畀双节，一日芟百蠹。持情无激矫，适己但贞素。
怀贤诗·徐处士枋（清·徐元文）	卓哉徐处士，皎节净如练。入山岂必深，尘迹自能断。载乘探幽奥，山川写英绚①。独寤聊自歌，斯饥亦云宴。珍重式庐情，斯人不可见②。
怀贤诗·陆知县陇其（清·徐元文）　　押支韵	陆君任名教，学植固深基。秉礼自贞笃，执德无委随。鸣琴化不辍，尘甑固其宜。畜民如子弟，求理若渴饥。安得究儒术，树之为人师。
怀贤诗·韩学士菼（清·徐元文）　　押泰韵	矫矫韩学士，高视薄浮壒。寡虑泊无营，立言道所赖。痛饮非徒然，寄赏不在外。物情任回遹，揽古意自泰。心清白雪照，兴逸朱霞会。
怀贤诗·汪编修琬（清·徐元文）　　押曷韵	汪翁钝自名，曾不乐宦达。平生无俗情，率尔自轩豁。真意安可渝，随人议疏阔。著书何沈深，直排古贤闼。山馆惬嘉赏，尘组犹屣脱。
怀贤诗·张知府鹏翮（清·徐元文）	张侯王姿妙，潇洒自拔俗。惊人厉危操，适己澹群欲。挺节立郡朝，强直无蹙缩。吴趋攀素车，鲁郡明丹毂①。何用美斯人，比德峚山玉。
二给事诗·孙君蕙（清·徐元文）　　押阳韵	元叔赋《疾邪》，发音何煌煌。休琏感时俗，陈辞慨以慷。伊人负奇姿，奕奕黄门郎。激昂论意气，伉达上封章。嫉恶有本性，见之若探汤。作诗寓孤愤，属兴深且长。此意谁实谅，读之增感伤。
二给事诗·任君辰旦（清·徐元文）　　押元韵	谀巧日以工，直谠道不存。圣明忠易效，曷不顾国恩。之子奋百里，高步登掖垣。职思在献纳，天关手欲扪。登祀谅非古，违众进苦言①。艰哉松山役，慷慨声不吞②。碌碌彼徒尔，遇合乌足论。
江南三学使诗（清·徐元文）　　押阳韵	人心日已偷，士耻日已忘。郁彼礼义府，俄成赇赂场。楩梓谁为收，筐箧厚自将。因缘书上考，意气何轩昂。安知抱玉客，掩涕徒浪浪。吴都信多幸，衔使交琳琅。刘君奋才杰，高自标门墙。所过列巾卷，训饬故百方。田君夙英挺，若渴勤搜扬。文体一以变，流风为之昌。弭节未淹岁，矫矫立士坊。继以连城璧，温雅彰令望。采采深渊藻，灼灼茂林芳。人思肄朱弦，户有陈青箱。彼皆奋东国，身近邹鲁乡。圣泽虽已远，笃生尚材良。教术岂苟同，同于厉冰霜。足令振颓俗，姓氏余辉光。
