重游西山（清·李天馥）　　五言律诗　押庚韵	列岫参差出，西风款段轻。云中看鹤影，树杪觅泉声。野旷增乡思，山深冷宦情。此君相别久，踪迹愧平生。
侠客（清·李天馥）　　五言律诗　押庚韵	年少悲歌客，秋原落日情。快逢燕大侠，羞学鲁诸生。问世都难合，论交每不平。怀中三尺铁，风雨夕常鸣。
送高念东少司寇（清·李天馥）　　七言律诗　押支韵	立朝无几去安之，信是先生素不羁。自谓何妨行我法，谁能稍劝合时宜。蛮中子舍归偏早，海上神山约未迟。从此祥刑成往事，岱云徕竹费相思。
董岐卿侍读参莫经略军事经略卒于军独获免归朝诗以慰之（清·李天馥）　　七言律诗　押青韵	谁使参军度井陉，无端左省罢谈经。下帷未及成繁露，入蜀偏惊落大星。鸟鼠烽高秋岭绿，鱼凫战苦野磷青。孟王僣党多降表，回首连云悔建瓴。
野猎（清·李天馥）　　七言律诗　押灰韵	羽骑参差小队开，黄云城阙射生来。光飞杨柳雕弧冷，声彻林皋画角哀。晓日忽腾双虎疾，秋风斜制一雕回。更思逐逸前村去，为语琵琶莫浪催。
九日公㦷招游祖家园同芝麓先辈石臞阮亭玉随玉虬赋（清·李天馥）　　七言律诗　押尤韵	佳辰同作出郊游，野菊香风到马头。十里疏钟空际落，千峰晴黛望中收。烟寒林麓红檎老，霜满乡关白雁秋。脱帽狂吟惊少长，好山载酒一淹留。
送洪昉思南还（清·李天馥）　　七言律诗　押支韵	未荐深惭蚤见知，汉廷空羡骑郎赀。谁言此辈宜高束，不信斯人独数奇。南国烽烟萱草梦，西陵雨雪《竹枝词》。逢迎应有游闲遇，忆尔寒江系楫时。
感怀（清·李天馥）　　七言律诗　押寒韵	把酒闲吟祇自宽，小窗香灺意阑珊。明河未落云生浅，华露无声月上寒。禁地论思伤老大，塞垣烽火怅艰难。南楼旧属平津胜，几度临风想治安。
同说岩憩天宁寺浮图赠点石上人（清·李天馥）　　七言律诗　押阳韵	命侣寻幽白纸坊，双悬塔影讶奇光①。行耽细马蘼芜路，坐爱枯禅薜荔墙。一气鸿濛连海岳，数株松柏阅隋唐。老僧都未知名姓，何必城南意独伤。
挽王西樵司勋（清·李天馥）　　七言律诗　押庚韵	消息惊传《鵩赋》成，悠悠天道意难平。不禁秋夜汍澜泪，何限春明缟纻情。《十笏》缥缃空旧草，百年霜露又前生。觥船遽觉司勋梦，无复江湖载酒行。
喜闻秦蜀捷音同说岩赋（清·李天馥）　　七言律诗　押齐韵	鸟道艰难阻碧鸡，孤城一片陇云低。绿林初保黄花谷，赤帜遥连白马氐。空壁雄风频逐北，护军声价又安西。霓旌光启蚕丛路，从此长鲸詟水犀。
楼桑村怀古同说岩（清·李天馥）　　七言律诗　押虞韵	衰草寒烟望里孤，楼桑遗迹未全芜。帝乡耻属黄初历，王气犹延《赤伏符》。国士风流曾据蜀，宗臣鱼水失吞吴。啼鹃旧恨蚕丛远，此地惟闻叫野乌。
美人曲（清·李天馥）　　五言绝句　押真韵	花气惹阳春，晴窗晃镜尘。画眉啼彻曙，愁杀画眉人①。
古意（清·李天馥）　　押歌韵	南望临广野，见此山与河。河水深以长，高山复峨峨。秋风木叶下，鸿雁当天过。物象殊清迥，凭吊忧思多。云树不可极，我心劳如何。
春日（清·李天馥）　　押庚韵	端居寡营尚，悠然澹心情。百年感逆旅，何为劳吾生，忽闻春风至，有酒急须倾。醉卧东窗下，阶前一鸟鸣。
退谷（清·李天馥）	偶随泉声行，还逐泉声止。泉声近不鸣，清流石齿齿。孤亭俯层巅，满阶红叶委。万籁动笙竽，岚光生涧底。秋气入夕佳，微凉耽徙倚。蓬瀛想金仙，薜荔吊山鬼。此地昔流觞，高会拟曲水。我来悄无人，空山落松子。望远资无穷，念往情何已。兀兀碧槛前，坐看溪云起。
广应寺（清·李天馥）	秋云压山山欲低，山光倒泻青琉璃。绕麓松枝老龙怒，奔涛卷地风凄凄。古殿阴森影金粟，月黑深廊飞蝙蝠。北接荒原冢纵横，枯榛断莽土花绿。幽崖寂寞清露堕，永夜虚林生野火。当日观军出使人，贤愚魂魄空山锁。
送宋荔裳按蔡四川（清·李天馥）	前岁相逢广陵道，竞渡初过君发早。去年再遇芍药开，陈榻①同浮菖蒲杯。君今出使复重五，人生离合真奇哉。转眼留连曾几日，赤灵朱胜伤俄乖。多君客邸偏好客，自谱新词骇鬼伯②。大第名园徵旧欢，急管繁弦度兰夕。间为诗歌据上头，一时作者皆辟易。王家兄③用火攻，九辩君称老折冲。予亦弱冠为长句，结好辄复惭山东。方调琴樽频过从，讵尔治蜀借文翁。蜀道天上九千里，重江曲栈何穷已。翼马峨眉绣络骄，泷船滟滪牙樯驶。西陲按部外台尊，况复金躔称俗美。软尘漠漠广宁门，如云供帐罗高轩。男儿得意屈群力，朱轮绮盖何䎙翻。君到莫作巫山赋，侈辩雄风惊峡雨。长途愿赠纪行诗，知君临水登山处。
明景帝废陵（清·李天馥）	张段走灵帝，程鱼奔代宗。丧乱有其渐，式微丁数穷。总无全盛时，一旦婴悯凶。异哉王阉奴，挟帝出居庸。土木试一掷，举国纷相从。亲征竟蒙尘，身殉观军容。尔时微郕王，谁为奠寰中？八载修战守，庙社安钟镛。虏心绝要求，塞外归重瞳。嗟嗟夺门徒，甘心为首戎。复辟亦天意，群小冒奇功。忠良既诛锄，谥戾良非公。窀穸荒山麓，大礼靳树封。悠悠二百年，坏道馀乔松。皇仁念前朝，慨焉怆宸衷。置守禁樵采，魄毅安幽宫。傍陵三十户，户户野花红。隧道寒潭静，缭垣芳草空。独恨魏珰坟，东西峙巃嵷。
