过涧歇 青铜峡（清·杨夔生）	孤峭摩天路漫灭。双厓奇特。群峰四旁森列。似矛戟。出峡奔涛何急。雷辊声轰砉，盲风起，鹘惊飞响磔磔。洪濛谁试手，手断云根，削成奇骨。终古无人迹。蚀苔藤缠，老树杈枒，苍烟深处，往来惟见猿猱掷。
菩萨蛮 宿灵隐寺僧楼（清·杨夔生）	北峰云接南峰雨。冷泉亭畔幽人语。远火动疑灯，松桥度夜僧。石根喧暗瀑。似隔濛濛竹。莫道古潭空。深藏摩顶龙。
湘春夜月 观灵武陆氏所藏仇十洲临李龙眠白描《龙女牧羊图》（清·杨夔生）	听琤瑽，湘灵鼓瑟初终。又早罗袜轻钩，小谪出珠宫。一点君山月落，盼泾阳霞色，红透天东。只千群羖䍽，驱来浩渺，羞说耕龙。冰簪敲断，殢人娇怨，直恁惺忪。细认沙头，斑竹有、几丝酸泪，添染愁红。帛书系未，似羁臣、数遍征鸿。潮又远，觅龙堂何处极空，摇碧谁讯槎风。
玲珑四犯 登德清玉尘峰浮远楼（清·杨夔生）	叠巇砌蓝，峭岑镵碧，飞楼缥缈云路。浩歌携谢屐，远蹑卢敖步。危楯玲珑漫抚。倚高寒、鬓丝千缕。半壁晴湍，数峰苍石，霞杪画秋树。空翠冷，沾衣屦，乍泠泠松籁，如听风雨。雁边秋去远，天澹长烟暮。乾坤静里堪舒啸，又打起、清时钟鼓。悄延伫。眺绿野，几家桑苧。
八声甘州 癸亥七月既望，夜景冥郁，略无尘秽，同袁兰村登江亭（清·杨夔生）	趋夕阳筇笠果幽寻，莫负好旗亭。引平泉花竹，生香不断，著处秋痕。罨画半奁凉瞑，鱼梦聚芦根。旧日题红地，活水流云。人与西风是客，载荷筒酒苦，重款青尊。渐苧衣疏索，霜黯拾蓬萤。怅韦郎、清愁似织，换秋眉，新绿与山分。沈吟久，一星窥塔，红树斜门。
琵琶仙 陶凫芗先生嘱题《客舫填词图》（清·杨夔生）	流水涓涓，正极目、一片暮愁空阔。轻约小艇如凫，呼云度环碧。知多少、吟莺心事，奈过了、翠阴时节。枫外题红，莼边采绿，浑是秋色。更转眼、树老江潭，叹客里、匆匆记游历。惆怅满襟幽恨，付蘋洲渔笛。人自远、汀芦做暝，渐凉光、移上苔石。想见清夜推篷，暗灯明雪。
满庭芳 秦淮水榭听人度《桃花扇》乐府（清·杨夔生）　　押支韵	荡屋春风，连江梦雨，碧光微逗朝丝。哀筝一拍，几柱玉参差。寂寞寒涛东起，兴亡恨、付与歌儿。人何处，荒凉酒社，鸱啸蒋侯祠。相思。红泪尽，幅巾短发，重感栖迟。便沙才董白，唱遍新词。总是风花无赖，春欲去、我正愁时。凭阑望，青旗腰鼓，惆怅六朝诗。
摸鱼儿（清·杨夔生）	记年时、燕台诗俊，擘笺共话联夕。印梅窗户玲珑甚，吹满衣棱风雪。乡思切，指雁底、疏云澹胜江波色。柳梢楼末。只灯火天涯，小欢深醉，同听玉关笛。归来好，几度仓山烟月。茶人滋味清绝。旧家乔木留云住，苍翠画图如积。欹藓石，认秋老、寒萤小卧枯荷侧。酒深惜别。怕后夜星辰，短篷双桨，轻似渡江叶。
木兰花慢 书岩修罢《画扇斋词》后（清·杨夔生）	湾头曾载月，移画舸，小平泉。更团扇歌残，江梅蝶影，尘黯筝弦。凭君十行佳传，写翠篸屏角落花烟。密字笑熏兰篆，轻螺细擘吟笺。尊前重溯当年愁，万里怕闻鹃。记断笔筹花，新欢借梦，山远湖天。溪风又彫鬓影，向盈盈苕水别栽莲。昨夜飞英镜底，明蟾镇向人圆。
踏莎行 槜李道中（清·杨夔生）	鱼老秋租，鸦寒烟戍。越舼愁过松陵浦。枯荷小鸭猎残香，一枝藤谢黄昏雨。茶具时携，隐书卧注。水菰脆挽寒山暮。濛濛花笠出烟圆，捞虾又入潭云去。
