屯山积雪（五律文韵）（清末民国初·王则修）　　五言律诗　押文韵	极目屯峰上，经年玉屑纷。天池龙起雨，松壑鹤披云。彷佛新高映，浑疑富士分。谁言青不老，头白对斜曛。
谒台北文庙感赋（清末民国初·王则修）　　七言律诗　押东韵	四十年前曾谒圣，彬彬礼乐肃宗风。迄今芹藻香谁采，自昔鸾旗影已空。美富宫墙千古仰，高坚道德万人崇。欣看鲁殿岿然在，无复秦灰劫火红。
延平郡王祠古梅（清末民国初·王则修）　　七言律诗　押先韵	骑鲸人去老梅妍，古色寒香二百年。数点欲流亡国泪，一枝尚带故宫烟。魂归月下心偏冷，春涌阶前品是仙。正气独扶王气在，漫将无地为伊怜。
蓝桥（清末民国初·王则修）　　七言律诗　押支韵	欲从何处遇仙姬，长板桥头杵捣时。一碗琼浆甘若蜜，两情胶漆固于丝。良姻本是由天定，佳偶难为隔地移。千古裴航真艳福，洞房韵事至今遗。
凤凰木（清末民国初·王则修）　　七言律诗　押齐韵	丹山片羽下幽蹊，幻作虬枝碧汉齐。猩色遥连官道晚，浓阴密布驿亭低。萧萧风动看仪舞，翼翼花飞送马蹄。劫后剩桐零落尽，让他威镇赤城西。
穿山甲（清末民国初·王则修）　　七言律诗　押先韵	一种生成异物传，身披鳞甲动秋烟。宛如社鼠穿墉固，亦似城狐①据地偏。穴里春饥寻蚁食，峰头日暮作龙眠。无能血战玄黄野，流落高冈但蜿蜒。
林圯（清末民国初·王则修）　　七言律诗　押先韵	一向屯兵事垦田，参军拓地至沙连。泉甘土美难容弃，食尽身歼剧可怜。姓字尚留原上石，岁时争献墓头钱。小儒立马秋风里，碑碣搜寻为怆然。
斗鸡（清末民国初·王则修）　　七言律诗　押东韵	高冠爱戴气熊熊，百战居然武士风。敌忾何知头尽秃，示威不怕血流红。生成敢死灵禽勇，一例狂奔走狗功。怪底子安曾作檄，鼓他人世决雌雄。
皇太子巡台（清末民国初·王则修）　　七言律诗　押东韵	翩翩鹤驾下瀛东，三祝华封万姓同。犵草绿迎金辇过，蛮花红待玉车通。旌旗耀日前星动，扈从如云少海洪。一道省耕廑睿念，不徒巡狩慕遗风。
题台湾诗醇（清末民国初·王则修）　　七言律诗　押先韵	果然经正思无偏，开卷披吟见昔贤。个个名高兼望重，篇篇玉润又珠圆。吉光片羽人争贵，不胫双飞世共传。三百年来文献考，非徒诗学得真诠。
西门豹（清末民国初·王则修）　　七言绝句　押支韵	不独沉巫俗可移，荒凉邺邑起疮痍。多君治绩推兴利，渠水长流十二支。
贾岛祭诗（七绝先韵）（清末民国初·王则修）　　七言绝句　押先韵	诗家心血佛家禅，一岁消磨剩锦笺。腊酒送归乾净土，吟魂缕缕起浓烟。
弭兵行（清末民国初·王则修）　　押纸韵	列国纷纷兵革起，干戈匝地狼烟紫。积尸遍野血成河，伤心惨目有如是。吾闻塞奥衅先开，毕竟威廉为祸始。雄心妄欲混舆图，不想群猴难虎视。兵连祸结五经年，一旦雄风随草靡。天心厌乱悔兵戈，特重美人执牛耳。会盟华府作葵邱，歃血载书同盛轨。军储制限十年间，未许亭台增壁垒。大者八九可成行，小者五六①供驱使。隆隆炮舰卸轻装，百万舟师还制止。或散归农事春耕，或授一廛出夫里。九州不见烟尘生，壮士免赴沙场死。从兹世界大平和，甲兵尽洗天河水。君不见武王伐纣告成功，牛放桃林马归市。又不见汉高灭楚定国基，弓藏高庙悬弧矢。古来兵凶与战危，圣主偶用非得已。
赤嵌楼（清末民国初·王则修）　　押陌韵	赤嵌城高雉堞百，参差高瓦鳞鳞碧。中有楼阁三百年，耸出云霄与天迫。当年结构自何人，闻说红夷工累石。筑楼西向海门东，睥睨风樯连舟舶。俨如铜雀倚天高，又似蜃楼嘘气积。空中楼阁现奇观，日月星辰去咫尺。此楼经历几沧桑，雄规壮模犹如昔。偶临绝顶四徘徊，无限雄心生羽翮。北望玉山插天寒，南瞻旗鼓两峰擘。晓日东溟足下生，西屿落霞眼底赤。上接云汉摘星斗，俯瞰鹿耳春潮白。壮哉鲲溟一霸图，可怜地主经三易。茫茫何处辨草鸡，渺渺不见荷人迹。楼形依旧屹①台阳，至今说与谈瀛客。
论诗（五古）（清末民国初·王则修）　　押寘韵	诗学源流远，贞淫寓美刺。谁将三百篇，以意来逆志。上窥古风谣，下逮及五季。说诗如司空，风流不著字。斯为真言诠，可作诗家秘。近世少元音，词多反害意。谁知诗律细，不徒誇腹笥。班宋擅诗名，香艳各有致。岛瘦与郊寒，亦自成一帜。古来诗歌盛，至唐称美备。不为淫靡词，惟以明大义。叠韵并双声，得此犹馀事。试观杜诗史，忠义深托寄。我台诸诗伯，岂少幽人思。愿与相切磋，风雅敦古谊。
子产（清末民国初·王则修）	驿垣坏尽岂无因，慢客羁留恼杀人。东里有词群是赖，晋宫宾馆又重新。谁具文章润色才，有词东里独恢恢。尊严郑命无轻亵，全赖公孙黼黻来。不堪币重困封邻，一纸遗书晋相陈。羞杀范宣无令德，剧怜象齿自焚身。敬恭义惠道兼赅，况复精通政治才。善喻庇身同美锦，何堪学制使人来。子弟田畴诲殖赅，郑人教养仰贤才。公孙毕竟称慈母，郇黍流膏遍草莱。
