将往金陵留别鄂中诸友（清·王至甸）　　五言律诗　押先韵	虚舟原不系，来去只随缘。惜此苔岑好，要之金石坚。东风白门柳，斜日汉阳船。一别情何极，相思鼓七弦。
赠友人冯集梧（清·王至甸）　　七言律诗　押麻韵	春风吹我过君家，门外人惊三朵花。一笑不知谁醉醒，相携重与数年华。松窗对酒听新雨，蜡屐寻山入晚霞。拟抱青琴鼓招隐，知君久已厌筝琶。
秋夜读道藏有作（清·王至甸）　　七言律诗　押青韵	探得玄珠道眼醒，庚申空守只劳形。忽然虚室夜生白，自诧灵台火养青。大月危楼堪独啸，天风高笛落残星。无人解我还丹诀，试取微吟记画屏。
画梅一枝题赠潘恂九还巴陵（清·王至甸）　　五言绝句　押侵韵	秋风满襟袖，归棹洞庭阴。一醉写疏影，岁寒盟此心。
水云亭（清·王至甸）　　五言绝句　押青韵	爽气忽无际，水云如许青。松高荫萝幄，塔远戛风铃。
杂录道藏因以自嘲（清·王至甸）　　七言绝句　押鱼韵	《五千言》亦归无极，三十年来访太初。今日定教蠹鱼笑，又翻绿字写仙书。
过惠阳花隐洲（清·王至甸）　　七言绝句　押真韵	曲曲林亭澹澹春，水声花影四无邻。明年石上寻鸿爪，谁识玄都旧道人。
秦淮秋感（清·王至甸）　　七言绝句　押庚韵	翩翩野鹤无归处，五岳云烟脚底生。飞落江南人不识，春潮犹打石头城。
种松图陈雪盦属题（清·王至甸）	雪盦先生今之豪，须眉奇古声价高。一枝铁笔轶斯相，贫老但爱听松涛。清风明月不须买，突兀双龙知几载。自言手种向空山，一醉松阴化云海。虬枝压檐青复青，毛公服松能变形。他年袖石乞篆刻，荷锸还从掘茯苓。
赵季和刻青田石章见赠时将归蜀因为诗以报之（清·王至甸）	法古以神不以迹，赵君篆入斯冰室。十年悬腕如拨镫，一刀凿透青田石。翩翩野鹤初飞回，脱手赠我疑琼瑰。自嫌雕刻壮夫耻，笔力真可回云雷。文三桥，王山麓，当年此技称绝工。江山跌宕有寒饿，而君莫叹相如穷。叙州风，雅州雨，临邛垆头酒如乳。还家一醉对文君，却胜黄冠作羁旅。此别重逢复几年，相看黯黯俱华颠。傥思老朽诗情苦，乞与巴东十万笺。
