西园（清·王鸿绪）　　五言律诗　押青韵	每爱西园好，清樽到竹亭。石潭流霁月，崖木杂秋星。兄弟同晨夕，乾坤任醉醒。寥寥无识者，空著《太玄经》。
归来 其三（清·王鸿绪）　　五言律诗　押歌韵	半载京华客，归来意若何。早凋三径菊，空废《五噫》歌。开帙蟫鱼落，褰帷蛛网多。草堂须检校，从此卧山阿。
归来二首（清·王鸿绪）　　五言律诗　押支韵	长铗归来日，貂裘欲敝时。吾亲怜久客，扶杖喜相持。款款谈征路，依依问旧知。自朝还至暮，尽室慰离思。
晓发羊流店（清·王鸿绪）　　七言律诗　押东韵	暮宿荒村听断鸿，晓驱行李入空濛。徂徕北绕千林合，太岳中盘万岭雄。天作冻云方酿雪，马思霜草半嘶风。人生出处缘何事，得失应须付塞翁。
送顾侠君南归（清·王鸿绪）　　七言律诗　押青韵	黄金台下骅骝去，尘世谁知相马经。击筑痛浮燕市白，钓竿归指莫釐青。凤毛共许传灵运，龙尾何妨属管宁。应有珠玑干气象，选楼高傍少微星。
过常熟县（清·王鸿绪）　　七言律诗　押灰韵	望齐门北水潆洄，信宿扁舟荡桨来。乌目山高临雉堞，桃源涧仄逼城隈。多情幽鸟迎人语，无数闲花傍路开。好景赏心难自遣，不妨携杖更登台。
赠萧芷崖（清·王鸿绪）　　七言律诗　押青韵	小筑幽居碧草扃，云溪淡淡水泠泠。风流雅托《梓人传》，丘壑应垂处士星。若菊有情堪独把，江篱无怨为谁醒？高山更入朱弦调，可许巢由洗耳听①。
夜（清·王鸿绪）　　七言律诗　押麻韵	霜风瑟瑟动窗纱，故国音书旅雁赊。永夜闻砧难入梦，他乡见月易思家。干戈且喜人无恙，浦柳应怜鬓有华。独愧圣朝容弃物，未辞簪绂问桑麻①。
闺思（清·王鸿绪）　　五言绝句　押药韵	抱得朱丝琴，临风弹《别鹤》。愁如江潮生，不共江潮落①。
宫词（清·王鸿绪）　　五言绝句　押尤韵	霜净金阶冷，虫吟绮阁秋。嫦娥明镜里，亦自伴人愁。
过平原饮董默庵前辈宅（清·王鸿绪）	疲苶万山间，路险天地窄。昨朝出崖谷，豁达平原陌。有使前致辞，邀我话畴昔。策马入城闉，爰访晏相宅。公闻足音喜，早已途中逆。升堂拜未毕，樽俎罗几席。虽感故情深，毋乃不速客。却念十载余，云山两暌隔。今晨快把臂，敢辞露肝鬲。忆昔钩党兴，何处无弹射。我公天人姿，迅举凌风翮。鲰生愧燕雀，翻飞不盈尺。几遭一网尽，那复逃掎摭。时公秉斧钺，察余户扫迹。朗朗明月辉，回照寻山屐。嗟哉彼谮人，阴凝毒雾积。仰荷皇天鉴，涣汗别黑白。抚躬增内省，感激弥局蹐。欲酬屏幪德，踵顶难塞责。《九章》发楚哀，三宥蒙尧泽。吾侪幸无恙，此岂由人画。翳惟至圣仁，始得收魂魄。于公本同患，所以相剖析。当筵聊一歌，往事等驹隙。共倒杯中物，转为别离惜。
戒坛（清·王鸿绪）	狮子岩头十八转，两崖相峙路如线。青峦碧涧绕珠林，丹壁雕阑耸禅院。禅院峨峨苍松寒，连柯接叶捎云端。蹁跹有似翠蛾舞，夭矫时作蛟龙盘。立者倚者各有态，或疏或密何珊珊。黛色参天凌汉柏，浓枝避雨胜秦官。我来婆娑至日暮，耳边萧飒流青湍。不知植根几千载，霜皮百尺雄斋坛。忆昔少游慈仁寺，殿角双松交古翠。童童如盖映芳樽，未饮先教心已醉。可惜花宫作贾廛，枯株零落充炊烟。岂若兹松居尘外，丰神舄奕层崖巅。乃知市朝摧折易，衰朽山林岑寂多长年。呜呼山林岑寂多辰年，北窗我欲耽高眠。
雾中由戒坛度罗睺岭稍霁至潭柘（清·王鸿绪）	既瞻戒坛松，言观潭柘树。山僧劝我且莫行，白额秋来乱林坞。我闻斯言大吁怪，欲行不行日亭午。此生到处被物厄。不信山游复有虎。携朋大笑出寺门，樵子前驱荷干橹。联镳兀兀云雾中，羊肠鸟道愁花骢。十步九折凌绝壁，仰面直欲摩苍穹。但觉千山万岭同一气，举世高下归鸿濛。我仆马蹇滞岩底，招呼不辨西与东。兹山猛兽固客在，耳边作吼惟松风。须臾度岭四天豁，西崦已堕铜轮红。忽见九峰开锦帐，朱霞一抹青芙蓉。红楼金殿耸天际，秋林杳霭闻清钟。我策我马入幽谷，苾刍相引岩之麓。绀宇辉煌绕玉阑，禅房窈窕摇修竹。古柘千章无复存，妙严双趾今谁续。日斜不及访龙泉，仰睹峰头乱红绿。对景行厨泻酒醅，临风万里酣高台。我且歌，君莫哀，元规朝市多尘埃，城外名山谁看来。
采莲歌（清·王鸿绪）　　押真韵	采采江水滨，荷花照脸新。莫愁西日晚，明月解留人。
