咏水沙连社（清·黄叔璥）　　七言绝句　押东韵	水沙连在万山中，一屿环湖映碧空。员顶净明傍作屋，渡头烟火小舟通①。
漫记（清·黄叔璥）　　七言绝句　押先韵	沙辘行来界北边，裸人虽陋意殊虔。官厨未识都都味，首顶糍盘众妇先①。
闻武洛社采薪歌（清·黄叔璥）　　七言绝句　押歌韵	发声一唱竞嘻呵，不解腰眉语叠何。傀儡深藏那敢出，为闻武洛采薪歌①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（种园）（清·黄叔璥）　　七言绝句　押虞韵	荒地欲松园更腴，诛茅覆草令秋枯。种时禾秸惊风雨，杂植还教薏苡扶①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（禾间）（清·黄叔璥）　　七言绝句　押删韵	小楼贮粟号禾间，剉竹编茅盖自閒。应识名禾知本计，可专饮血事搜山①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（昼织）（清·黄叔璥）　　七言绝句　押文韵	蛮娘织作亦殊勤，圆木中空槽口分。尺布可堪持北去，但令知有达戈纹①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（夜舂）（清·黄叔璥）　　七言绝句　押庚韵	霜钟云磬韵双清，何处村庄旋旋鸣。北客初来听不厌，那知此是夜舂声①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（捉牛）（清·黄叔璥）　　七言绝句　押尤韵	未负耕犁未服辀，谁教驯狎入栏收。番儿自惯无鞍马，大武山头捉野牛①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（射鱼）（清·黄叔璥）　　七言绝句　押歌韵	仰沫巨鱼才跃波，矢无虚发巧如何。于今苦学汉人法，驾筏施罛事转多①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（捕鹿）（清·黄叔璥）　　七言绝句　押阳韵	地辟年来少鹿场，焚林设阱两堪伤。擒生剪耳如黄犊，相逐平原互斗强①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（猱采）（清·黄叔璥）　　七言绝句　押盐韵	盛植槟榔覆四檐，浓阴夏月失曦炎。猱升取子飞腾过，不用如钩长柄镰①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（社饷）（清·黄叔璥）　　七言绝句　押鱼韵	出草秋深尽夏初，刖蹄剖腹外无馀。当官已报社商革，五谷鸡豚一一书①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（互市）（清·黄叔璥）　　七言绝句　押侵韵	兽皮时出内山深，互市传来直至今。莫道汉人曾未到，熟番有路敢探寻①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（树宿）（清·黄叔璥）　　七言绝句　押先韵	不为穴处不巢巅，布毯牢将两树缠。此味睡乡人不识，不须化②蝶自翩翩①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（哨望）（清·黄叔璥）　　七言绝句　押豪韵	社中各自置楼高，猫踏更番未觉劳。击柝宵严镖箭利，尽教鼠窃远潜逃①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（斗捷）（清·黄叔璥）　　七言绝句　押微韵	未经牵手尚腰围，习惯身轻走若飞。凉夜月明齐展足，羡他猫女愿同归①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（嘴琴）（清·黄叔璥）　　七言绝句　押寒韵	制琴四寸截琅玕，薄片青铜窍可弹。一种幽音承齿隙，如闻私语到更阑①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（鼻箫）（清·黄叔璥）　　七言绝句　押支韵	配他弦索亦相宜，小孔横将按鼻吹。引得凤来交唱后，何殊秦女欲仙时①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（迎妇）（清·黄叔璥）　　七言绝句　押麻韵	赘婿为儿妇是家，还怜凿齿擦蕉花。何如高架迎归去，偕老相期礼自嘉①。
番社杂咏（此组诗又载刘良璧《重修福建台湾府志》〈艺文〉）二十四首（浴儿）（清·黄叔璥）　　七言绝句　押真韵	生儿出浴向河滨，仙气长留冷逼人。三保当年曾到处，南洋诸国尽称神①。
