满庭芳·戊戌闰三月望立夏，忆前月是日正清明也。苏庵出视李㤅伯先生霞川花影词手稿，有庚申闰清明作，谓自辛丑闰后再逢今日，枨触旧怀，含悽成咏。今距庚申垂四十载，中间再闰仅己卯一遇耳。鄙人频年濩落，久惯伤春，客里光阴，逾增惆怅。依韵示苏庵，并寄彦云和之（近现代·吴昌绶）	芳事关心，俊游过眼，人生能几清明。桃花前度，江上苦催行。才展余春一半，蓦惊回、报晓钟声。无眠夜，单衾孤烛，方寸若为情。东风曾有约，双栖采凤，百啭娇莺。恁天公错爱，翻遣飘零。枉被蚕丝自缚，羡飞鸿、云外冥冥。都一样，兰愁蕙怨，旧曲忍重听。
浣溪纱·余春如驶，支绪可怜。抽毫写怨，以寄所怀。迟字一叶，回肠荡气。知音者将谓之何（近现代·吴昌绶）	容易浮生细慧煎。鬓丝萧瑟又今年。日长庭院静恹恹。春病倦于中酒后，客游轻过落花天。襟痕余润殢炉烟。
浣溪纱（近现代·吴昌绶）	缭绕回文机上丝。沈吟本事卷中词。一般心绪少人知。花坞云迷莺唤破，蒜𢅏风急燕归迟。而今况不似当时。
八声甘州·屡乞人作双照楼图，终未惬心。有以杜陵女史仇氏画幅赠者，庭宇邃深，溪山明瑟，恍然若有所感，其尘外之仙都欤，抑意中之幻境欤。伊昔芸台模碑，近段清晖之本；桐阴写照，远徵实父之图。年祀旷绝，景物不殊，心灵渺绵，光采若接。辄因旧迹，被以新题。津门旅馆，补成此解，寄吾妇，书之帧首。偕隐之愿，未知何日能偿，相祷相蕲，盍以斯图为息壤乎（近现代·吴昌绶）	记图中、楼阁是耶非，仙乡忆前游。有诗舫清幽，琴闺姝丽①，粉墨痕留。重来玉人无恙，画稿漫添修。双照媚春影，纤月如钩。却讶簪花娇女，为谁工点缀，缣素风流。把芳怀托付，此意尽绸缪。怅天涯、柳眠莺老，倚回阑、凝望损湘眸。催料理、早携镜槛，同熨香篝。
双调望江南·四月廿一梦中作。韦相去年今日词意，仿佛似之（近现代·吴昌绶）	江南忆，惆怅望齐门。烟水迷茫衔落照，楼台层叠聚香痕。春事共谁论。花间约，辛苦种愁根。留住朱颜揩粉镜，挥残红泪涴芳尊。惜别黯销魂。
清平乐（近现代·吴昌绶）	隔帘花影。笑索新妆靓。才说将离犹未定。怨煞鲤鱼风紧。暗潮流梦无痕。别来谁与温存。愁对蕉屏兰烬，天涯一样黄昏。
浣溪纱·得闺书人，漫赋（近现代·吴昌绶）	和梦和愁过一春。金钱排日卜行人。樱桃花发绿窗新。离绪细于丝雨织，旅怀乱比远山皴。谢他三十六红鳞。
浣溪纱（近现代·吴昌绶）	玉雪娇儿笑靥开。双了倭鬌泥妆台。牵裾盼我早归来。自爱折花休倚槛，好教拜月试当阶。罗衣戏蝶替亲裁。
东风第一枝·次半唐老人味梨集壬辰二月与况夔生刘伯崇联句韵（近现代·吴昌绶）	翠袖娇扶，红阑暖熨，新词惯唱疏影。东风未放春酣，南枝又添香冷。珠妍玉瘦，羡花底、并禽栖暝。奈别来、江国萧疏，唤起罗浮人醒。钗索卸、夜窗初静。车毂转、归装劝整。输他画里真真，消受盛名鼎鼎。一枝折寄，应念我、天涯愁并。问甚时、染却铅华，去泛五湖艇。
鹧鸪天·沪上见管仲姬书心经册，高仅二寸，广寸许，细楷如黍米精绝。后题云：长生禅院比丘尼觉因募装观音圣像圆满，属书心经，纳诸藏中，因为焚香沐手书此，至正二年八月朔日。管道升敬识。与闺人各临一本，赋此代跋（近现代·吴昌绶）	玉押金泥字字珍。鸥波仙耦艳题名。茂漪自擅簪花格，笑倒灵飞倩绍京。新月满，妙香清。一龛供养祝长生。莲花庄里扁舟去，绣佛钞经好结邻。
蝶恋花·旧藏林天素绢本画幅，作钩勒设色花鸟，题云：景丽春华，一枝稳寄，物犹如此，而况于人乎。兰窗无事，作此写意。知我者谅之。林雪凡。三十二字一行。下钤林雪天素二印。夙好蒐集胜朝以来文人才媛诸名迹。流风余韵，多可憙者。此帧尤所爱玩。壬辰忽失之，极意踪迹不可得。荏苒数载，时时往来于怀，追省旧事，因成此词，以存一段因缘。剑返延津，或非无日，聊自慰其惓惓而已（近现代·吴昌绶）	院本双钩翻画稿。搦管沈吟，独自含愁袌。绿腻红酣春未老。不知花好侬眼好。采伴西湖夸窈窕。绢素回风，艳迹流传少。清供玉台香篆袅。绝怜羽化银杯杳。
八声甘州·山荷邮词见怀，感而和之，即寄闺人（近现代·吴昌绶）	又悤悤、负了饯春杯，梦翼落丰台。想镫唇泥影，镜心写恨，一样愁怀。为我飞蓬蕉萃，珠桂费安排。记否双栖约，藤阴斜街①。见说长安花好，奈感时溅泪，倦眼慵抬。便金门挟策，惭愧济时才。笑虚名、凤池迢递，但为君、珍重博花钗。聊寄慰、几行珠字，翠锁眉开。
蝶恋花·和小琅玕山馆题横波小像（近现代·吴昌绶）	嘶骑拖香寻旧曲。笑撚花枝，人在阑干角。歌扇舞裙春梦觉。定情诗句丁娘索。金粉南朝俄寂寞。柳外梅边，眷属团栾各。亦有飞花无系著。秦楼真怨东风恶。
陌上花·和花宜馆题圆圆小像（近现代·吴昌绶）	功成唾手，侯王那比，倾城难再。千骑迎来，依旧十分华彩。婵娟身系兴亡局，一霎笑颦双黛。恁悤悤、又见昆明劫火，剩妆楼在。记当年，有春风图画，珠佩江皋初解。转眼黄紽，勘破华鬘色界。分明高鸟，良弓志绝，胜冤禽填海。展生绡、还诵吴郎旧曲，泪珠同洒。
忆旧游·秋夕津门客馆忆去岁别南中时情事，怅然有作，用清真韵（近现代·吴昌绶）	恨蛩喧暗砌，萤度疏帘，寂寞秋宵。欹枕听残漏，又一天凉雨，酿就潇潇。凤城凝睇云外，羁羽尚飘摇。恁枯树婆娑，飞花撩乱，如此魂销。迢迢。梦江国，记香径湔裙，绣陌鸣镖。未拟成辜负，奈蓬山风引，无计相招。高楼西北回望，流水赤阑桥。待崔护重寻，余春依旧看笑桃。
浣溪纱·伤时感事，倚醉杂题（近现代·吴昌绶）	手把柔条忆汉南。今来摇落对江潭。庾郎华发不胜簪。每听秋蝉多哽咽，独怜春燕尚呢喃。销愁除是梦沈酣。
浣溪纱（近现代·吴昌绶）	昨夜鸾书下紫宸。东皇宣布集群英。中天捧出日华新。云笈签名修旧籍，霓裳按曲抚前尘。愿催羯鼓早回春。
浣溪纱（近现代·吴昌绶）	时样鸳蛾入鬓青。兰姨琼姊总娉婷。笑他避面尹和邢。紫凤放娇工旖旎，红鹦传语忒零星。相看犹隔画罗屏。
浣溪纱（近现代·吴昌绶）	一道星河络角斜。觚棱秋思渺无涯。投林带影数昏鸦。仙乐平明迎日驭，神光照夜走雷车。琼楼高处梦京华。
浣溪纱（近现代·吴昌绶）	十亩荷香水榭幽。当年载酒此从游。浩歌归去楚天秋。飘泊残英离旧树，伶俜支影恋清流。蒿蓬身世古今愁。
