思家（近现代·孙俊在）　　五言律诗　押麻韵	故国迢迢隔，音书望眼赊。有身常作客，无梦不还家。世味淡如水，人情薄似纱。何当蠲浊念，归去话桑麻。
春雪（近现代·孙俊在）　　五言律诗	一白浑无际，顿教路径迷。絮飘沈复起，监撒是耶非。瑞气充寰宇，春风指水溪。黎民已饱暖，卒岁不愁衣。
八十六岁诞辰感怀（近现代·孙俊在）　　五言律诗　押东韵	岁月匆匆去，吾今八六翁。沧桑人事改，阅历笑谈中。悟得盛衰理，自然规律通。休嗟耄耋届，不负夕阳红。
四十初度摄影自题（近现代·孙俊在）　　七言律诗　押歌韵	来日虽长去日多，行年不惑已蹉跎。曾经花柳千杯醉，历尽沧桑万事磨。玩赋吟诗怀北斗，昨非今是醒南柯。镜中留得年光住，休唱唐寅一世歌。
暮春遣怀（近现代·孙俊在）　　七言律诗　押微韵	浓阴成幕翠成帏，小立怡情对夕晖。海外烟云游子意，天边鸿雁故人违。花残枝上无心管，春去江南有梦归。惆怅半生尘世事，红英香絮一时飞。
春游（近现代·孙俊在）　　七言律诗　押东韵	三月江南春意浓，相携朋好买游骢。连天麦浪层层绿，隔岸桃花树树红。村女单衣溪水畔，牧童短笛夕阳中。眼前一幅辋川画，点缀风光特地工。
画眉（近现代·孙俊在）　　七言律诗　押支韵	孤负张郎笔一枝，凝眸何处说相思。三春花鸟知人意，千种风情揽镜时。秋黛轻描传旧恨，朝霞浅映斗芳姿。饶他柳叶茧蛾样，尽够销魂入艳诗。
题亡妇遗影（代友人作）（近现代·孙俊在）　　七言律诗　押冬韵	海天鹣鲽自西东，隔断蓬山路几重。未许春风赋桃李，翻因秋露泣芙蓉。慈亲永系重帏念，佳偶徒成一面逢。苒苒彩云终易散，不堪憔悴对遗容。
日寇侵袭避难苏北，夜不成寐，率成二律，即请章松庵孝廉斧正（近现代·孙俊在）　　七言律诗　押东韵	飘泊他乡西复东，神州到处尽罡风。相从避地干戈后，共度流年患难中。万里烽烟心胆碎，千村啼哭路途穷。国仇家恨滔滔是，愿请长缨跨玉骢。
前作意有未尽续赋一律（近现代·孙俊在）　　七言律诗　押元韵	春来旧梦怕重温，遥忆江南尽泪痕。布被年深难引睡，瓦盘膏浅易成昏。关心最是五更漏，回首难忘一饭恩①。千里故园今夜永，不堪风月满柴门。
中师训练班结束，诸学员索诗留念（近现代·孙俊在）　　七言律诗	栗六风尘十载馀，小楼一角好安居。家多桂冠论文客，门走云鬟问字车。休恨人生常聚散，惯看世事几乘除。从今分道扬镳日，莫教长沙志未抒。
抗战胜利后感怀二律（近现代·孙俊在）　　七言律诗　押尤韵	家近难归暗自愁，往来无碍羡扁舟。文书惯伏公门案，局促幽居小角楼。经乱未将家计理，有钱还作少年游。从今鞭著祖生后，不信蹉跎到白头。
感时（近现代·孙俊在）　　七言律诗　押尤韵	国土沦亡记大仇，中原北望泪难收。门无鸡狗三千客，梦有燕云十六州。徒负雄心效越主，满怀遗憾看吴钩。平生唯一违心事，投笔从戎志未酬①。
秋夜不寐（近现代·孙俊在）　　七言律诗	四壁秋虫唧唧鸣，无眠转侧夜三更。如盘明月当窗照，似水新凉自脚生。往事萦怀同梦影，频年浪迹远亲朋。眼前又一惊心事，镜里鬓霜逐渐呈。
日冠侵沪时，曾至西郊避乱数日，解放后下乡参加义务劳动，又至西郊，在农村小学休息（近现代·孙俊在）　　七言律诗　押真韵	曾记桃源一避秦，重来景物焕然新。豪绅地主云烟灭，干部农民唇齿亲。但见家家喜饱暖，不须岁岁话酸辛。眼前环境无边好，羡煞田间识字民。
清明节与师训班同仁聚餐即席感赋（近现代·孙俊在）　　七言律诗　押微韵	奏罢弦歌暂息机，清明时节午风微。和平饭店人欢宴，黄浦公园鸟自飞。廿载重来尚有误，百年将半渐知非。当前景物无边好，卖酒楼头一解衣。
寄怀吴继奋医师（近现代·孙俊在）　　七言律诗	相处经年襟袂分，严冬过后又春耕。添衣须贾怜寒士①，下药华陀祛病根。才拙尚遭同伴忌，囊空易负故人恩。何当争取回申日，畅叙离衷置酒樽。
留别煤矿学校语文组诸同仁（近现代·孙俊在）　　七言律诗	玩赋吟诗兼养真，频年孤独少同声。乍逢萍水论文友，遽唱骊歌惜别身。天上原无永圆月，世间还有再来春。行看桃李成蹊日，不负权修志树人。
感时（近现代·孙俊在）　　七言律诗	京华冠盖集如云，文武全才著宿名。四化热忱浑似火，万民努力有同心。奈何理论水中月，既定方针纸上兵。政策于今难落实，前途何日见光明。
游青海上谷（近现代·孙俊在）　　七言律诗　押齐韵	上谷荒崖百级梯，诗囊香碗手亲携。云从山脊行边出，天向芜平尽处低。古墓树稀群雀噪，远村人静无鸡啼。边疆高地风光好，游兴正浓日已西。
