过白门登鸡鸣寺①（近现代·孙玄常）　　七言律诗　押微韵	十年丧乱去京国，再入都门事事非。乍见钟山疑是梦，忽闻吴语信重归。自怜惯作东西客，不及无机上下飞②。明日又将沧海去，今朝柳色最依依。
闻家姊病危，登车南归（近现代·孙玄常）　　七言律诗　押庚韵	蒲柳早衰白发生①，半生忧患已频更。庭帏寂寂悲风木②，夜雨萧萧忆脊令③。杯有青州徒味苦④，书来黄耳又心惊⑤。登车仓卒愁无主，敢信苍天尚有情⑥。
题旧作《赚兰亭图》卷（近现代·孙玄常）　　七言律诗　押虞韵	秋夜长安展旧图，围城酬唱记黄垆②。酒消垒块曾同饮③，癖入膏肓不可驱。且喜萍飘还再聚，祇怜泉下已难呼。承平犹有沧桑恨，禁得浮云变灭无。
题登楼图（近现代·孙玄常）　　七言律诗　押支韵	故园东望路逶迤，千里乡关入梦思。摇落恰如秋柳叶，坚贞窃比老松枝。莫惊邓禹功名早①，犹有冯唐遇合迟②。今日方知王粲意③，登楼惟见碧云垂。
题秋花图（近现代·孙玄常）　　七言律诗　押灰韵	九月新霜次第开，寒云寒水共徘徊。春光如许已陈迹，秋色无多更莫催。酒荐黄花高士卧①，香随翠袖美人来。江湖冷艳便堪画，点染何须八斗才。
叶圣陶先生赐示道旁树十绝句赋七律奉酬（近现代·孙玄常）　　七言律诗　押尤韵	接叶交柯翠色稠，万株夹道尽新猷。鹅黄成碧迎朱夏，红艳淩霜爱晚秋。千里浓阴如广厦，四时佳气满神州。树人树木心常在，吟咏岂惟记胜游。
丙辰春有感，用次园《蓟县遇雨》韵（近现代·孙玄常）　　七言律诗　押灰韵	不信胡僧说劫灰①，九重阊阖起风雷②。欲寻黄绮元无路③，漫道严陵尚有台④。弃世畸人人亦弃，哀时词客客相哀。吾衰已绝周公梦⑤，呵壁问天百感来⑥。
秋怀答罗季甫（近现代·孙玄常）　　七言律诗　押阳韵	何必西风始断肠，生逢坎坷便神伤。多愁少妇黄花瘦①，失意才人绿鬓霜。忽转乾坤开世运②，恰宜杯酒醉重阳。新凉祇道秋光好③，又见南归雁数行。
丁巳五月移居（近现代·孙玄常）　　七言律诗　押齐韵	移居依旧小城里，深巷终朝罕马蹄。将息柴门宜送老，悠游林下或留蹊。墙开北牖临风卧，书爱南华论物齐。人境一庐疑世外，抉梳树影拂檐低。
题《瞿髯词》①（近现代·孙玄常）　　七言律诗　押支韵	倚声宗匠今谁是，光射斗牛笔一支。哀乐中年承绝学，风霜晚节遇明时。苏辛气象周姜律②，左马阳秋李杜诗③。四海争传新乐府，岂云吾道已陵夷④。
闻友仁得昭雪归沪（近现代·孙玄常）　　七言律诗	猿鹤虫沙去不还①，几家白发唱刀环②。莺花依旧春申浦，魂梦犹惊木叶山③。自古文章憎命达④，方今廊庙欲才难。飘零杯酒诗千首⑤，何必功名盖世间。
蝶庵来书云蒙恩改正，赋七律答之（近现代·孙玄常）　　七言律诗　押支韵	傲骨平生每数奇，关河沦谪最相知。一朝身陷甘陵祸，二纪名垂元祐碑①。昭雪沉冤歌圣德，浮云富贵足吾师②。枝头红杏添春色，顿忘冰封地裂时。
赋河东新居寄京华诸友（近现代·孙玄常）　　七言律诗	非仙何必白云居，丈室淩霄亦自如。东望盐池迷晓雾，西连市井接平芜。春风骀荡千山润，春雨霏微万物苏。王粲登楼宜作赋，神京不见最愁予。
处暑后戏赋（近现代·孙玄常）　　七言律诗　押阳韵	处暑方过夜新凉，几番秋雨送秋光。苍藤翠蔓迷新月，紫蕊红葩吐晚香。门外近郊无贵客，林高密叶响寒螀。平生南北多艰困，堪喜清宵一梦长。
戏题梁伯行红楼梦讲稿（近现代·孙玄常）　　七言律诗　押尤韵	富贵辛酸记石头，几人酒后说红楼。春花秋月十年梦，颇钵芒鞋万户侯。盛世宜为消旧恨，明时何必诉閒愁。长安名士真堪笑，饶舌千篇尚未休。
赠宗君仲九（近现代·孙玄常）　　七言律诗　押先韵	艺海浮沉数十年，晚归平淡比通禅。同观李范惊魂魄，终爱倪黄接性天。俗世妍媸元不辨，君家气韵本相传。重逢历劫心愈静，偶说当年亦惘然。
访蒲留仙故居（近现代·孙玄常）　　七言律诗	巷陌深深访故居，聊斋旧迹未荒芜。藤萝萦绕高低壁，池水漪涟来往鱼。莫恨才名科举薄，堪怜孤愤赏音疏。柳泉茔墓皆如昔，寥落行人野鸟呼。
重读蒋鹿潭水云楼词（近现代·孙玄常）　　七言律诗　押尤韵	暮年重读水云楼，秋雨潇潇易感秋。沧海兵戈伤旧梦，平山榛莽吐新愁。生拼顾盼萧娘殉，人谓依声杜老侔。功过是非谁管得，五湖归志自风流。
题王君雪樵《河东方言语词辑考》（近现代·孙玄常）　　七言律诗　押阳韵	九秋风雨近重阳，拜览方言意味长。语考扬刘明训诂，音求关马识家乡。新篇万字心存苦，旧学千年孰共商。江戴段王皆往矣，乾嘉一脉有馀芳。
南归杂诗（近现代·孙玄常）　　五言绝句	晨辞西岳去，暮度大江桥。天堑今夷险，功如圣禹高①。
