病卧经年管毫尽败乞于曲斋 二首 癸丑（民国末当代初·朱庸斋）　　五言律诗　押鱼韵	闻道星期六，门多问字车。宁非书有价，不复食无鱼。碍梦床虚设，充棚楮尚馀。齐名愧夙昔，病困合穷居。
夜坐三首 甲寅（民国末当代初·朱庸斋）　　五言律诗　押萧韵	七日方居末，何如此寂寥。灯深邀影共，门静让虫娇。颓墨经三宿，清尊忍自浇。市闾看咫尺，引步总迢迢。
寄怀文略学长并谢惠画册（民国末当代初·朱庸斋）　　五言律诗　押元韵	闻名悭一面，见画悟同门。衣钵承卢赵，钩皴逼宋元。明窗堪自遣，斯道共谁论。格禁空翘跂，神交海内存。
落花 壬午（民国末当代初·朱庸斋）　　七言律诗　押灰韵	晓日千红下玉台，半随流水半尘埃。消沈六代江山梦，寂寞三春锦绣堆。香国光阴曾一瞬，情天空色悟将来。杜郎未老才华尽，总为芳时带恨回。
夜话赠应新永正两棣 甲寅（民国末当代初·朱庸斋）　　七言律诗　押灰韵	吾曹出处关兴替，夺席还须仗尔才。下笔要存千载念，高林岂是十年栽。主奴今日应能辨，流派干时竟孰开。若向南天论绝业，不教间气委蒿莱。
子畏尊兄以其先德靖侯先生遗稿属题（民国末当代初·朱庸斋）　　七言律诗　押庚韵	老阅沧桑眼倍明，传家一集仰豪情。故园风物归新笔，盛世文章得正声。返棹有图供述德，托车何意浪知名。肄江间气分明在，斗酒无从为一倾。
西堂早茗读在山堂来诗次韵却寄语多浅率以病多思涩不能过自绳刻矣（民国末当代初·朱庸斋）　　七言律诗　押支韵	隔年髡柳尚离离，不为经寒改旧姿。入座尚怜青到眼，酿春难得雨成丝。矜才讵可轻馀命，怆别须拚纵一卮。惆怅①极天无好梦，所思犹在水之湄。
怡春招饮即席（民国末当代初·朱庸斋）　　七言律诗	万恨都从老去生，所哀犹有少年情。簪花侧帽无人管，晓泪宵樽只独倾。踪迹每疑今异昔，相思宁计醉和醒。红妆知己今谁属，深海当年浪得名。
题百合花画（民国末当代初·朱庸斋）　　五言绝句　押啸韵	百合入夜开，人花两相俏。月色入帘时，清辉为人照。
有怀（民国末当代初·朱庸斋）　　七言绝句　押支韵	酒馀心事万千缕，日午匆匆送别时。并立葵阴人不觉，此情唯有两家知①。
杂诗七首（民国末当代初·朱庸斋）　　七言绝句　押元韵	钿车何日出东门，停伫阴晴总断魂。坠絮飘花春渐老，闻声对影梦难温。
自题七星碞图 己未（民国末当代初·朱庸斋）　　七言绝句　押侵韵	截取苍碞半段阴，竹光松影冷愔愔。孤篷染尽星湖水，世外仙源讵可寻。
自题浅绛山水（民国末当代初·朱庸斋）　　七言绝句　押尤韵	尺幅丹青一抹秋，山容清瘦似工愁。何时盖顶苍崖下，收拾云烟作卧游①。
江苏馆夜饮（民国末当代初·朱庸斋）　　七言绝句　押尤韵	少年得意在扬州，名馔初尝狮子头。最忆夜分歌席散，呼灯重上十三楼。
菊庵道兄以诗见讯走笔却寄（民国末当代初·朱庸斋）　　七言绝句　押鱼韵	君来顿觉溪山美，携带春风到索居。老去情怀谁胜此，荐盘粗可办双鱼。
萝岗即事（民国末当代初·朱庸斋）　　七言绝句　押灰韵	琼枝十万簇仙台，侵晓迎阳次第开。自是萝峰春讯早，非关玉管夜相催。
初见早梅（民国末当代初·朱庸斋）　　七言绝句　押阳韵	催诗岩外拥花光，十里初梅趁艳阳。莫道岭南悭雪色，霏霏玉屑却生香①。
题余菊庵秋涧鸣泉图（民国末当代初·朱庸斋）　　七言绝句　押支韵	无多著墨转新奇，颇与生平性分宜。掬得寒泉浣肝肺，此中容我更题诗①。
别白下（民国末当代初·朱庸斋）　　七言绝句　押蒸韵	摹杜师韩我未能，独将词笔傲金陵。一从赋罢南楼令，兀兀台城不再登①。
十友亭（民国末当代初·朱庸斋）　　七言绝句　押青韵	阆苑天风接玉屏，江山文字见英灵。苍茫三百年间事，片石谁寻十友亭①。
