过虎门（清末近现代初·潘飞声）　　七言律诗　押庚韵	挂帆狂啸渡沧溟，虎气腾腾剑底生。万里水浮天地影，一门山裂海涛声。未来风雨旌旗动，欲上鱼龙鼓角惊。扼守最难形胜险，问谁鞭石作长城？
大江西上曲·丁亥七月十三日余远游西溟，舟发杨椒坪，谢梧山、居古泉、黄绮云、黄日坡、杨湘舲、胡敬之、曾式如、杨崙西、伍意庄、居秋海送至珠江，率赋留别。仓皇行色，不复按谱求工也（清末近现代初·潘飞声）	江亭酒醒，听西风一笛，离愁吹起。已拚乡心抛撇去，禁得桥阑重倚。戴笠前盟，诛茅后约，洒尽平生泪。丝丝疏柳，向人还更憔悴。早分万里关山，吴箫燕筑，萍梗看身世。何况西溟风雪路，多恐敝裘难理。潮打裘来，海浮天去，归梦知何际。苍茫云水，挂帆吾又行矣。
采桑子·雨夜（清末近现代初·潘飞声）	天涯听雨无人夜，点滴分明。点滴分明。不是家园一样声。乡心拚被风吹碎，梦又难成。梦又难成。蓦忆家园一样情。
浪淘沙·酒后感秋（清末近现代初·潘飞声）	一曲倚铜琶。浊酒能赊。醉来才卷绿窗纱。不听秋声吹落叶，忘却天涯。琴剑负年华。鬓影空嗟。思量佳节近黄花。海燕别人何处去，一样无家。
一剪梅·斯布列河春泛（清末近现代初·潘飞声）	日煖河干残雪消。新绿悠悠。浸满阑桥。有人桥下驻兰桡。照影惊鸿，个个纤腰。绝代蛮娘花外招。一曲洋歌，水远云飘。待侬低和按红箫。吹出羁愁，荡入春潮。
碧桃春·夏鳞湖在柏林西数里。松山低环，绿水如镜，细腰佳人，夏日多游冶于此（清末近现代初·潘飞声）　　押先韵	山眉轻抹一奁烟。湖平花满天。罗裙香影漾红船。凌波人是仙。风絮外，醉魂边。层楼镫又然。画筵歌舞系归舷。鸳鸯眠不眠。
高阳台·戊子元夜酒座中赠洋妓安那（清末近现代初·潘飞声）	镫市沽春，冰街踏月，天涯又度元宵。花外才风，云萍一样飘萧。蛮娘眉黛能传语，捧瑶觞、劝洗无憀。尽孤他、悄掩晶屏，银烛偷烧。频年游客伤春懒，算销磨琴剑，鸾镜都抛。收拾狂名，题词休按红箫。分明一刻还疑梦，只襟痕、薄酒难消。记閒缘、万一重来，留认鲛绡。
买陂塘·何蘧盦书来，谓移居荔湾，筑馆池荷之上。属为制词，预题廊壁。余倦游海外，久轸乡情，一片归心，已在菱香芰影中矣（清末近现代初·潘飞声）	买陂塘、绿荷添种，平铺浅浅明镜。隔花新筑玻璃馆，帘卷碧云千顷。鸥未醒。听两岸蝉声，吹堕斜阳暝。赤阑独凭。唤点烛调筝，焚香展画，花外有人应。湾头好，几处红芳翠净。年时曾共游兴。西风吹老菰浦叶，遮断江湖尘影。秋枕冷。可忆我连宵，梦落横塘艇。烦君且等。约再熟离支，荷衣归换，诗教玉奴咏。
买陂塘·女郎有字莺丽姒者，屡订五湖之约。赋此宠之（清末近现代初·潘飞声）	铁阑桥、夜深风雪，忍寒相待如许。天涯久悔狂游倦，那肯更沾风絮。凭听取。也未要酬珠，事事依分付。几番暗诉。愿海角追随，灵心侠骨，冷煖仗郎护。伤心事，我正风尘羁旅。萍踪飘泊无据。柏陵花月非侬宅，剩可五湖归去。卿莫误。祝恨海填平，奇福天应与。相怜最苦。怕未老樊川，寻春较晚，佳约又迟汝。
巫山一段云（清末近现代初·潘飞声）	省识仙模样，芳龄问破瓜。可怜生小是贫家。多愁看落花。今夜酒醒何处。默默眉梢无语。欢场转眼又相思。春情休更痴。
