送培德中学第二班诸生卒业1929（近现代末当代初·缪钺）　　五言律诗　押侵韵	国运悲花落，横流嗟水深。危舟期共济，世网莫同沈。洛下治安策，隆中梁甫吟。高踪怀二子，勖尔百年心。
贵阳旅舍遣闷（近现代末当代初·缪钺）　　五言律诗　押鱼韵	岁晚黔山道，栖遑岂定居。侵霜思白雁，如燬惜赪鱼。国望中兴日，人怀未乱初。明夷如可卜，敢负箧中书。
槃庵寄题拙作，赋此奉酬（近现代末当代初·缪钺）　　五言律诗　押阳韵	自愧巴人曲，何来琬琰章。国风哀窈窕，楚赋假兰芳。揽茝荷衣洁，扬灵极浦长。玉炉香未灭，灰印已回肠。
移花1941（近现代末当代初·缪钺）　　五言律诗　押微韵	移植经时节，相期愿不违。受风偏特立，滋露渐能肥。永日徘徊久，雕栏护惜微。轻尘纵无害，莫令近芳菲。
夏历八月十四日，遵义教堂赏月，呈杰人司铎1941（近现代末当代初·缪钺）　　五言律诗　押侵韵	黔徼难逢月，今宵喜照临。山城哀画角，圣地洁尘心。龙战终无已，蟾辉恐又阴。福音拯世意，相与一沈吟。
奉酬槃庵兄原韵，兼呈贞一先生（近现代末当代初·缪钺）　　五言律诗　押灰韵	蜡炬几惊灰，登临怯废台。冬寒兰自活，天重雾难开。宁必花前见，真如梦里来。亦知齐得丧，触物又①生哀。
客有游湄潭归者，赋赠1943（近现代末当代初·缪钺）　　五言律诗　押侵韵	七日湄潭去，归来翠满襟。一江清绕郭，千翼晚投林。已慎麻阳路，宁劳却曲吟。且将幽隽意，收拾入灵心。
与稚荃论小山词1947（近现代末当代初·缪钺）　　五言律诗　押删韵	绝代论词境，谁如晏小山。不容世轩轾，自与古跻攀。托意芳馨里，观生卓荦间。秋窗一商榷，仿佛彩云还。
苏联火箭到达月球，喜赋二首  （近现代末当代初·缪钺）　　五言律诗　押尤韵	火箭乘风去，长空任漫游。嫦娥迎远客，樽酒话清秋。已悔偷灵药，争禁碧海愁。人间方大庆，同驾返神州。
仲华兄出示《放筏图》，嘱为题句，并云此图乃昔年与赵望云先生同游灌县，赵写以见贻者。灌县为余旧游之地，江边放筏，亦曾目击，今睹此图，宛如旧识。爰题五律一首，即乞仲华兄两正（近现代末当代初·缪钺）　　五言律诗　押尤韵	玉垒峰峦峻，岷江日夜流。榜人齐放筏，天地正清秋。击楫心常壮，回滩力自遒。但凭弘毅志，新建古神州。
籍亮侪先生忠寅寄示任公挽诗，感赋1929（近现代末当代初·缪钺）　　七言律诗　押灰韵	独从乱世惜真才，迸泪诗章郁百哀。老子犹龙脱生死，高丘无女叹蒿莱。青萍宁掩丰城气，赤县谁能厄运回。举世争伤书种绝，岂徒朋旧泣岑苔。
奉送马一浮先生入蜀讲学（近现代末当代初·缪钺）　　七言律诗　押真韵	山城三月道相亲，岁晚临歧意未伸。亡礼久嗟车弃辅，惊心真见海扬尘。寒凝粤徼荒途远，气转巴山万卉春。绝学兴衰一身系，他年鹿洞即峨岷。
出门1939（近现代末当代初·缪钺）　　七言律诗　押庚韵	出门便有临歧意，观物常存独往情。忧与生来宁自遣，境虽初接似曾更。回潮涤浊怀新世，高鸟鸣秋喜远声。能化天星照灵躅，不辞永夜向君明。
奉和马湛翁先生上巳寄诗原韵1940（近现代末当代初·缪钺）　　七言律诗　押真韵	湖外云山旧结邻，飞来鱼鸟亦能亲。高丘反顾哀无女，空谷相闻傥有人。盈袖馨华遗远者，当门五柳似嘉宾。匆匆又过清明节，听雨听风未是春。
百念1941（近现代末当代初·缪钺）　　七言律诗　押元韵	百念沈绵积未宣，无端风雨发烦冤。已甘草弱难言命，为底楼高易断魂。沙上枯鱼犹呴沫，梦中残黛愧温存。劳生多难宁如此，拟唤巫阳与细论。
书怀1942（近现代末当代初·缪钺）　　七言律诗　押寒韵	年来忧患意千端，超物观生境自难。袖手倚阑人尽小，携筐采药路常寒。读书每似临崖返，徙宅惟求容膝安。已解据梧非道要，故凭诗句遣悲欢。
偕李源澄少城公园绿荫阁茗话1946（近现代末当代初·缪钺）　　七言律诗	为避街尘日夕喧，名园茗憩傍风轩。已劳五载沧桑别，喜共今朝斐亹全。治学渐探空曲际①，经冬未及雪霜繁。灵山早定明年约，欹石听泉待细论②。
十年1947（近现代末当代初·缪钺）　　七言律诗　押寒韵	十年涉世惜知难，一札沈吟慨万端。敢说滋兰花易发，勿忘采药路常寒。风前拾蕊春犹昨，梦起推枰局已残。他日相逢蓬岛路，沧波回首尽漫漫。
病中作1947（近现代末当代初·缪钺）　　七言律诗　押删韵	劳生蓬累知何巳，一病能消十日闲。梦听鸟声疑奏曲，卧观云影当游山。人间醒醉都无与，世事成亏各好还。流幻百年多变劫，愿持一静息千艰。
一九七九年十月，余以事至京，志岳兄南游沪杭，将返哈尔滨，道出京华，相逢话故，并出新诗见示，归后赋此奉寄，即乞郢正（近现代末当代初·缪钺）　　七言律诗　押庚韵	居然千里御风行，小聚京华日照明。伏胜解经惟口说，桓谭新论见高情。十年桑海惊多变，七字诗篇更老成。锦水松江万里隔，同看朗月海东生。
