一剪梅 述怀（近现代·薛建吾）	满腹牢骚不肯消。似柳条条。似水迢迢。优存劣败例难逃。纵不心焦。也自神摇。起舞深宵意气浩。如雪儿刀。如铁儿袍。莫教胡牧过临洮。歼尔大骄。还我神皋。
三姝媚 咏夏柳（近现代·薛建吾）	愁丝千万缕。正飘摇江皋，倦腰慵舞。薄倖杨花，早度墙穿户，暗随春去。翠带长条，浑未把东皇留住。老绿依依，攀折何堪，灞桥烟树。旧日雷塘尘土。任废苑萤穿，长堤蝉诉。昔日龙舟，问近曾来否。锦帆何处。流水年华，还消得斜阳几度。莫问馆娃宫畔，风风雨雨。
寿楼春（近现代·薛建吾）	添新愁春光。纵清明佳节，慵去寻芳。忆昔披榛钟阜，泛舟长江。浇浊酒，瞻明王。步绿茵，晴郊倘佯。忽雨散花飘，楼空人去，嘉侣竟云亡。生如寄，情难忘。怅伊人渺渺，泉路，茫茫。最恨英灵何在，梦中荒唐。尘榻冷，愁丝长。算海东还魂无香。奈依旧桃花，凄凄夕阳，悲北邙。
洞仙歌 寒林（近现代·薛建吾）	天寒岁晚，更西风无语。落叶萧萧乱辞树。算深林怕负，锦瑟芳时，一隙隙，不放斜阳归去。冻云天际合，阵阵啼鸦，时向空林觅归路。旧侣忆天涯，望断关河，年岁暮，闲愁如许。正咏罢新词黯销魂，却不道青葱，此时非故。
金缕曲 送菊轩赴鲁西（近现代·薛建吾）	懒折长亭柳。念天涯，萍踪絮迹，七旬聚首。肝胆相倾真血性，语爽情长意厚。曾几度，煎茶温酒。剪烛纵谭狐共鬼，忒新奇，大放悬河口。真可续，齐谐后。无端远到天孙①右。莽乾坤，传杯豪饮，几时能又。此去定知游怀畅，太白楼头击缶。更识个梁山屠狗。莫恋琴台风光好，到梁溪，共赏黄花瘦。江左约，愿同守。
双声子（近现代·薛建吾）	夜凉于水，恨长如丝，无言深掩重门。孤鸿身世，飘萍踪迹，何事马足车轮。衾寒似铁，孤枕上，多少啼痕。伤情切，总难寐，更更寒柝愁人。想当年，方琴瑟静好，金闺乐事无伦。天零红粉，缘悭华首，无端玉碎珠焚。任花朝月午，徒惹起，怨旧愁新。幽怀正苦，一声雁惊，又过南云。
解连环 寄誓流（近现代·薛建吾）	楝花风作。早榆钱满地，桃花零落。记昔日访胜东南，遍鼋渚虎邱，绿杨城郭。歇浦潮寒，最难忘，圣湖丘壑。更滁眼远涉，一枕祗园，世网都削。太白楼头似昨。听危矶激浪，情怀尤恶。自暮秋一别板桥，叹风打萍踪，天涯飘泊。万种相思，待剪烛，细谈离索。奈缘悭，境迁情变，怅怀旧约。
水调歌头 春暮游颐和园（近现代·薛建吾）	国破故园在，风景似当年。楝花风信才过，惆怅又春残。水色山光依旧，燕语莺啼如诉，凭眺总凄然。王业倏销歇，春梦渺如烟。蝶魂瘦，花影乱，画帘前。漪澜堂下，东风冷煞旧游船。两两三三杨柳，点点纷纷飞絮，做就奈何天。芳草一堤绿，岁岁送吟鞭。
苏幕遮 丙子春道出京门，誓流送别，江头赋此志感（近现代·薛建吾）	雨丝丝，风片片。黯澹江头，天也伤离散。一曲骊歌肠欲断。乍聚还分，别恨如何遣。楚天遥，吴地远。断梗飘萍，浪迹风尘惯。握手临歧心绪乱。两地相思，魂梦萦江汉。
金缕曲 赠金声（近现代·薛建吾）	老绿莺啼又。忒销魂，榆钱满地，楝花风骤。惟楚有材非妄诞，江汉钟灵毓秀。记一室，商量研究。八月薰陶惭函丈，忽分携，一曲骊歌奏。襄水畔，每怀旧。伤时泪湿青衫透。大中华，天骄蚕食，强权瓜剖。救国拯民男儿事，投笔休辞人后。莫孤负，头颅如斗。此去从戎亲锋镝，待他年，大展好身手。回故土，光华胄。
早梅芳 贺江宁板桥小学迁校周年纪念（近现代·薛建吾）	绿树浓，飞花遽。轮奂新庠序。披荆芟棘，惨澹经营历艰阻。群知近日驩，宁解当年苦。喜儿童天真烂漫，读罢竞歌舞。作新民，任砥柱。壮志休轻负。学成业进，报国安家卫乡土。无情江汉水，有恨京芜路。诉衷情，寄从云里去。
金缕曲 宪兵学校八周年纪念祝词（近现代·薛建吾）	宪校无量寿。八年来，经营惨澹，计全谋周。珊网宏张罗俊秀，个个龙骧虎骤。文武学，分程研究。训练重于躬作战，勤教育，无间宵和昼。成劲旅，忠元首。几多覆雨翻云手。莽神州，封建余孽，横行狂走。罗织何嫌莫须有，从古河清难候。赖袍泽，公忠共守。锄奸发覆维章宪，齐做到，民保军师傅。扬校誉，地天久。
念奴娇 欣闻日本投降，喜赋（近现代·薛建吾）	爆声如飞。听争传，倭寇投降消息。往事思量真可痛，巨变难忘七七。水咽芦沟，潮寒歇浦，蓦地烽烟直。哀哀华胄，尽罹红羊阨。八载抗战艰辛，生灵涂炭，万里无完室。曾几何时，神弹投，不见豺奔狼踯。血债应偿，收回失地，自此销锋镝。强权歼灭，全球同登衽席。
