吊庞檗子即题诗词遗稿（录一）（清末近现代初·高燮）　　七言律诗　押真韵	沈吟郁处笺愁地，历劫频年厌世人。自吐孤怀入绵邈，独携奇泪动凄辛。低徊每觉情无尽，俯仰谁怜迹已陈。欲向灵岩问樵唱，残阳莽莽下城闉。
念奴娇 闻清五大臣遇刺感赋（清末近现代初·高燮）	车场如市一声雷，震破双双两耳。面血洒将黄马褂，几点鲜红竞美。药雨无灵，弹烟空掷，枉学屠龙技。大索不得，莫是远飏去矣。却惭荆聂遗踪，虚无劳躅，如汝差可喜。碎魄零魂犹战栗，屋上骂声又起。巡警汗喘，赏悬百万，秦法殊难持。燕云莽荡，暗杀风潮未已。
百字令 题桃花扇（清末近现代初·高燮）	模糊张眼，看江山无主，舆图换稿。一幅沧桑谁堪画，肠断秣陵秋老。衰草凄迷，夕阳惨淡，旧泪知多少。零香残粉，付与声声啼鸟。最恨烛灺烟消，歌终梦醒，门户空争闹。国破家亡无所剩，赢得数株红蓼。孽子孤臣，渔夫樵客，冥冥鸿飞杳。识时俊杰，出山惟恐不早。
浪淘沙 题《小雅楼集》（清末近现代初·高燮）	歌哭几时休。难以消忧。凄清身世冷于秋。一卷灯前开不得，侬亦工愁。时事泪长流。痛说金瓯。莫将哀怨诉从头。何况今宵风雨急，独上危楼。
满江红 题《张苍水集》，用岳武穆韵（清末近现代初·高燮）	破碎河山，叹一缕、残魂欲歇。谁肯信、书生报国，竟成义烈。慷慨悲歌江海水，寂寥夜哭沧桑月。抚须眉、搔首看天狼，同仇切。报仇志，酸如雪。华夷界，安能灭。但春秋抱住，完全无缺。臣节苦尝熊鬼胆，觉旌红染黄炎血。问何时、扫荡犬羊群，还京阙。
临江仙 感怀（清末近现代初·高燮）	大好江山谁是主，几时扫荡腥膻。痛遭宰割恨难填。神明胄裔，民族太颠连。汉水无波自由死，沉埋二百余年。中原难复旧衣冠。同仇踊跃，努力再开天。
金缕曲 怀旧（清末近现代初·高燮）	终日愁眉锁。最堪怜、胸中抑郁，有怀难写。遏住泪珠千百斗，不向人前倾洒①。血愈红、点点零星下。汉官仪，安在也。黄昏露滴鸳鸯瓦。入秋来、风雨凄其，更阑灯灺。纵有匣中三尺剑，争奈蹉跎未把。好神州、惊心胡马。芳草残魂思故国，建共和、威德声华夏。梦回时，叹全假。
满江红 题冬青树，步书中宋昭仪王清惠驿中题壁原韵（清末近现代初·高燮）	满目沧桑，已无复、赵家春色。最难堪、乾坤板荡，犬羊登阙。肠断故宫环佩底，变生列圣山陵侧。叹堂堂、万古汉官仪，都消歇。擎天柱，一朝绝。亡国痛，向谁说。剩冬青树上，杜鹃啼血。野老独听南内雨，孤臣恸哭西台月。奈而今、大好旧河山，仍残缺。
百字令 题香祖楼，即用书中池上联句李若兰和作原韵（清末近现代初·高燮）	良缘美满，却谁教一着棋差，转成愁戚。历劫余生人似梦，叶落闻虫唧唧。才盼将归，便歌长恨，辜负郎怜惜。自伤薄命，魂也何须寻觅。当日燕婉同栖，温柔共享，万缕情丝积。三秀连枝香到骨，忍令一枝影只。恋叶如胶，爱根似漆，岂意天难必。从今已矣，挥手何堪忆昔。
浣溪纱 题牡丹亭还魂记（清末近现代初·高燮）	一点痴情不自持。三年地下费相思。牡丹亭畔是佳期。旧梦依稀肠欲断，夕阳明灭泪如丝。汉家可有返魂诗。
