日出东南隅行（隋·卢思道）　　押尤韵	初月正如钩，悬光入绮①楼。中有可怜妾，如恨亦如羞。深情出艳语，密意满横眸。楚腰宁且细，孙眉本未愁。青玉勿当取，双银讵可②留。会待东方骑，遥居最上头③。
棹歌行（隋·卢思道）	秋江见底清，越女复倾城。方舟共采摘，最得可怜名。落花流宝珥，微吹动香缨。带垂连理湿，棹（文苑作棹）举木兰轻。顺风①传细语，因波寄（文苑作送）远情。谁能结锦缆，薄暮隐长汀②。
美女篇（隋·卢思道）　　押麻韵	京洛多妖艳，馀香（文苑作春）爱物华。俱（乐府作恒）临邓渠水①，共采邺园花。时摇五明扇，聊驻七香车。情疏看笑浅，娇深眄欲斜。微津染长黛，新溜湿轻纱。莫言人未解，随君独问家②。
升天行（隋·卢思道）　　押文韵	寻师得道诀，轻举厌人群。玉山候王母，珠庭谒老君。煎为返魂药，刻作长生文。飞策乘流电，凋轩曳彩①云。玄洲望不极，赤野眺（文苑作晓）无垠。金楼旦𡾰嵼，玉树晓氛氲。拥琴遥可听②，吹笙远讵闻。不觉③蜉蝣子，生死⑤何纷纷④。
神仙篇（隋·卢思道）　　押齐韵	浮生厌危促①，名岳共招携。云轩游紫府，风驷上②丹梯。时见辽东鹤，屡听淮③南鸡。玉英持作宝，琼实采成蹊。飞策扬轻电，悬旌耀彩霓。瑞银光似烛，灵石髓如泥。寥廓鸾山右，超越（文苑作遥）凤洲西④。一丸应五色，持此救人（文苑作行）迷⑤。
河曲游（隋·卢思道）　　押尤韵	邺下盛风流，河曲有名游。应徐托后乘，车马践芳洲。丰茸鸡树密，遥裔鹤烟稠。日上疑高盖，云起类重楼。金羁自沃若，兰棹成夷犹。悬匏动清吹，采菱转艳讴。还珂响金埒，归袂拂铜沟。唯畏三春晚，勿言千载忧①。
城南隅燕（隋·卢思道）　　押真韵	城南气初新，才王邀故人。轻盈云映日，流乱鸟啼春。花飞北寺道，弦散南漳滨。舞动淮南袖，歌扬齐后尘。骈镳歇夜马，接轸限归轮。公孙饮弥月，平原燕浃旬。即是消声地，何须远避秦①。
蜀国弦（隋·卢思道）　　押萧韵	西蜀称天府，由来擅沃饶。云①浮玉垒夕，日映锦城朝。南寻九折路，东上七星桥。琴心若易解，令客岂难要②。
采莲曲（隋·卢思道）　　押支韵	曲浦戏妖姬，轻盈不自持。擎荷爱圆水，折藕弄长丝。佩动裙风入，妆销粉汗滋。菱歌惜不唱，须待暝归时①。
驾出圜丘诗（隋·卢思道）	开年简时日，上辛称天吉。平晓禁门开，隐隐乘舆出。乘舆出九重，金根御六龙。章移千乘动，旆举百神从。黄麾引朱节，灵鼓应华钟。神歌己相续，神光复相烛。风中飏紫烟，坛上埋苍玉①。
赠李若诗（隋·卢思道）　　押齐韵	初发清漳浦，春草正萋萋。今留素浐曲，夏木已成蹊。尘起星桥外，日落宝坛西。庭空野烟合，巢深夕羽迷。短歌虽制素，长吟当执圭。寄语当窗妇，非关惜马蹄①。
赠李行之（隋·卢思道）	水衡称逸人，潘杨有世亲。形骸预冠盖，心思出风云①。
赠别司马幼之南聘诗（隋·卢思道）	故交忽千里，輶车莅远盟。幽人重离别，握手送征行①。晚霞浮极浦，落景照长亭。拂雾扬龙节，乘风溯鸟旌。楚山百重映，吴江万仞清。夏云楼阁起，秋涛帷盖生。陆侯持宝剑，终子系长缨。前修亦（文苑作尔）何远，君其勖令名②。
赠刘仪同西聘诗（隋·卢思道）　　押齐韵	开邛昔柔远，宾越尽招携。岂若驰天①使，玉节抚遗黎。五祠②临渭北，双岭带崤西。故关看金马，馀坛听宝鸡。垂丝被柳陌，落锦覆桃蹊。分祛俄易惨，离思实③难赍。极野云峰合，遥嶂日轮低。尘暗前旌没，风长后骑嘶。灞陵行可望，函谷久无泥。须君劳旋罢，春草共萋萋④。
游梁城诗（隋·卢思道）　　押鱼韵	扬镳历汴浦，回扈①入梁墟。汉藩文雅地，清尘暧（文苑作暖）有馀。宾游多任侠，台苑盛簪裾。叹息徐公剑，悲凉邹子书。亭皋落照尽，原野Ё寒初。鸟散②空城夕，烟销古树疏。东越严子陵，西蜀马相如。修名窃所慕③，长谣独课虚④。
从驾经大慈照寺诗（隋·卢思道）　　押蒸韵	玄风冠东户，内范轶西陵。大川开宝匣，福地下金绳。绣栭高可映，画栱叠相承。日驭非难假，云师本易凭。阳室疑停燧，阴轩类鉴冰。迥题飞星没，长楣宿露凝。旌门曙光转，辇道夕云蒸。山只效灵物，水若荐休徵。薄命①叨恩纪，微躯②窃自陵。优游徒可恃，周赉永难胜③。
春夕经行留侯墓诗（隋·卢思道）　　押冬韵	少小期黄石，晚年游赤松。应成羽人去，何忽掩高封。疏芜枕绝野，逦迤带斜峰。坟荒隧①草没，碑碎石苔浓。狙②秦怀猛气，师汉挺柔容。盛烈芳千祀，深泉闭九重。夕风吟宰树，迟光落下舂③。遂令怀古客，挥泪独无踪④。
上已禊饮诗（隋·卢思道）　　押真韵	山泉好风日①，城市厌②嚣尘。聊持③一樽酒，共寻千里春。馀光下幽桂，夕吹舞青蘋。何言④出关后，重有入林人⑤。
夜闻邻妓诗（隋·卢思道）　　押冬韵	倡楼对三道，吹台临九重。笙随山上鹤，笛奏水中龙。怨歌声易①断，妙舞态难逢②。谁能暂留客③，解佩一相从④。
赋得珠帘诗（隋·卢思道）　　押真韵	鉴帷明欲敛，照槛色将晨。可怜疏复密，隐映当窗人。浮清带远吹，含光动细尘。落花时屡拂，会待玉阶春①。
