和何得之岁暮见寄（元·杜本）　　五言律诗　押寒韵	篱下菊斑斑，犹能傲岁寒。春风谁主宰，客梦自清安。此老怜才乏，何人惜夜阑。管宁如可友，浮海竟谁叹。
寄题竹轩（元·杜本）　　五言律诗　押侵韵	绿竹翛翛处，华轩楚楚深。莫留雏凤宿，晓听蛰龙吟。月进窗棂影，云移几席阴。居然淇澳趣，莫使俗尘侵。
和潘明之（元·杜本）　　五言律诗　押东韵	欲试淮南术，难期海上翁。自为吴地客，不记楚人风。蒲黍随时白，葵榴过眼红。独醒还独醉，至竟与谁同。
暮春遣怀（元·杜本）　　七言律诗　押麻韵	东风吹尽满林花，底用无涯始有涯。饮量素悭难止酒，客怀虽恶少思家。已谙世味荼如荠，未信仙人枣似瓜。为爱绿阴春昼永，出门转觉换年华。
中秋寄高混朴（元·杜本）　　七言律诗　押尤韵	去年见月转添愁，满地于戈未肯休。动有万人涂草莽，岂论斗米换衾裯。今宵相对还青眼，后夜相逢又白头。尤恨故人难会合，若为把酒独登楼。
秋兴（元·杜本）　　七言律诗　押萧韵	两峰高耸并秋霄，双涧分流送晚潮。月冷谁家频捣练，风清何处细吹箫。七闽荔子丹砂颗，五岭梅花玉雪标。黄鹄不来空怅望，自歌雅曲和渔樵。
送李伯循（元·杜本）　　七言律诗　押尤韵	已闻盘谷最深幽，便欲从君遂此游。春气和柔朝采药，秋风清彻夜行舟。岩花冉冉难留客，汀草纤纤独倚楼。杨柳新条不堪折，只须买酒换离愁。
送赵伯常归扬州（元·杜本）　　七言律诗　押支韵	往年初记抵京师，正类机云入洛时。未说鳌头分赤管，先传马首控青丝。琼楼旧醉家家酒，金刹新题处处诗。此日扬州归去路，锦衣光采照城池。
寄杨仲弘（元·杜本）　　七言律诗　押先韵	老来自爱黄叔度，少日真期鲁仲连。高卧独无田二顷，曳裾谁有客三千。苍波渺渺浮鸥鹭，白日翩翩换岁年。却忆江东杨少尹，剧谈终夜不成眠。
酬虞伯生（元·杜本）　　七言律诗　押侵韵	满窗风雨夜沈沈，独对青灯万古心。徒有故人怜白发，自无奇骨换黄金。茅檐暖日须看献，竹简遗经正用寻。岂愧执鞭非所好，甘随麋鹿放山林。
题周南翁悠然阁（元·杜本）　　七言律诗　押覃韵	大江之东彭蠡南，周家高阁与云参。秋风猿狖啼青嶂，暮雨蛟龙起碧潭。绕屋千丛生杞菊，过檐百尺长楩楠。何时共此登临乐，指点山川与纵谈。
廉州阻风（元·杜本）　　七言律诗　押尤韵	自因三宿致绸缪，岂为狂风殢客舟。乡国十年思旧雨，河山千里记前游。黄云酿雪禾将刈，绿雾笼霞橘渐收。离别不堪成怅望，雁孤飞起白蘋洲。
天冠山同诸学士为祝丹阳赋（录五） 鍊丹井（元·杜本）　　五言绝句　押麻韵	凿石通泉脉，铸鼎鍊丹砂。丹成骑鹤去，满地生云霞。
寒月泉（元·杜本）　　五言绝句　押阳韵	齧冰激齿颊，咽雪涤胃肠。此水若寒月，饮之年命长。
题吉学士墨梅（元·杜本）　　七言绝句　押阳韵	冰雪肌肤铁石肠，翩翩和月按《霓裳》。临窗喜见横斜影，却有王孙翰墨香。
题江村图（元·杜本）　　七言绝句　押删韵	树林蓊蔚水萦环，知是江南何处山。几载幽并倦行役，按图欲借屋三间。
题小景（元·杜本）　　七言绝句　押微韵	秋云满地夕阳微，黄叶萧萧雁正飞。最是江南好天气，村醪初熟蟹螯肥。
题道士许冰壶游维扬诗卷（元·杜本）　　七言绝句　押歌韵	淮南秋月漾清波，照彻冰壶秋气多。二十四桥春似海，羡君骑鹤数经过。
题薛玄卿琼林台（元·杜本）　　押尤韵	上清山灵都，凡山无与俦。况兹琼林台，云气接神州。岳祇扶地轴，鬼神动天球。珠树粲瑶墄，玉衡悬清秋。层冰积高寒，梯构靡其由。外史洞玄化，于焉采真游。珊珊紫霞佩，皎皎明月钩。手携千岁藤，足弄万里流。仰观玄圃运，俯视八极周。缅彼大瀛海，变灭多浮沤。悠然发舒啸，永矣此夷犹。
武当山张真人奉诏祷雨有应（元·杜本）　　押先韵	祈禳致风雨，传说自古先。京师大旱连二年，地蒸热气如云烟。林林嘉木尽槁死，毋论黍稷生秋田。武当真人张洞渊，为道有心如铁坚。粗衣恶食夜不眠，两眼奕奕光射天。天子有敕丞相宣，诏君祷雨纾忧煎。君坐默不语，奏达虚皇前。将吏驱蛟龙，雷电相后先。童童雨脚昼夜悬，平地涌水如通川。稚禾出土芃芃然，小草大木争芳妍。都人士女喜欲颠，谓君直是真神仙。我今为作喜雨篇，勒诸厓石千年传。
