禹玉牒辞（先秦·无名氏）　　押庚韵	祝融司方发其英，沐日浴月百宝生①。
衣铭（先秦·无名氏）　　押寒韵	桑蚕苦，女工难，得新捐故后必寒。
书车（先秦·无名氏）　　押遇韵	出畏之，入惧之。
击壤歌（先秦·无名氏）	日出而作。日入而息。凿井而饮。耕田而食。帝力于我何有哉①。
赓歌（先秦·无名氏）	股肱喜哉。元首起哉。百工熙哉①。元首明哉。股肱良哉。庶事康哉②。元首丛脞哉。股肱惰哉。万事堕哉③。
南风歌（先秦·无名氏）	南风之薰兮，可以解吾民之愠兮，南风之时兮。可以阜吾民之财兮①。
五子歌（先秦·无名氏）	皇祖有训。民可近。不可下。民惟邦本。本固邦宁。予视天下愚夫愚妇。一能胜予。怨岂在明。不见是图。予临兆民。懔乎若朽索之驭六马。为人上者。奈何不敬①。训有之。内作色荒。外作禽荒。甘酒嗜音。峻宇雕墙。有一于此。未或不亡②。惟彼陶唐。有此冀方。今失厥道。乱其纪纲。乃底灭亡（○同上）。明明我祖。万邦之君。有典有则。贻厥子孙。关石和钧。王府则有。荒坠厥绪。覆宗绝祀（○同上）。呜呼曷归。予怀之悲。万姓仇予。予将畴依。郁陶乎予心。颜厚有忸怩。弗慎厥德。虽悔可追③。
夏人歌（先秦·无名氏）	江水沛兮。舟楫败兮。我王废兮。趣归于薄。薄亦大兮①。乐兮乐兮。四牡蹻兮。六辔沃兮。去不善而从善。何不乐兮②。
采薇歌（先秦·无名氏）	登彼西山兮采其薇矣。以暴易暴兮不知其非矣。神农虞夏忽焉没兮。我适归矣。吁嗟徂兮命之衰矣①。
梦歌（先秦·无名氏）	济洹之水。赠我以琼瑰。归乎归乎。琼瑰盈吾怀乎①。
去鲁歌（先秦·无名氏）	彼妇之口。可以出走。彼妇之谒。可以死败。盖优哉游哉。维以卒岁①。
曳杖歌（先秦·无名氏）	泰山其颓乎。梁木其坏乎。哲人其萎乎①。
南蒯歌（先秦·无名氏）	我有圃。生之杞乎。从我者子乎。去我者鄙乎。倍其邻者耻乎。已乎已乎。非吾党之士乎①。
成人歌（先秦·无名氏）	蚕则绩而蟹有匡。范则冠而蝉有绥。兄则死而子皋为之衰①。
黄鹄歌（先秦·无名氏）	悲夫黄鹄之早寡兮。七年不双。宛颈独宿兮不与众同。夜半悲鸣兮想其故雄。天命早寡兮独宿何伤。寡妇念此兮泣下数行。呜呼哀哉兮死者不可忘。飞鸟尚然兮况于贞良。虽有贤雄兮终不重行①。
宋城者讴（先秦·无名氏）	睅其目，皤其腹。弃甲而复。于思于思，弃甲复来①。从其有皮。丹漆若何②。
穗歌（先秦·无名氏）	穗乎不得穫。秋风至兮殚零落。风雨之弗杀也。太上之靡弊也①。
岁莫歌（先秦·无名氏）	岁已莫矣。而禾不穫。忽忽兮若之何。岁已寒矣。而役不罢。惙惙兮如之何①。
齐庄公歌（先秦·无名氏）	已哉已哉，寡人不能说也，尔来为①。
莱人歌（先秦·无名氏）	景公死乎不与埋。三军之士不与谋。师乎师乎。何党之乎①。
