采菱曲二首（南北朝·江洪）　　押灰韵	风生绿叶聚，波动紫茎开。含花复含实，正待佳人来①。
渌水曲二首（南北朝·江洪）　　押屑韵	潺湲复皎洁，轻鲜自可悦。横使有情禽，照影遂孤绝①。
秋风曲三首（南北朝·江洪）　　押霰韵	先拂连云台，罢入迎风殿。已折池中荷，复驱檐里燕①。
胡笳曲二首（南北朝·江洪）　　押漾韵	藏器欲邀时，年来不相让。红颜征戍儿，白首边城将①。
咏歌姬诗（南北朝·江洪）　　押俭韵	宝镊间珠花，分明靓妆点。薄鬓约微黄，轻红澹铅脸。发言芳已驰，复加兰蕙染。浮声易伤叹，沈唱安而险。孤转忽徘徊，双蛾乍舒敛。不持全示人，半用轻纱掩①。
咏舞女诗（南北朝·江洪）　　押支韵	腰纤蔑楚媛，体轻非赵姬。映襟阗宝粟，缘肘挂珠丝。发袖已成态，动足复含姿。斜睛若不眄，娇转复迟疑。何惭云鹤起，讵减凤惊时①。
和新浦侯斋前竹诗（南北朝·江洪）	本生出高岭，移赏入庭蹊。檀栾拂桂橑，蓊葱傍朱闺。夜条风析析，晓叶露凄凄。箨紫春莺思，筠绿寒蛩啼。不惜凌云茂，遂听群雀栖。愿抽一茎实，试看翔凤来①。
和新浦侯咏鹤诗（南北朝·江洪）　　押先韵	闲园有孤鹤，摧藏信可怜。宁望春皋下，刷羽玩花钿。何时秋海上，照影弄长川。晓鸣动遥怨，夕唳感孀眠。哀咽芳林右，悯默华池边。犹冀凌云志，万里共翩翩①。
为傅建康咏红笺诗（南北朝·江洪）	杂彩何足奇，惟红偏作可。灼烁类蕖开，轻明似霞破。镂质卷芳脂，裁花承百和。且传别离心，复是相思里。不值情牵人，岂识风流座①。
江行诗（南北朝·江洪）　　押文韵	日没风光静，远山清无云。潮落晚洲出，浪罢沙成文。挟琴上高岸，望月弹明君。去家未千里，断绝怨离群①。
咏荷诗（南北朝·江洪）　　押质韵	泽陂有微草，能花复能实。碧叶喜翻风，红英宜照日。移居玉池上，托根庶非失。如何霜露交，应与飞蓬匹①。
咏美人治妆（南北朝·江洪）　　押铣韵	上车畏不妍，顾盻更斜转。大恨画眉长，犹言颜色浅①。
