美女篇二首（南北朝·魏收）　　押微韵	楚襄游梦去，陈思朝洛归。参差结旌旆，掩霭顿骖騑。变化看台曲，骇散属川沂。仍令赋神女，俄闻要虙妃。照梁何足艳，升霞反奋飞。可言不可见，言是复言非①。
永世乐（南北朝·魏收）　　押盐韵	绮窗斜影入，上客酒须添。翠羽方开美，铅华汗不沾。关门今可下，落珥不相嫌①。
棹歌行（南北朝·魏收）　　押尤韵	雪溜添春浦，花水足新流。桃发武陵岸，柳拂武昌楼①。
挟琴歌（南北朝·魏收）　　押阳韵	春风宛转入曲房，兼送小苑百花香。白马金鞍去未返，红妆玉箸下成行①。
后园宴乐诗（南北朝·魏收）　　押东韵	束马轻燕外，猎雉陋秦中。朝车转夜毂，仁旗指旦风。式宴临平圃，展卫写屠穹。积崖疑造化，导水逼神功。树静归烟合，帘疏返照通。一逢尧舜日，未假北山丛①。
喜雨诗（南北朝·魏收）	霞晖染刻栋，础润上雕楹。神山千叶照，仙草百花荣。泻溜高齐响，添池曲岸平。滴下如珠落，波回类璧成。气调登万里，年和欣百灵。定知丹甑出，何须铜雀鸣①。
看柳上鹊诗（南北朝·魏收）	背①岁心能识，登春巢自成。立枯随雨霁，依枝须月明。疑是凋笼出，当由抵玉惊。间关拂条软，回复振毛轻。何独离娄意，傍人但未听②。
晦日泛舟应诏诗（南北朝·魏收）　　押遇韵	袅袅春枝弱，关关新鸟呼。棹唱忽逶迤，菱歌时顾慕。睿赏芳月色，宴言忘日暮。游豫慰人心，照临康国步①。
月下秋宴诗（南北朝·魏收）　　押虞韵	此夕甘言宴，月照露方涂。使星疑向蜀，剑气不关吴。良交契金水，上客慰萱苏。何必应刘辈，还来游邺都①。
五日诗（南北朝·魏收）　　押文韵	麦凉殊未毕，蜩鸣早欲闻。暄林尚黄鸟，浮天已白云。辟兵书鬼字，神印题灵文。因想苍梧郡，兹日祀东君①。
庭柏诗（南北朝·魏收）　　押冬韵	古松图偃盖，新柏写炉峰。凌寒翠不夺，迎暄绿更浓。茹叶轻沈体，咀实化衰容。将使中台麝，违山能见从①。
蜡节诗（南北朝·魏收）　　押庚韵	凝寒迫清祀，有酒宴嘉平。宿心保所道，藉此慰中情①。
七月七日登舜山诗（南北朝·魏收）　　押歌韵	述职无风政，复路阻山河。还思麾盖日，留谢此山阿①。
论叙裴伯茂诗（南北朝·魏收）　　押庚韵	临风想玄度，对酒思公荣（○魏书裴伯茂传）。
大射赋诗（南北朝·魏收）　　押寒韵	尺书徵建邺，折简召长安（○北史魏收传）。
