同张深秀才游华严寺（唐·冷朝阳）　　五言律诗　押删韵	同游云外寺，渡水入禅关。立埽窗前石，坐看池上山。有僧飞锡到，留客话松间。不是缘名利，好来长伴闲。
中秋与空上人同宿华严寺（唐·冷朝阳）　　五言律诗　押东韵	埽榻相逢宿，论诗旧梵宫。磬①声迎鼓尽，月色过山穷。庭簇②安禅草，窗飞带火虫。一宵何惜别，回首隔秋风。
宿柏岩寺（唐·冷朝阳）　　五言律诗　押东韵	幽寺在岩中，行唯一径通。客吟孤峤月，蝉噪数枝风。秋色生苔砌，泉声入梵宫。吾师修道处，不与世间同。
瀑布泉（唐·冷朝阳）　　五言律诗　押先韵	潺湲半空里，霖落石房边。风激珠光碎，山欹练影偏。急流难起浪，迸沫祗如烟。自古惟今日，凄凉一片泉。
冬日逢冯法曹话怀（唐·冷朝阳）　　五言律诗　押寒韵	分襟二年内，多少事相干。礼乐风全变，尘埃路渐难。秋林新叶落，霜月满庭寒。虽喜逢知己，他乡岁又阑。
送唐六赴举（唐·冷朝阳）　　五言律诗　押删韵	秋色生边思，送君西入关。草衰空大野，叶落露青山。故国烟霞外，新安道路间。碧霄知己在①，香桂月中攀。
送远上人归京（唐·冷朝阳）　　五言律诗　押侵韵	夏腊岁方深，思归彻曙吟。未离销雪院，已有过云心。寒磬清函谷，孤钟宿华阴。别京游旧寺，月色似双①林。
别郎上人（唐·冷朝阳）　　五言律诗　押微韵	过云寻释子，话别更依依。静室开来久，游人到自稀。触风香气尽，隔水磬声微。独傍孤松立，尘中多是非。
送红线（唐·冷朝阳）　　七言绝句　押尤韵	采菱歌怨木兰舟，送客魂销百尺楼。还似洛妃乘雾去，碧天无际水空①流。
立春（唐·冷朝阳）　　五言排律　押真韵	玉律传佳节，青（一作春）阳应此（一作北）辰。土牛呈岁稔，綵燕表年春。腊尽星回次，寒馀月建寅。风光行（一作何）处好，云物望中新。流水初销冻，潜鱼欲振鳞。梅花将柳色，偏思越乡人。
