唐明堂乐章 外办将出（唐·武则天）　　五言律诗　押真韵	总章陈昔典，衢室礼惟神。宏规则天地，神用叶陶钧。负扆三春旦，充庭万宇宾。顾己诚虚薄，空惭驭①兆人。
唐大飨拜洛乐章 拜洛（唐·武则天）　　五言律诗　押支韵	菲躬承睿顾，薄德忝坤仪。乾乾遵后命，翼翼奉先规。抚俗勤虽切，还淳化尚亏。未能弘至道，何以契明祇。
早春夜宴（唐·武则天）　　五言律诗　押微韵	九春开上节，千门敞夜扉。兰灯吐新燄，桂魄朗圆辉。送酒惟须满，流杯不用稀。务使霞浆兴，方乘汎洛归。
赠胡天师（唐·武则天）　　五言律诗　押麻韵	高人叶高志，山服往山家。迢迢间风月，去去隔烟霞。碧岫窥玄洞，玉灶鍊丹砂。今日星津上，延首望灵槎。
石淙（即平乐涧）（唐·武则天）　　七言律诗　押微韵	三山十洞光玄箓，玉峤金峦镇紫微。均露均霜标胜壤，交风交雨列皇畿。万仞高岩藏日色，千寻幽涧浴云衣。且驻欢筵赏仁智，雕鞍薄晚杂尘飞。
腊日宣诏幸上苑（唐·武则天）　　五言绝句　押支韵	明朝游上苑，火急报春知。花须连夜发，莫待晓风吹。
赐姚崇（唐·武则天）　　五言绝句　押纸韵	依依柳色变，处处春风起。借问向盐池，何如游浐水？
唐享昊天乐 第八（唐·武则天）　　七言绝句　押庚韵	奠璧郊坛昭大礼，锵金拊石表虔诚。始奏承云娱帝赏，复歌调露畅韶英。
唐大飨拜洛乐章 齐和（唐·武则天）　　七言绝句　押阳韵	沈潜演贶分三极，广大凝祯总万方。既荐羽旌文化启，还呈干戚武威扬。
唐享昊天乐 第四（唐·武则天）　　五言排律　押东韵	巍巍睿业广，赫赫圣基隆。菲德承先顾，祯符萃眇躬。铭开武岩侧，图荐洛川中。微诚讵幽感，景命忽昭融。有怀惭紫极，无以谢玄穹。
从驾幸少林寺（唐·武则天）　　五言排律	陪銮游禁苑，侍赏出兰闱。云偃攒峰盖，霞低插浪旂。日宫疏涧户，月殿启岩扉。金轮转金地，香阁曳香衣。铎吟轻吹发，幡摇薄雾霏。昔遇焚芝火，山红连（一作匝）野飞。花台无半影，莲塔有全辉。实赖能仁力，攸资善世威。慈缘兴福绪，于此罄（一作欲）归依。风枝不可静，泣血竟何追。
听《华严》诗（唐·武则天）　　五言排律　押先韵	法席开广方，缁徒满胜筵。圣众随云集，天华照日鲜。座分千叶华，香引六铢烟。钟声闻有顶，梵响韵无边。一音宣妙义，七处重弘宣。唯心明八会，涤虑体三禅。既悟无生灭，常欣佛现前。
唐享昊天乐 第一（唐·武则天）　　押支韵	太阴凝至化，真耀蕴轩仪。德迈娥台敞，仁高姒幄披。扪天遂启极，梦日乃升曦。
唐享昊天乐 第二（唐·武则天）　　押东韵	瞻紫极，望玄穹。翘至恳，罄深衷。听虽远，诚必通。垂厚泽，降云宫。
唐享昊天乐 第九（唐·武则天）　　押麌韵	荷恩承顾托，执契恭临抚。庙略静边荒，天兵曜神武。有截资先化，无为遵旧矩。祯符降昊穹，大业光寰宇。
唐享昊天乐 第十二（唐·武则天）　　押微韵	式乾路，辟天扉。回日驭，动云衣。登金阙，入紫微。望仙驾，仰恩徽。
唐大飨拜洛乐章 致和（唐·武则天）　　押阳韵	神功不测兮运阴阳，包藏万宇兮孕八荒。天符既出兮帝业昌，愿临明祀兮降祯祥。
唐大飨拜洛乐章 德和（唐·武则天）　　押纸韵	夕惕同①龙契，晨兢当凤扆。崇儒习旧规，偃伯循先旨。绝壤飞冠盖，遐区丽山水。幸承三圣馀，忻属千年始。
唐大飨拜洛乐章 归和（唐·武则天）　　押蒸韵	调云阕兮神座兴，骖云驾兮俨将升。腾绛霄兮垂景祜，翘丹恳兮荷休徵。
游九龙潭（唐·武则天）　　押冬韵	山窗游玉女，涧户对琼峰。岩顶翔双凤，潭心倒九龙。酒中浮竹叶，杯上写芙蓉。故验家山赏，惟有风入松①。
