圣泉宴（唐·王勃）　　五言律诗　押先韵	披襟乘石磴，列籍①俯春泉。兰气熏山酌，松声韵野弦。影飘垂叶外，香度落花前。兴洽林塘晚，重岩起夕烟。
寻道观（唐·王勃）　　五言律诗　押虞韵	芝①廛光分野，蓬阙盛规模。碧坛清桂阈②，丹洞肃松枢。玉笈三山记，金箱五岳图。苍虬不可得③，空望白云衢。
散关晨度（唐·王勃）　　五言律诗　押灰韵	关山凌旦开，石路无尘埃。白马高谭去，青牛真气来。重门临巨壑，连栋起崇隈。即今扬策度，非是弃繻回。
别薛华（唐·王勃）　　五言律诗　押真韵	送送多穷路，遑遑独问津。悲凉千里道，悽断百年身。心事同漂泊，生涯共苦辛。无论去与住，俱是梦中人。
重别薛华（唐·王勃）　　五言律诗　押先韵	明月沈珠浦，秋风濯锦川。楼台临绝岸，洲渚亘长天。旅①泊成千里，栖遑②共百年。穷途唯有泪，还望独潸然。
游梵宇三觉寺（唐·王勃）　　五言律诗　押侵韵	杏①阁披青磴，雕台控紫岑。叶齐山路狭②，花积野坛深。萝幌栖禅影，松门听③梵音。遽忻陪妙躅，延赏④涤烦襟。
麻平晚行（唐·王勃）　　五言律诗　押庚韵	百年怀土望，千里倦游情。高低寻戍道，远近听泉声。涧叶才分色，山花不辨名。羁心何处尽？风急暮猿清。
送卢主簿（唐·王勃）　　五言律诗　押微韵	穷途非所恨，虚室自相依。城阙居年满，琴尊俗事稀。开襟方未已，分袂忽多违。东岩富松竹，岁暮幸同归。
饯韦兵曹（唐·王勃）　　五言律诗　押支韵	征骖临野次，别袂惨江垂。川霁浮烟敛，山明落照移。鹰风凋晚叶，蝉露泣①秋枝。亭皋分远望，延想间云涯。
白下驿饯唐少府（唐·王勃）　　五言律诗　押先韵	下驿穷交日，昌亭旅食年。相知何用早，怀抱即依然。浦楼低晚照，乡路隔风烟。去去如何道，长安在日边。
杜少府之任蜀州（一作川）（唐·王勃）　　五言律诗　押真韵	城阙辅三①秦，风烟望五津。与君离别意，同②是宦游人。海内存知己，天涯若比邻。无为在岐路，儿女共沾巾。
仲春郊外（唐·王勃）　　五言律诗　押真韵	东园垂柳径，西堰落花津。物色连三月，风光绝①四邻。鸟飞村觉曙，鱼戏水知春。初晴山院里，何处染嚣尘。
郊兴（唐·王勃）　　五言律诗　押鱼韵	空园歌独酌，春日赋闲居。泽兰侵小径，河柳覆长渠。雨去花光湿，风归叶影疏。山人不惜醉，唯畏绿尊虚。
郊园即事（唐·王勃）　　五言律诗　押侵韵	烟霞春旦①赏，松竹故年心。断山疑画障，县溜泻鸣琴。草遍南亭合，花开②北院深。闲居饶酒赋，随兴欲抽簪。
观佛迹寺（唐·王勃）　　五言律诗　押鱼韵	莲座神容俨①，松崖圣趾②馀。年长金迹浅，地久石文③疏。颓华临曲磴，倾影赴前除。共嗟④陵谷远，俄视化城⑤虚。
山居晚眺赠王道士（唐·王勃）　　五言律诗　押文韵	金坛疏俗宇，玉洞侣仙群。花枝栖晚露①，峰叶度晴云。斜②照移山影，回沙拥籀③文。琴尊方待兴，竹树已迎曛。
春日还郊（唐·王勃）　　五言律诗　押先韵	闲情兼嘿语①，携杖赴岩泉。草绿萦新带，榆青缀古钱。鱼床侵岸水，鸟路入山烟。还题平子赋，花树满春田。
对酒春园作（唐·王勃）　　五言律诗　押阳韵	投簪下山阁，携酒对河梁。狭水牵长镜，高花送断香。繁莺歌似曲，疏蝶舞成行。自然催一醉，非但阅年光。
观内怀仙（唐·王勃）　　五言律诗　押齐韵	玉架残书隐，金坛旧迹①迷。牵花寻紫涧②，步叶下清溪。琼浆犹类乳，石髓尚如泥。自能成羽翼，何必仰③云梯。
秋日别王长史（唐·王勃）　　五言律诗　押先韵	别路馀①千里，深恩重百年。正悲西候日，更动北梁②篇。野色笼寒雾，山光敛暮烟。终知难再奉，怀德自潸然。
