送春词（唐·王涯）　　五言绝句　押微韵	日日人空老，年年春更归。相欢在尊酒，不用惜花飞。
塞上曲二首（唐·王涯）　　五言绝句　押庚韵	天骄远塞行，出鞘宝刀鸣。定是酬恩日，今朝觉命轻。
陇上行（唐·王涯）　　五言绝句　押尤韵	负羽到边州，鸣笳度陇头。云黄知塞近，草白见边秋。
思君恩（唐·王涯）　　五言绝句　押真韵	鸡鸣天汉晓，莺语禁林春。谁入巫山梦，唯应洛水神。
春闺思（唐·王涯）　　五言绝句　押灰韵	雪尽萱抽叶，风轻水变苔。玉关音信断，又见发庭梅。
闺人赠远五首（唐·王涯）　　五言绝句　押真韵	花明绮陌春，柳拂御沟新。为报辽阳客，流芳①不待人。
宫词（唐·王涯）　　七言绝句　押阳韵	帘外微明烛下妆，殿明放锁待君王。玉阶地冷罗鞋薄，众里偷身倚玉床。
从军词三首 其三（唐·王涯）　　七言绝句　押微韵	旄头夜落捷书飞，来奏金门著赐衣。白马将军频破敌，黄龙戍卒几时归。
塞下曲二首（唐·王涯）　　七言绝句　押庚韵	辛勤几出黄花戍，迢遰初随细柳营。塞晚每愁残月苦，边愁更逐断蓬惊①。
平戎辞（唐·王涯）　　七言绝句　押庚韵	太白秋高助发兵，长风夜卷虏尘清。男儿解却腰间剑，喜见从王道化平。
秋思二首 其一（唐·王涯）　　七言绝句　押微韵	网①轩凉吹动轻衣，夜听更长玉漏稀。月度天河光转湿，鹊惊秋树叶频飞。
汉苑行（唐·王涯）　　七言绝句　押萧韵	二月春风遍柳条，九天仙乐奏云韶。蓬莱殿后①花如锦，紫阁阶前雪未销。
献寿辞（唐·王涯）　　七言绝句　押冬韵	宫殿参差列九重，祥云瑞气捧阶①浓。微臣欲献唐尧寿，遥指南山对衮龙。
秋思赠远二首（唐·王涯）　　七言绝句　押支韵	当年只自守空帷①，梦里关山觉别离。不见乡书传雁足，唯看新月吐蛾眉。
春闺思（唐·王涯）　　七言绝句　押支韵	愁见游空百尺①丝，春风挽②断更伤离。闲⑤花落尽④青③苔地，尽日无人谁得知。
望禁门松雪（唐·王涯）　　五言排律　押冬韵	宿云开霁景，佳气此时浓。瑞雪凝清禁，祥烟幂小松。依稀鸳瓦出，隐映凤楼重。金阙晴光照，琼枝瑞色封。叶铺全类玉，柯偃乍疑龙。讵比寒山上，风霜老昔容。
广宣上人以诗贺放榜和谢（唐·王涯）　　押支韵	延英面奉入春闱，亦选功夫亦选奇。在冶只求金不耗，用心空学秤无私。龙门变化人皆望，莺谷飞鸣自有时。独喜至公谁是證，弥天上人与新诗。
宫词三十首（唐·王涯）　　押阳韵	白①人宜著紫衣裳，冠子梳头双眼长。新睡起来思旧梦，见人忘却道胜常。
郊庙歌辞 享惠昭太子庙乐章 送神（唐·王涯）	威仪毕陈，备乐将阕。苞茅酒缩，膋萧香彻。宫臣展事，肃雍在列。迎精送往，厥鉴昭晰。
相和歌辞 从军行三首（唐·王涯）　　押寒韵	旌①甲从军久，风云识阵难。今朝韩信计，日下斩成安。
