道观中和潘丞观青溪图联句（唐·皎然）　　五言律诗　押寒韵	画得青溪样，宜于紫府观（昼）。日明烟霭薄，风落水容宽（万）。画野高低接，商工井邑攒（述）。疏川因稼穑，出使问艰难（昼）。
喜昼公寻山回相遇联句一首（唐·皎然）　　五言律诗　押冬韵	几年无此会，今日喜相从（述）。后夏仍多病，前书达几封（昼）。水华迎暮雨，松吹引疏钟（昼）。出谷随初月，寻僧说五峰（述）。
酬秦山人系题赠（唐·皎然）　　五言律诗　押微韵	出斋步杉影，手自开禅扉。花满不污地，云多从触衣。思山石藓净，款客露葵肥。果得宗居士，论心到极微。
奉酬袁使君高寺院新亭对雨（唐·皎然）　　五言律诗　押东韵	兹亭迹素浅，胜事并随公。法界飘香雨，禅窗洒竹风。浮烟披夕景，高鹤下秋空。冥寂四山久，宁期此会同。
奉酬颜使君真卿见过郭中寺寺无山水之赏故予述其意以荅焉（唐·皎然）　　五言律诗　押删韵	州西柳家寺，禅舍隐人间。證性轻观水，栖心不买山。履声知客贵，云影悟身闲。彦会前贤事，方今可得攀。
酬乌程杨明府华雨后小亭对月见呈（唐·皎然）　　五言律诗　押庚韵	夜凉喜无讼，霁色摇闲情。暑退不因雨，陶家风自清。凝弦停片景，发咏静秋声。何事禅中隐，诗题忽记名。
自苏州访医回酬卢士关判官见赠（唐·皎然）　　五言律诗　押文韵	寻医初疾理，忽忆故山云。远访桑公子，还依柳使君。周旋承惠爱，佩服比兰薰。从事因高唱，秋风起处闻。
题沈（一作雷）道士新亭（唐·皎然）　　五言律诗　押齐韵	何处好攀跻，新亭俯旧溪。坐中千里近，檐下四山低。小浦依林曲，回塘绕郭西。桃花春满地，归路莫相迷。
送卢仲舒移家海陵（唐·皎然）　　五言律诗　押麻韵	世故多离散，东西不可嗟。小秦非本国，楚塞复移家。海岛无邻里，盐居少物华。山中吟夜月，相送在天涯。
陪卢使君登楼送方（一作万）巨之还京（唐·皎然）　　五言律诗　押寒韵	万里汀洲上，东楼欲别难。春风潮水漫，正月柳条寒。旅逸逢渔浦，清高爱鸟冠。云山宁不起，今日向长安。
同裴录事楼上望（唐·皎然）　　五言律诗　押庚韵	退食高楼上，湖山向晚晴。桐花落万井，月影出重城。水竹凉风起，帘帏暑气清。萧萧独无事，因见涖人情。
送秘上人游京（唐·皎然）　　五言律诗　押东韵	共君方异路，山伴与谁同。日冷行人少，时清古镇空。煖瓶和雪水，鸣锡带江风。撩乱终南色，遥应入梦中。
赋得（一本此下有巴峡二字）啼猿送客（唐·皎然）　　五言律诗　押侵韵	万里巴江外①，三声月②峡深。何年有此路，几客共沾襟。断壁④分垂③影，流泉入苦吟。悽凉离别后⑤，闻此更伤心。
南楼望月（唐·皎然）　　五言律诗　押尤韵	夜月家家望，亭亭爱此楼。纤云溪上断，疏柳影中秋。渐映千峰出，遥分万派流。关山谁①复见，应独起边愁。
寻陆鸿渐不遇（唐·皎然）　　五言律诗　押麻韵	移家虽①带郭，野径入桑麻。近种篱边菊，秋来未著花。扣门无犬吠，欲去问西家。报道山中去②，归时每日斜③。
宿吴匡山破寺（唐·皎然）　　五言律诗　押灰韵	双峰百战后，真界满尘埃。蔓草缘空壁，悲风起故台。野花寒更发，山月暝还来。何事池中水，东流独不回。
九月十日（唐·皎然）　　五言律诗	爱杀柴桑隐，名溪近讼庭。扫沙开野步，摇舸出闲汀。宿简邀诗伴，馀花在酒瓶。悠然南望意，自有岘山情。
酬崔侍御见赠（唐·皎然）　　五言律诗　押支韵	买得东山后，逢君小隐时。五湖游不厌①，柏署迹如遗。市隐②何妨道，禅栖③不废诗。与君为此说④，长破小乘疑⑤。
荅豆卢居士春夜游东园见怀（唐·皎然）　　五言律诗　押元韵	春意赏不足，承夕步东园。事表精虑远，月中华木繁。开襟寄清景，遐想属空门。安得纚芳屣，看君幽径萱。
早秋桐庐思归示道谚（一作该）上人（唐·皎然）　　五言律诗　押支韵	桐江秋信早，忆在故山时。静夜风鸣磬，无人竹扫墀。猿来触净水，鸟下啄寒梨。可即①关吾事，归②心自有期。
