贞懿皇后挽歌三首（今存二首）（唐·窦叔向）　　五言律诗　押庚韵	二陵恭妇道，六寝盛皇情。礼逊生前贵，恩追殁后荣。幼王亲捧土，爱女复连茔。东望长如在，谁云向玉京。
秋砧送邑（一作包）大夫（唐·窦叔向）　　五言律诗　押尤韵	断续长门下，清泠逆旅秋。征夫应待信，寒女不胜愁。带月飞城上，因风散陌头。离居偏入听，况复送归舟。
过担石湖（唐·窦叔向）　　五言律诗　押虞韵	晓发渔门戍，晴看担石湖。日衔高浪出，天入四空无。尺寸①分洲岛，纤毫指②舳舻。渺然从此去，谁念客帆孤。
春日早朝应制（唐·窦叔向）　　五言律诗　押寒韵	紫殿俯千官，春松应合欢。御炉香焰暖，驰道玉声寒。乳燕翻珠缀，祥乌集露盘。宫花一万树，不敢举头看。
酬李袁州嘉祐（唐·窦叔向）　　七言律诗　押支韵	少年轻会复轻离，老大开心总是悲。强说前程聊自慰，未知携手定何时。公才屈指登黄阁，匪服胡颜上赤墀。想到长安诵佳句，满朝谁不念琼枝。
夏夜宿表兄话旧（唐·窦叔向）　　七言律诗　押青韵	夜合花开香满庭，夜深微雨醉初醒。远书珍重何曾达，旧事凄凉不可听。去日儿童皆长大，昔年亲友半凋零。明朝又是孤舟别，愁见河桥酒幔青。
青阳馆望九子山（唐·窦叔向）　　七言律诗　押先韵	苍翠岧峣上碧天，九峰遥落县门前。毫芒映日千重树，涓滴垂空万丈泉。武帝南游曾驻跸，始皇东幸亦祈年。云祠绝迹终难访，唯有猿声到客边。
寒食日恩赐火（唐·窦叔向）　　押真韵	恩光及小臣，华烛忽惊春。电影随中使，星辉拂路人。幸因榆柳暖，一照草茅贫。
端午日恩赐百索（唐·窦叔向）　　押支韵	仙宫长命缕，端午降殊私。事盛蛟龙见，恩深犬马知。馀生傥可续，终冀荅明时。
句（唐·窦叔向）　　押文韵	禁兵环素帟，宫女哭寒云①。
