立春日侍宴内出剪綵花应制（唐·苏颋）　　五言律诗　押东韵	晓入宜春苑，秾芳吐禁中。剪刀因裂素，妆粉为开红。彩异惊流雪，香饶点便风。裁成识天意，万物与花同。
春日芙蓉园侍宴应制（唐·苏颋）　　五言律诗　押尤韵	御道红①旗出，芳园翠辇游。绕花开水殿，架竹起山楼。荷芰轻薰幄，鱼龙出负舟。宁知穆天子，空赋白云秋。
奉和圣制人日清晖阁宴群臣遇雪应制（唐·苏颋）　　五言律诗　押歌韵	楼观空烟里，初年瑞雪过。苑花齐玉树，池水作银河。七日祥图启，千春御赏多。轻飞传綵胜，天上奉薰歌。
奉和七夕宴两仪殿应制（唐·苏颋）　　五言律诗　押灰韵	灵媛乘秋发，仙装警夜催。月光窥欲渡，河色辨应来。机石天文写，针楼御赏开。窃观栖鸟至，疑向鹊桥回。
奉和九日幸临渭亭登高应制得时字（唐·苏颋）　　五言律诗　押支韵	嘉会宜长日，高筵顺动时。晓光云外洗，晴色雨馀滋。降鹤因韶德，吹花入御词。愿陪阳数节，亿万九秋期①。
游禁苑幸临渭亭遇雪应制（唐·苏颋）　　五言律诗　押鱼韵	平明敞帝居，霰雪下凌虚。写月含珠缀，从风薄绮疏。年惊花絮早，春夜管弦初。已属云天外，欣承霈泽馀。
奉和送金城公主适西蕃应制（唐·苏颋）　　五言律诗　押真韵	帝女出天津，和戎转罽①轮。川经断肠望，地与析支邻。奏曲风嘶马，衔悲月伴人。旋知偃兵革，长是汉家亲。
奉和圣制登骊山高顶寓目应制（唐·苏颋）　　五言律诗　押文韵	仙跸御层氛，高高积翠分。岩声中谷应，天语半空闻。丰树连黄叶，函关入紫云。圣图恢宇县，歌赋小①横汾。
幸白鹿观应制（唐·苏颋）　　五言律诗　押东韵	碧虚清吹下，蔼蔼入仙宫。松磴攀云绝，花源接涧空。受符邀羽使，传诀注香童。讵似闲居日，徒闻有顺风。
题寿安王主簿池馆（唐·苏颋）　　五言律诗　押庚韵	洛邑通驰道，韩郊在属城。馆将花雨映，潭与竹声清。贤俊鸾栖棘，宾游马佩衡。愿言随狎鸟，从此濯吾缨。
扈从温泉奉和姚令公喜雪（唐·苏颋）　　五言律诗　押尤韵	清道丰人望，乘时汉主游。恩晖随霰下，庆泽与云浮。泉暖惊银碛，花寒爱①玉楼。鼎臣今有问，河伯且应留。
秋社日崇让园宴得新字（唐·苏颋）　　五言律诗　押真韵	鸣爵三农稔，勾龙百代神。运昌叨辅弼，时泰喜黎民。树缺池光近，云开日影新。生全应有地，长愿乐交亲。
奉和魏仆射秋日还乡有怀之作（唐·苏颋）　　五言律诗　押鱼韵	南宫夙拜罢，东道昼游初。饮饯倾冠盖，传呼问里闾。树悲悬剑所，溪想钓璜馀。明发辉光至，增荣①驷马车。
武担山寺（唐·苏颋）　　五言律诗　押先韵	武担独苍然，坟山下玉泉。鳖灵①时共尽，龙女事同迁。松柏衔哀处，幡花种福田。讵知留镜石，长与法轮圆。
饯潞州陆长史再守汾州（唐·苏颋）　　五言律诗　押支韵	河尹政成期，为汾昔所推。不荣三入地，还美再临时。拥传云初合，闻莺日正迟。道傍①多出饯，别有吏民思。
饯荆州崔司马（唐·苏颋）　　五言律诗　押鱼韵	茂礼雕龙昔，香名展骥初。水连南海涨，星拱北辰居。稍发仙人履，将题别驾舆。明年徵拜入，荆玉不藏诸。
送吏部李侍郎东归得归字（唐·苏颋）　　五言律诗　押微韵	陌上有光辉，披云向洛畿。赏来荣扈从，别至惜分飞。泉溜含风急，山烟带日微。茂曹今去矣，人物喜东归。
送光禄姚卿还都（唐·苏颋）　　五言律诗　押灰韵	汉室有英台，荀家宠俊①才。九卿朝已入，三子暮同来。不授纶为草，还司鼎用梅。两京王者宅，驷马日应回。
春晚送瑕丘田少府还任因寄洛中镜上人（唐·苏颋）　　五言律诗　押真韵	闻道还沂上，因声寄洛滨。别时花欲尽，归处酒应春。聚散同行客，悲欢属故人。少年追乐地，遥赠一沾巾。
送贾起居奉使入洛取图书因便拜觐（唐·苏颋）　　五言律诗　押寒韵	旧国才因地，当朝史命官。遗文徵阙简，还思采芳兰。传发关门候，觞称邑里欢。早持京副入，旋伫洛书刊。
